firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/jayinc/status/472997349589921792,jayinc,"Bring out the army...just like the good ol' days with #Malaria
Sri Lanka Army launches fight against #dengue in.. http://t.co/o62CRcwpwG",7.4155993,http://twitter.com/JayINC/status/472997349589921792,http://twitter.com/jayinc
06/01/14,http://twitter.com/breakdengue/status/473003566496776192,breakdengue,Ten Global “Hotspots” for the Neglected Tropical Diseases http://t.co/KArdzVxuZS via @PLOSNTDs #dengue #NTDs,7.1305885,http://twitter.com/BreakDengue/status/473003566496776192,http://twitter.com/breakdengue
06/01/14,http://twitter.com/budumalli/status/473006760173649921,budumalli,WTF! Mosquitos inside the Savoy movie theater and at this time??? #dengue #SriLanka #Wellawatta,8.205142,http://twitter.com/BuduMalli/status/473006760173649921,http://twitter.com/budumalli
06/01/14,http://twitter.com/siripalabot/status/473007571989954560,siripalabot,RT @BuduMalli: WTF! Mosquitos inside the Savoy movie theater and at this time??? #dengue #SriLanka #Wellawatta,6.7272882,http://twitter.com/SiripalaBot/status/473007571989954560,http://twitter.com/siripalabot
06/01/14,http://twitter.com/sri_life/status/473008746969694209,sri_life,RT @BuduMalli: WTF! Mosquitos inside the Savoy movie theater and at this time??? #dengue #SriLanka #Wellawatta,6.7272882,http://twitter.com/sri_life/status/473008746969694209,http://twitter.com/sri_life
06/01/14,http://twitter.com/fmarinhomoreira/status/473014014742523904,fmarinhomoreira,Mosquito-bourne dengue epidemic grips Brazil city slated to host training #Dengue. http://t.co/JK5tlyJRiR http://t.co/yF4jCsN1YE,7.1531253,http://twitter.com/fmarinhomoreira/status/473014014742523904,http://twitter.com/fmarinhomoreira
06/01/14,http://twitter.com/medicalintel/status/473087393805783040,medicalintel,Brazilian World Cup host city battling #dengue fever epidemic - http://t.co/v3bj5ZDiTC via http://t.co/QJQ18rhTHH,7.412114,http://twitter.com/MedicalIntel/status/473087393805783040,http://twitter.com/medicalintel
06/01/14,http://twitter.com/medicalintel/status/473087571946242048,medicalintel,#Dengue cases in Americas rose 5-fold in 10 years http://t.co/TER0aiuYju #wc2014,7.4062185,http://twitter.com/MedicalIntel/status/473087571946242048,http://twitter.com/medicalintel
06/01/14,http://twitter.com/newsfirst_en/status/473107172289568770,newsfirst_en,ඩෙංගු යළි හිස එසවීමේ අවදානම තවත් දිස්ත්‍රික්ක කිහිපයකට ව්‍යාප්ත වෙයි (Special Report) http://t.co/Rb0C7yiTij #lka #Dengue #Fever,9.755518,http://twitter.com/newsfirst_en/status/473107172289568770,http://twitter.com/newsfirst_en
06/01/14,http://twitter.com/wiznadeeka/status/473107399004278784,wiznadeeka,RT @newsfirst_en: ඩෙංගු යළි හිස එසවීමේ අවදානම තවත් දිස්ත්‍රික්ක කිහිපයකට ව්‍යාප්ත වෙයි (Special Report) http://t.co/Rb0C7yiTij #lka #Dengue…,5.695779,http://twitter.com/wiznadeeka/status/473107399004278784,http://twitter.com/wiznadeeka
