firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/jvalaball/status/473009293269409792,jvalaball,#Influenza news ( #flu ) is out! http://t.co/TYyT2oVjbD Stories via @ANTI_OBAMA1 @UCLTarit @Flunews,7.218342,http://twitter.com/jvalaball/status/473009293269409792,http://twitter.com/jvalaball
06/01/14,http://twitter.com/flutuz/status/473066455072641024,flutuz,A photo from #Ngampusyu http://t.co/LsupjzZDMA #flu #virus #TauGaSih #Influenza,7.442628,http://twitter.com/FluTuz/status/473066455072641024,http://twitter.com/flutuz
06/01/14,http://twitter.com/flutuz/status/473081551538753536,flutuz,The BMJ Today: #Flu jabs during pregnancy http://t.co/7EMD2BTV7e #etiology #influenza,7.52946,http://twitter.com/FluTuz/status/473081551538753536,http://twitter.com/flutuz
06/01/14,http://twitter.com/drcadesky/status/473092896053530624,drcadesky,#Influenza #vaccine during #pregnancy may reduce risk of severe #preeclampsia. http://t.co/HuKpGAipMZ,7.568564,http://twitter.com/drcadesky/status/473092896053530624,http://twitter.com/drcadesky
06/01/14,http://twitter.com/lukewalker225/status/473120816222044160,lukewalker225,The #influenza #vaccination should be #compulsory for all #HCWs http://t.co/KKv8J5wnwc,7.5733047,http://twitter.com/LukeWalker225/status/473120816222044160,http://twitter.com/lukewalker225
06/01/14,http://twitter.com/ladii_sonke/status/473152829797191680,ladii_sonke,"How can I even study in so much pain ?! #Influenza #HeadAche :( ,, this is not cool , I'm just a school kid .",7.3182206,http://twitter.com/Ladii_SonKe/status/473152829797191680,http://twitter.com/ladii_sonke
06/01/14,http://twitter.com/sibahlefresh1/status/473153995117432832,sibahlefresh1,"""@Ladii_SonKe: How can I even study in so much pain ?! #Influenza #HeadAche  this is not cool , I'm just a school kid .""&lt;LOl ay' lento yenu!",7.2471223,http://twitter.com/sibahleFresh1/status/473153995117432832,http://twitter.com/sibahlefresh1
06/01/14,http://twitter.com/dhesibaharaja/status/473242624854216704,dhesibaharaja,"Latest type of bird flu detected in China, H10N8, does not pose an imminent global threat, say researchers. #H10N8 #Flu #Avian #Influenza",8.0852995,http://twitter.com/DhesiBahaRaja/status/473242624854216704,http://twitter.com/dhesibaharaja
06/01/14,http://twitter.com/wanariefimran/status/473242868320980992,wanariefimran,"RT @DhesiBahaRaja: Latest type of bird flu detected in China, H10N8, does not pose an imminent global threat, say researchers. #H10N8 #Flu …",6.6511264,http://twitter.com/wanariefimran/status/473242868320980992,http://twitter.com/wanariefimran
06/02/14,http://twitter.com/medicinemas/status/473255428793856000,medicinemas,#H10N8 #BirdFlu #Influenza | keeping tabs on its spread. http://t.co/Jcew3hkMFz,7.650245,http://twitter.com/medicinemas/status/473255428793856000,http://twitter.com/medicinemas
06/02/14,http://twitter.com/medassisting/status/473289693702811648,medassisting,RT @NFIDvaccines: How #Influenza (Flu) #Vaccines Are Made @CDCgov http://t.co/Gxaq7G6ER5 #fightflu,7.313491,http://twitter.com/MedAssisting/status/473289693702811648,http://twitter.com/medassisting
06/02/14,http://twitter.com/flutuz/status/473323141230391300,flutuz,Viral transport media to help test swine #flu in remote areas http://t.co/kyKQnWQ4zX #timesofindia #health #influenza,7.3926835,http://twitter.com/FluTuz/status/473323141230391300,http://twitter.com/flutuz
06/02/14,http://twitter.com/willemeland/status/473330852680564736,willemeland,First 2 days of the winter season and I'm already stuck in bed... #Influenza virus kicking in with high gears# http://t.co/4408R8iJYy,7.591356,http://twitter.com/WillemEland/status/473330852680564736,http://twitter.com/willemeland
06/02/14,http://twitter.com/pkelly_actcho/status/473346065203097601,pkelly_actcho,Winter is here. Have you had your flu shot? #Influenza #Immunisation #FluShot,8.115667,http://twitter.com/PKelly_ACTCHO/status/473346065203097601,http://twitter.com/pkelly_actcho
06/02/14,http://twitter.com/faoknowledge/status/473352088110768128,faoknowledge,"Launch of the #Influenza Virus Monitoring (IVM) online platform in #Indonesia w/ guidance from #UNFAO, #OIE &amp; #OFFLU http://t.co/hA2cNCuq78",7.7847323,http://twitter.com/FAOKnowledge/status/473352088110768128,http://twitter.com/faoknowledge
06/02/14,http://twitter.com/indonesiatrends/status/473352186601406464,indonesiatrends,"RT @FAOKnowledge: Launch of the #Influenza Virus Monitoring (IVM) online platform in #Indonesia w/ guidance from #UNFAO, #OIE &amp; #OFFLU http…",6.7916408,http://twitter.com/IndonesiaTrends/status/473352186601406464,http://twitter.com/indonesiatrends
06/02/14,http://twitter.com/almaselinaperez/status/473365236418744320,almaselinaperez,"RT @DhesiBahaRaja: Latest type of bird flu detected in China, H10N8, does not pose an imminent global threat, say researchers. #H10N8 #Flu …",6.6511264,http://twitter.com/almaselinaperez/status/473365236418744320,http://twitter.com/almaselinaperez
06/02/14,http://twitter.com/flutuz/status/473368866291081216,flutuz,Morocco keeps welcoming the ‘#influenza’ of cigarettes http://t.co/2N7AO92BgY #flu #data #health #youth http://t.co/iFopdpztR4,9.117016,http://twitter.com/FluTuz/status/473368866291081216,http://twitter.com/flutuz
06/02/14,http://twitter.com/yogagirl4776/status/473369020838969345,yogagirl4776,RT @FluTuz: Morocco keeps welcoming the ‘#influenza’ of cigarettes http://t.co/2N7AO92BgY #flu #data #health #youth http://t.co/iFopdpztR4,7.2752633,http://twitter.com/yogagirl4776/status/473369020838969345,http://twitter.com/yogagirl4776
06/02/14,http://twitter.com/jvalaball/status/473371678324830208,jvalaball,#Influenza news ( #flu ) is out! http://t.co/TYyT2oVjbD Stories via @twitermagazine @zonacritica1,7.4959044,http://twitter.com/jvalaball/status/473371678324830208,http://twitter.com/jvalaball
06/02/14,http://twitter.com/idrn_uk/status/473398461807992832,idrn_uk,"Funding call for '‘Early Warning Sensing Systems for #Influenza’', closing date 1 July, see https://t.co/nmQr08Pp4f #flu #funding",8.772784,http://twitter.com/IDRN_UK/status/473398461807992832,http://twitter.com/idrn_uk
06/02/14,http://twitter.com/winahomeforlife/status/473401417806663681,winahomeforlife,"RT @IDRN_UK: Funding call for '‘Early Warning Sensing Systems for #Influenza’', closing date 1 July, see https://t.co/nmQr08Pp4f #flu #fund…",7.260609,http://twitter.com/WinAHomeForLife/status/473401417806663681,http://twitter.com/winahomeforlife
06/02/14,http://twitter.com/caminfectdis/status/473419162577276929,caminfectdis,"RT @IDRN_UK: Funding call for '‘Early Warning Sensing Systems for #Influenza’', closing date 1 July, see https://t.co/nmQr08Pp4f #flu #fund…",7.260609,http://twitter.com/CamInfectDis/status/473419162577276929,http://twitter.com/caminfectdis
06/02/14,http://twitter.com/actambulance/status/473431892960628736,actambulance,RT @PKelly_ACTCHO: Winter is here. Have you had your flu shot? #Influenza #Immunisation #FluShot,7.0880136,http://twitter.com/ACTAmbulance/status/473431892960628736,http://twitter.com/actambulance
06/02/14,http://twitter.com/flutuz/status/473460809377382400,flutuz,Nothing found for 2014 06 131806 Morocco-Keeps-Welcoming-The-#Influenza-Of-Cigarettes http://t.co/1DcENYRzlV #flu #data #IhsaneKhLeeh,6.400756,http://twitter.com/FluTuz/status/473460809377382400,http://twitter.com/flutuz
06/02/14,http://twitter.com/oktoaskvt/status/473473930053697536,oktoaskvt,RT @NFIDvaccines: How #Influenza (Flu) #Vaccines Are Made @CDCgov http://t.co/G6ykA0CtWg #fightflu,7.290759,http://twitter.com/OktoAskVT/status/473473930053697536,http://twitter.com/oktoaskvt
06/02/14,http://twitter.com/thepoultrysite/status/473474225345687554,thepoultrysite,Can #influenza  jump from animals to humans?  http://t.co/OfR98VkCAt,7.939659,http://twitter.com/thepoultrysite/status/473474225345687554,http://twitter.com/thepoultrysite
06/02/14,http://twitter.com/stmichaelscoll/status/473480018249928704,stmichaelscoll,Our students with their fantastic #science essays.  Topics include #fracking #bioweapons #influenza &amp; #hallucinogens http://t.co/n3NkCL5FrU,6.9759226,http://twitter.com/StMichaelsColl/status/473480018249928704,http://twitter.com/stmichaelscoll
06/02/14,http://twitter.com/flutuz/status/473489355076403200,flutuz,Should I get the #flu shot? http://t.co/N6FYMwp0TJ #virus #health #vaccine #influenza #winter http://t.co/kOWEdegSug,7.3628206,http://twitter.com/FluTuz/status/473489355076403200,http://twitter.com/flutuz
06/02/14,http://twitter.com/flutuz/status/473504326850060290,flutuz,Share your #flu sypmtoms http://t.co/689GzMh8Qj #etiology #Health #influenza,7.564318,http://twitter.com/FluTuz/status/473504326850060290,http://twitter.com/flutuz
