firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/built_forblame/status/473082777295138816,built_forblame,My purchase of this weekend! Death - Leprosy #death #leprosy #deathmetal #death #metal #CD #Album… http://t.co/gmRDAujBZ8,7.236395,http://twitter.com/Built_ForBlame/status/473082777295138816,http://twitter.com/built_forblame
06/01/14,http://twitter.com/emclaughlin25/status/473122890754174976,emclaughlin25,Uncovering the ancient roots of #leprosy | Ancient Origins http://t.co/wL1iU3phPy,8.111684,http://twitter.com/emclaughlin25/status/473122890754174976,http://twitter.com/emclaughlin25
06/02/14,http://twitter.com/infolep/status/473364482413309952,infolep,RT @ILEPAntiLeprosy: http://t.co/fuGaMGDli1 LepRevEd contact tracing + prevention strats to interrupt #leprosy transmission @Novartis @Lepr…,6.8996797,http://twitter.com/Infolep/status/473364482413309952,http://twitter.com/infolep
06/02/14,http://twitter.com/lepra_hina/status/473411217810141185,lepra_hina,"“To me, being cured from #leprosy is like salvation” – Atiqur (from Lepra’s Exclusion to Inclusion project). http://t.co/9FGdL0cZAF",10.960071,http://twitter.com/Lepra_HinA/status/473411217810141185,http://twitter.com/lepra_hina
06/02/14,http://twitter.com/mathiasduck/status/473423737224970240,mathiasduck,"RT @Lepra_HinA: “To me, being cured from #leprosy is like salvation” – Atiqur (from Lepra’s Exclusion to Inclusion project). http://t.co/9F…",6.9544654,http://twitter.com/mathiasduck/status/473423737224970240,http://twitter.com/mathiasduck
06/02/14,http://twitter.com/lepra_hina/status/473487514460647425,lepra_hina,Transform a hand. Transform a life. Transforming surgery costs just £150 for one operation http://t.co/0AEt55PN33 #leprosy,11.047021,http://twitter.com/Lepra_HinA/status/473487514460647425,http://twitter.com/lepra_hina
06/02/14,http://twitter.com/trickyniki/status/473611908864438272,trickyniki,The Sick Rose: 10 beautifully gruesome medical illustrations from the 1800s | Gallery | http://t.co/NzhhH3pJ5z  Not for everyone. #leprosy,9.282972,http://twitter.com/trickyniki/status/473611908864438272,http://twitter.com/trickyniki
06/03/14,http://twitter.com/dferwin/status/473616219891712000,dferwin,RT @trickyniki: The Sick Rose: 10 beautifully gruesome medical illustrations from the 1800s | Gallery | http://t.co/NzhhH3pJ5z  Not for eve…,7.421497,http://twitter.com/DFErwin/status/473616219891712000,http://twitter.com/dferwin
06/03/14,http://twitter.com/lungsofanarchy1/status/473680847808503808,lungsofanarchy1,Have you ever gone on WebMD and put in your #CF symptoms and see what you get? #pneumonia #crohns #leprosy #h1n1 bwahahaha,8.011011,http://twitter.com/LungsofAnarchy1/status/473680847808503808,http://twitter.com/lungsofanarchy1
06/03/14,http://twitter.com/pimpdaddyleswag/status/473707942013702144,pimpdaddyleswag,"I can't wait for a fault in our stars sequel to make a different terminal disease sexy
#BlackPlauge
#Leprosy
#SmallPox",7.3733554,http://twitter.com/pimpdaddyleswag/status/473707942013702144,http://twitter.com/pimpdaddyleswag
05/13/14,http://twitter.com/lepra_hina/status/466171023465787394,lisajozi,RT @Lepra_HinA: ‘I hope those with disabilities due to #leprosy are not excluded any more’. Watch #Healthhero Rajni on @AJLifelines http://…,8.023259,http://twitter.com/lisajozi/status/473733627185209344,http://twitter.com/lisajozi
06/03/14,http://twitter.com/lepra_hina/status/473783723410726914,lepra_hina,"In India, more than 13,000 new cases of children affected by #leprosy are detected every year.",12.622047,http://twitter.com/Lepra_HinA/status/473783723410726914,http://twitter.com/lepra_hina
06/03/14,http://twitter.com/jdsutter/status/473785520237969408,jdsutter,"RT @Lepra_HinA: In India, more than 13,000 new cases of children affected by #leprosy are detected every year.",10.953034,http://twitter.com/jdsutter/status/473785520237969408,http://twitter.com/jdsutter
06/03/14,http://twitter.com/carshaltonhigh/status/473788596731015169,carshaltonhigh,"RT @Lepra_HinA: In India, more than 13,000 new cases of children affected by #leprosy are detected every year.",7.650203,http://twitter.com/CarshaltonHigh/status/473788596731015169,http://twitter.com/carshaltonhigh
