firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/citizennauld/status/473038848591933440,citizennauld,It's being suggest that #ECigarette smokers could be at risk from catching #SuperBugs like #MRSA,7.546198,http://twitter.com/citizennauld/status/473038848591933440,http://twitter.com/citizennauld
06/01/14,http://twitter.com/naturalcurez/status/473048818205065216,naturalcurez,#NaturalRemedies #MRSA Cure #staph #infection at home http://t.co/Jp7Z64gZxK,11.974443,http://twitter.com/Naturalcurez/status/473048818205065216,http://twitter.com/naturalcurez
06/01/14,http://twitter.com/airthereal/status/473059046707453953,airthereal,RT @Naturalcurez: #NaturalRemedies #MRSA Cure #staph #infection at home http://t.co/Jp7Z64gZxK,11.056069,http://twitter.com/AirTheReal/status/473059046707453953,http://twitter.com/airthereal
06/01/14,http://twitter.com/dezert_dweller/status/473076082812284928,dezert_dweller,#MRSA is a nasty infection to have - Here's mine http://t.co/iDwTAtoYDX #YCN #Health #Staph,7.4410286,http://twitter.com/dezert_dweller/status/473076082812284928,http://twitter.com/dezert_dweller
06/01/14,http://twitter.com/tiffany_horsley/status/473096549938245632,tiffany_horsley,"""@MRSAaid: We should replace hand shakes with fist bumps, or a wave http://t.co/EMv4eAt40S #MRSA"" @APIC #APIC2014 #fistbump",9.530081,http://twitter.com/tiffany_horsley/status/473096549938245632,http://twitter.com/tiffany_horsley
06/01/14,http://twitter.com/sonodoc99/status/473142871239823361,sonodoc99,Treating #MRSA: One Woman's Story http://t.co/w4PStDpisS,11.602091,http://twitter.com/sonodoc99/status/473142871239823361,http://twitter.com/sonodoc99
06/01/14,http://twitter.com/boyker_mj/status/473157291366027264,boyker_mj,#ManOfHonour #MRSA to every soul who goes through choices this if 4u mwaAa http://t.co/8O3Qkt1aQJ,7.657213,http://twitter.com/Boyker_mj/status/473157291366027264,http://twitter.com/boyker_mj
06/01/14,http://twitter.com/clinthe/status/473182430166528000,clinthe,How should patients treated with #vancomycin for #MRSA be assessed to ensure optimal outcome? http://t.co/Q4X3Fo18aC #medcomms #pubplan,6.910193,http://twitter.com/clinthe/status/473182430166528000,http://twitter.com/clinthe
06/01/14,http://twitter.com/exelume/status/473183496450871296,exelume,Guess who else has MRSA? Our beloved pets can acquire #MRSA from us humans &amp; viceversa. Protect yourself &amp; your pets! http://t.co/Zx5qo4Qdtt,6.930784,http://twitter.com/Exelume/status/473183496450871296,http://twitter.com/exelume
06/01/14,http://twitter.com/clinthe/status/473196024681725952,clinthe,What is #AUC24/MIC to microbiological clearance in those with #MRSA bacteremia &amp; #osteomyelitis? http://t.co/cOqbILAWWa #medcomms #pubplan,6.515605,http://twitter.com/clinthe/status/473196024681725952,http://twitter.com/clinthe
06/01/14,http://twitter.com/mrsaaid/status/473196107057868801,mrsaaid,Seth Meyers and Amy Poehler demonstrating proper doctor patient contact. Who knew? Check it out &gt;&gt;&gt; http://t.co/9bilyI2rqu #SNL #MRSA,10.407972,http://twitter.com/MRSAaid/status/473196107057868801,http://twitter.com/mrsaaid
06/01/14,http://twitter.com/mrsaaid/status/473211202806767616,mrsaaid,#MRSA 'out of control and getting stronger'. Emergence of stronger &amp; more virulent strains could prove 'explosive'  http://t.co/oJriFi5yKq,11.096415,http://twitter.com/MRSAaid/status/473211202806767616,http://twitter.com/mrsaaid
06/01/14,http://twitter.com/hellan007/status/473215514001408000,hellan007,RT @MRSAaid: #MRSA 'out of control and getting stronger'. Emergence of stronger &amp; more virulent strains could prove 'explosive'  http://t.c…,7.046415,http://twitter.com/hellan007/status/473215514001408000,http://twitter.com/hellan007
06/01/14,http://twitter.com/mamalaughsagain/status/473220683258793985,mamalaughsagain,On The Mend http://t.co/JNtYfmeomE #Blogging #Life #MRSA #Sick,8.18771,http://twitter.com/mamalaughsagain/status/473220683258793985,http://twitter.com/mamalaughsagain
06/01/14,http://twitter.com/sportsgangsta/status/473242378896035840,sportsgangsta,"Bucs' Carl Nicks again dealing with #MRSA infection in his foot -  TUCKER:   Bucs general manager Mark... http://t.co/aRDSYEFmxW
 #tucker",7.19345,http://twitter.com/SportsGangsta/status/473242378896035840,http://twitter.com/sportsgangsta
06/02/14,http://twitter.com/saveantibiotics/status/473264017113636866,saveantibiotics,“#MRSA robbed me of that experience with my child.” One mom’s scary superbug story http://t.co/8N1U1CcR3Q #breastfeeding,8.956576,http://twitter.com/saveantibiotics/status/473264017113636866,http://twitter.com/saveantibiotics
06/02/14,http://twitter.com/jennyabramczyk/status/473271856678842369,jennyabramczyk,"I'd like to give a shoutout to Steinert, at least you're never boring🙌  #mrsa #mold #bombthreats #gasleaks #carcrashes",10.320652,http://twitter.com/jennyabramczyk/status/473271856678842369,http://twitter.com/jennyabramczyk
06/02/14,http://twitter.com/anaqviii/status/473272073922838528,anaqviii,"RT @jennyabramczyk: I'd like to give a shoutout to Steinert, at least you're never boring🙌  #mrsa #mold #bombthreats #gasleaks #carcrashes",7.06157,http://twitter.com/anaqviii/status/473272073922838528,http://twitter.com/anaqviii
