firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/jayinc/status/472997349589921792,jayinc,"Bring out the army...just like the good ol' days with #Malaria
Sri Lanka Army launches fight against #dengue in.. http://t.co/o62CRcwpwG",7.3541694,http://twitter.com/JayINC/status/472997349589921792,http://twitter.com/jayinc
06/01/14,http://twitter.com/jayinc/status/472998390607777792,jayinc,"Bring out the army...just like the good ol' days with #Malaria #RonaldRoss
Sri Lanka Army launches fight against #de…http://t.co/SykFFtP9os",7.9945564,http://twitter.com/JayINC/status/472998390607777792,http://twitter.com/jayinc
06/01/14,http://twitter.com/ianxenrapid/status/472998495901995008,ianxenrapid,"RT @JayINC: Bring out the army...just like the good ol' days with #Malaria #RonaldRoss
Sri Lanka Army launches fight against #de…http://t.c…",6.8992333,http://twitter.com/ianXenRAPID/status/472998495901995008,http://twitter.com/ianxenrapid
06/01/14,http://twitter.com/cd2transform/status/473003826241605632,cd2transform,"Check us out on #mobile &amp; tablet. please RT, Support for National #HIV #TB #Malaria Programs @UNDP http://t.co/l8yt6F6GqY",8.671025,http://twitter.com/CD2transform/status/473003826241605632,http://twitter.com/cd2transform
06/01/14,http://twitter.com/_healthcare__/status/473006640870862848,_healthcare__,#Malaria Collierville church raises funds for mosquito nets to battle malaria in Africa: …  an international p...  http://t.co/Y8Ck1Dvwtr,7.258326,http://twitter.com/_Healthcare__/status/473006640870862848,http://twitter.com/_healthcare__
04/30/14,http://twitter.com/plospathogens/status/461305346917531649,slimarea,RT @PLOSPathogens: Read how #malaria parasites selected for reduced susceptibility to drugs have increased fitness in both situations http:…,7.8899827,http://twitter.com/Slimarea/status/473009779703812096,http://twitter.com/slimarea
06/01/14,http://twitter.com/ianxenrapid/status/473010070843035648,ianxenrapid,RT @PLOSPathogens: Read how #malaria parasites selected for reduced susceptibility to drugs have increased fitness in both situations http:…,7.016995,http://twitter.com/ianXenRAPID/status/473010070843035648,http://twitter.com/ianxenrapid
06/01/14,http://twitter.com/malarianomoreuk/status/473041271359950849,malarianomoreuk,Today is #InternationalChildrensDay please spare a thought for all the children who are affected by #malaria,10.70972,http://twitter.com/malarianomoreuk/status/473041271359950849,http://twitter.com/malarianomoreuk
06/01/14,http://twitter.com/nakedmedics/status/473042880605732864,nakedmedics,RT @malarianomoreuk: Today is #InternationalChildrensDay please spare a thought for all the children who are affected by #malaria,8.101819,http://twitter.com/NakedMedics/status/473042880605732864,http://twitter.com/nakedmedics
06/01/14,http://twitter.com/ianxenrapid/status/473043037510447104,ianxenrapid,RT @NakedMedics: RT @malarianomoreuk: Today is #InternationalChildrensDay please spare a thought for all the children who are affected by #…,6.972057,http://twitter.com/ianXenRAPID/status/473043037510447104,http://twitter.com/ianxenrapid
06/01/14,http://twitter.com/nilimajumder/status/473047617895931904,nilimajumder,"""@CD2transform Capacity Development Planning for National #HIV #TB #Malaria #SouthSudan …http://t.co/c4V9IiJpck""",7.8569293,http://twitter.com/NiliMajumder/status/473047617895931904,http://twitter.com/nilimajumder
