firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/carriemurphyx/status/473008550105468928,carriemurphyx,28 days and I'll be on my way back! #homefromhome #thailand #yellowfever 😍😁😊 http://t.co/f4hbnjxBMp,8.16533,http://twitter.com/Carriemurphyx/status/473008550105468928,http://twitter.com/carriemurphyx
06/01/14,http://twitter.com/bossaj_m/status/473083277721739264,bossaj_m,Early morning #fela #yellowfever #Egwu #Dance #StylesMode,7.529749,http://twitter.com/BossAj_M/status/473083277721739264,http://twitter.com/bossaj_m
06/01/14,http://twitter.com/shadypitbull18/status/473133252333809665,shadypitbull18,Jones still hasnt signed the gus contract #yellowfever #runningscared still 1 of my favourite fighters tho ha d rematch has ta happen,7.5590158,http://twitter.com/shadypitbull18/status/473133252333809665,http://twitter.com/shadypitbull18
06/01/14,http://twitter.com/meeshxia/status/473133297187700737,meeshxia,"Some rando Spaniard just asked me if I was from ""Cheena"" and told me he liked my jawbone... K #yellowfever",7.7095103,http://twitter.com/meeshxia/status/473133297187700737,http://twitter.com/meeshxia
06/01/14,http://twitter.com/jan_2424/status/473157147866312704,jan_2424,"Moving on and just bouncing around seasons. Next up, #YellowFever! #Supernatural",8.212236,http://twitter.com/Jan_2424/status/473157147866312704,http://twitter.com/jan_2424
06/01/14,http://twitter.com/jan_2424/status/473159594114428929,jan_2424,"""Sam I'm not gonna make a left handed turn into oncoming traffic I'm not suicidal. Did I just say that? That was kinda weird."" #YellowFever",7.501252,http://twitter.com/Jan_2424/status/473159594114428929,http://twitter.com/jan_2424
06/01/14,http://twitter.com/jan_2424/status/473160899885137921,jan_2424,"""I don't wanna be a clue!"" #YellowFever #Supernatural",8.538147,http://twitter.com/Jan_2424/status/473160899885137921,http://twitter.com/jan_2424
06/01/14,http://twitter.com/jan_2424/status/473161309022728192,jan_2424,"""I'll man the flashlight."" #YellowFever #Supernatural",8.372989,http://twitter.com/Jan_2424/status/473161309022728192,http://twitter.com/jan_2424
06/01/14,http://twitter.com/8biggbird8/status/473165838808150016,8biggbird8,#YellowFever http://t.co/17wxAye8nu,9.765364,http://twitter.com/8biggbird8/status/473165838808150016,http://twitter.com/8biggbird8
06/01/14,http://twitter.com/camillalouele/status/473172223923322880,camillalouele,@TheSTStyle onto this yellow fever just painted the toes YELLOW #yellowfever #ColourMeHappy http://t.co/iZgjIf7VXd,7.6014977,http://twitter.com/camillalouele/status/473172223923322880,http://twitter.com/camillalouele
