firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/asinglesuggest/status/473086332370030593,asinglesuggest,Custom panel for a Lymphoma survivor.  #lymphoma #cancer #ribbon #survivor #customdesign… http://t.co/I0JIzSIXfI,7.309951,http://twitter.com/ASingleSuggest/status/473086332370030593,http://twitter.com/asinglesuggest
06/01/14,http://twitter.com/celgene/status/473086673505767424,celgene,Learn about advances in the treatment of #lymphoma at oral abstract presentation session starting now EHallD2 #ASCO14 http://t.co/71Cw2tEJ18,7.240519,http://twitter.com/Celgene/status/473086673505767424,http://twitter.com/celgene
06/01/14,http://twitter.com/healthytips357/status/473088125258842113,healthytips357,"How #Lymphoma, the most common #cancer affect between 20 and 35 #years of #age http://t.co/Ebt1meSkfo",7.704779,http://twitter.com/healthytips357/status/473088125258842113,http://twitter.com/healthytips357
06/01/14,http://twitter.com/sambuck33/status/473112719042686976,sambuck33,Happy #NationalCancerSurvivorsDay to all the survivors out there! #lymphoma #survivor,7.846583,http://twitter.com/sambuck33/status/473112719042686976,http://twitter.com/sambuck33
06/01/14,http://twitter.com/lymphoma/status/473116830328827904,lymphoma,Read inspirational stories from members of the #lymphoma community: http://t.co/abABPhZYhL  #NCSD2014 #cancersurvivors,12.106203,http://twitter.com/lymphoma/status/473116830328827904,http://twitter.com/lymphoma
06/01/14,http://twitter.com/alisadanley/status/473130288881860608,alisadanley,Happy national cancer survivor day!!💚 #survivor #lymphoma  #13yrscancerfree http://t.co/3zt4fnIbCS,7.7989573,http://twitter.com/alisadanley/status/473130288881860608,http://twitter.com/alisadanley
06/01/14,http://twitter.com/imedexcme/status/473140825468456960,imedexcme,Come to our #ASCO14 booth 15085 to see Dr. Myron Czuczman discuss #lymphoma #CLL today at 12:45 @oncologytube #oncology #CME,7.503654,http://twitter.com/ImedexCME/status/473140825468456960,http://twitter.com/imedexcme
06/01/14,http://twitter.com/ci4cc/status/473141114606989313,ci4cc,RT @ImedexCME: Come to our #ASCO14 booth 15085 to see Dr. Myron Czuczman discuss #lymphoma #CLL today at 12:45 @oncologytube #oncology #CME,6.5313106,http://twitter.com/CI4CC/status/473141114606989313,http://twitter.com/ci4cc
06/01/14,http://twitter.com/hemonctoday/status/473141347596394497,hemonctoday,"#ASCO14 #Lenalidomide, rituximab achieved responses in patients with follicular #lymphoma @WeillCornell http://t.co/qPwWG7nPaA",11.372471,http://twitter.com/HemOncToday/status/473141347596394497,http://twitter.com/hemonctoday
06/01/14,http://twitter.com/gohealio/status/473141346929475584,gohealio,"#ASCO14 #Lenalidomide, rituximab achieved responses in patients with follicular #lymphoma @WeillCornell http://t.co/XwCIdVbqSG",7.0545745,http://twitter.com/GoHealio/status/473141346929475584,http://twitter.com/gohealio
06/01/14,http://twitter.com/ci4cc/status/473141757140414464,ci4cc,"RT @HemOncToday: #ASCO14 #Lenalidomide, rituximab achieved responses in patients with follicular #lymphoma @WeillCornell http://t.co/qPwWG7…",6.8386035,http://twitter.com/CI4CC/status/473141757140414464,http://twitter.com/ci4cc
06/01/14,http://twitter.com/mellor_dan/status/473142723952656384,mellor_dan,"RT @HemOncToday: #ASCO14 #Lenalidomide, rituximab achieved responses in patients with follicular #lymphoma @WeillCornell http://t.co/qPwWG7…",6.8386035,http://twitter.com/mellor_dan/status/473142723952656384,http://twitter.com/mellor_dan
05/20/14,http://twitter.com/lymphomaclub/status/468889931491065856,lizstannard,RT @LymphomaClub: Each day you conquer cancer makes you another day stronger quote #lymphoma #cancersurvivor #cancerawareness http://t.co/C…,8.291337,http://twitter.com/LizStannard/status/473149958913523712,http://twitter.com/lizstannard
06/01/14,http://twitter.com/asia_the_pit/status/473160915966513152,asia_the_pit,@asia_the_pit #fuckcancer #pitbull #pitbulls dog #lymphoma #cancerfighter #imcute_f_you,7.144805,http://twitter.com/asia_the_pit/status/473160915966513152,http://twitter.com/asia_the_pit
06/01/14,http://twitter.com/robesx/status/473172874220806144,robesx,6 DAYS!! #DANCEBACK Workshop Series | Fight Back Against Cancer - https://t.co/l4o9XGcf6q - DONATE FOR THE CAUSE! #Lymphoma #Leukemia,7.036563,http://twitter.com/robesx/status/473172874220806144,http://twitter.com/robesx
06/01/14,http://twitter.com/tomleblancmd/status/473174262673854464,tomleblancmd,RT @ASCO: R2CHOP may overcome negative prognosis of non-GBC phenotype in DLBCL http://t.co/arjXAtbpgP #ASCO14 #lymphoma,8.316635,http://twitter.com/tomleblancMD/status/473174262673854464,http://twitter.com/tomleblancmd
06/01/14,http://twitter.com/drhedrick/status/473174498049818624,drhedrick,RT @tomleblancMD: RT @ASCO: R2CHOP may overcome negative prognosis of non-GBC phenotype in DLBCL http://t.co/arjXAtbpgP #ASCO14 #lymphoma,6.624353,http://twitter.com/DrHedrick/status/473174498049818624,http://twitter.com/drhedrick
06/01/14,http://twitter.com/freddelmer/status/473181801889165314,freddelmer,#imagesofhope seems a great place to tag #cancersurvivorsday images &amp; stories of healing and hope. I am blessed to be a #lymphoma survivor,7.0579324,http://twitter.com/freddelmer/status/473181801889165314,http://twitter.com/freddelmer
06/01/14,http://twitter.com/drmiguelperales/status/473193657999585281,drmiguelperales,Ths @mtmdphd for comprehensive tweeting during #ASCO14 #lymphoma session today. Almost like being there except that I was rounding on in-pts,7.791777,http://twitter.com/DrMiguelPerales/status/473193657999585281,http://twitter.com/drmiguelperales
06/01/14,http://twitter.com/survivorsday/status/473198916109078528,survivorsday,RT @lymphoma: Read inspirational stories from members of the #lymphoma community: http://t.co/abABPhZYhL  #NCSD2014 #cancersurvivors,7.3391557,http://twitter.com/SurvivorsDay/status/473198916109078528,http://twitter.com/survivorsday
06/01/14,http://twitter.com/sitemancenter/status/473206156241149952,sitemancenter,Should routine post-treatment imaging for #lymphoma patients end? Join the #ASCO14 debate http://t.co/3Obsg8ZlyA 4:45pm E Arie Crown Theater,6.8502126,http://twitter.com/SitemanCenter/status/473206156241149952,http://twitter.com/sitemancenter
06/01/14,http://twitter.com/hiblio/status/473206726905561089,hiblio,A brief overview of #Chemotherapy treatment. [Video] http://t.co/Yo7J6DWxsk #Hospital #Cancer #leukaemia #lymphoma Source: @macmillancancer,7.3033257,http://twitter.com/hiblio/status/473206726905561089,http://twitter.com/hiblio
05/18/14,http://twitter.com/gmoevidence/status/468003350425124864,positivelyjoan,RT @GMOEvidence: Glyphosate Herbicides Linked to Non-Hodgkin's Lymphoma | GMO EVIDENCE: http://t.co/NFYupDJe4F  #GMOs #Roundup #Glyphosate …,6.6357055,http://twitter.com/PositivelyJoan/status/473245431812853761,http://twitter.com/positivelyjoan
06/01/14,http://twitter.com/instapadres/status/473252126983196672,instapadres,Meet-n-Greet with Aloe Blacc! So cool and a Creat concert and Petco Park #aloe #blacc #aloeblacc #lymphoma #leuke... http://t.co/84lLEnsKld,6.6641607,http://twitter.com/instapadres/status/473252126983196672,http://twitter.com/instapadres
06/02/14,http://twitter.com/lymphomahub/status/473253962007969793,lymphomahub,Stratification of treatment intensity in relapsed pediatric Hodgkin #lymphoma http://t.co/fgpiDgQaEf,8.272258,http://twitter.com/lymphomahub/status/473253962007969793,http://twitter.com/lymphomahub
06/02/14,http://twitter.com/roslauski/status/473257614063583232,roslauski,@runmeb thank you for this special moment. Great memory today for us #rocknrollmarathon #lymphoma #CancerSurvivor http://t.co/xoQ8num8AL,8.274241,http://twitter.com/roslauski/status/473257614063583232,http://twitter.com/roslauski
06/02/14,http://twitter.com/judyfiehler/status/473265298007920640,judyfiehler,RT @lymphoma: Read inspirational stories from members of the #lymphoma community: http://t.co/abABPhZYhL  #NCSD2014 #cancersurvivors,7.3391557,http://twitter.com/JudyFiehler/status/473265298007920640,http://twitter.com/judyfiehler
06/02/14,http://twitter.com/derodry/status/473275474240880641,derodry,RT @lymphomahub: Stratification of treatment intensity in relapsed pediatric Hodgkin #lymphoma http://t.co/fgpiDgQaEf,7.1981254,http://twitter.com/derodry/status/473275474240880641,http://twitter.com/derodry
06/02/14,http://twitter.com/emmyann3669/status/473281840099258368,emmyann3669,#Nationalcancersurvivorday.  4 months #Lymphoma free!!!! http://t.co/DNwkvwILgd,8.131357,http://twitter.com/emmyann3669/status/473281840099258368,http://twitter.com/emmyann3669
06/02/14,http://twitter.com/monkeysandmore/status/473282383798890497,monkeysandmore,"http://t.co/7yJ9gJGui3

Pls help raise funds for Cancer Research!

#Cancer #Leukemia #lymphoma #TNT http://t.co/tmcAet9Btq",8.407739,http://twitter.com/monkeysandmore/status/473282383798890497,http://twitter.com/monkeysandmore
06/02/14,http://twitter.com/4cancerresearch/status/473284634164609024,4cancerresearch,"RT @monkeysandmore: http://t.co/7yJ9gJGui3

Pls help raise funds for Cancer Research!

#Cancer #Leukemia #lymphoma #TNT http://t.co/tmcAet9…",7.359281,http://twitter.com/4CancerResearch/status/473284634164609024,http://twitter.com/4cancerresearch
06/02/14,http://twitter.com/roslauski/status/473287761516957696,roslauski,@aloeblacc @RunRocknRoll Thanks for meeting my son. He had a great time! #lymphoma #cancer #remission @ChildrensLA http://t.co/8Hy3zrXAKg,8.58073,http://twitter.com/roslauski/status/473287761516957696,http://twitter.com/roslauski
