firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/bensoncroft/status/473022628773392385,bensoncroft,Look into this particular excellent page touching on #Andropause http://t.co/Mdzv8xufR7,8.736776,http://twitter.com/bensoncroft/status/473022628773392385,http://twitter.com/bensoncroft
06/01/14,http://twitter.com/mommytomogul/status/473102177201061888,mommytomogul,#Tips to regain ur #hormone balance! http://t.co/OMWwypWEfX #menopause #womenshealth #women #energy #sleep #andropause,7.629899,http://twitter.com/MommytoMogul/status/473102177201061888,http://twitter.com/mommytomogul
06/01/14,http://twitter.com/danielmaleva67/status/473202405979332608,danielmaleva67,Have a look at such first-class site concerning #Andropause http://t.co/aVa5EDoQC0,8.173156,http://twitter.com/danielmaleva67/status/473202405979332608,http://twitter.com/danielmaleva67
06/02/14,http://twitter.com/yukasmart/status/473373865498771456,yukasmart,Check up on such excellent online site relating to #Andropause http://t.co/ELkTsOYErW,8.632259,http://twitter.com/yukasmart/status/473373865498771456,http://twitter.com/yukasmart
06/02/14,http://twitter.com/adelinamaleva/status/473384670457892865,adelinamaleva,Go over this particular great site on #Andropause http://t.co/bb3qaOwZNw,8.921701,http://twitter.com/AdelinaMaleva/status/473384670457892865,http://twitter.com/adelinamaleva
06/02/14,http://twitter.com/monicaluis9/status/473398965073739777,monicaluis9,Go to this particular wonderful page relating to #Andropause http://t.co/KhiUiK9RGx,8.679772,http://twitter.com/MonicaLuis9/status/473398965073739777,http://twitter.com/monicaluis9
06/02/14,http://twitter.com/cristinadoicu/status/473427922816995328,cristinadoicu,Visit this particular awesome page referring to #Andropause http://t.co/v7NgH08If6,8.749771,http://twitter.com/CristinaDoicu/status/473427922816995328,http://twitter.com/cristinadoicu
06/02/14,http://twitter.com/monical19774926/status/473483396153221120,monical19774926,Look into this particular awesome website pertaining to #Andropause http://t.co/yVTMNOu7Cz,8.589866,http://twitter.com/MonicaL19774926/status/473483396153221120,http://twitter.com/monical19774926
06/02/14,http://twitter.com/drzeitlin/status/473513348005638145,drzeitlin,Is male #menopause of #andropause a real thing? http://t.co/2XyYEuEdAe,8.186606,http://twitter.com/DrZeitlin/status/473513348005638145,http://twitter.com/drzeitlin
06/02/14,http://twitter.com/spanishlearns/status/473546356510846976,spanishlearns,Browse through this particular impressive internet site about #Andropause http://t.co/e4BJGDrwQW,8.554755,http://twitter.com/spanishlearns/status/473546356510846976,http://twitter.com/spanishlearns
06/02/14,http://twitter.com/biohrtclinic/status/473564598273327105,biohrtclinic,Bio-identical Hormone Replacement Therapy is a natural way to help with #menopause or #andropause. http://t.co/S9cBp1Qxau #BHRT,7.619035,http://twitter.com/BioHRTClinic/status/473564598273327105,http://twitter.com/biohrtclinic
06/03/14,http://twitter.com/tructlp/status/473766111326924800,tructlp,Check into such first-class internet site regarding #Andropause http://t.co/WBzcV89zFO,8.173713,http://twitter.com/tructlp/status/473766111326924800,http://twitter.com/tructlp
06/03/14,http://twitter.com/laptopieftin123/status/473873078770860032,laptopieftin123,Have a look at this impressive page with respect to #Andropause http://t.co/18R1zpPERR,8.859065,http://twitter.com/laptopieftin123/status/473873078770860032,http://twitter.com/laptopieftin123
06/03/14,http://twitter.com/trelleborgsealx/status/473891637718835202,trelleborgsealx,Look into this particular awesome blog with respect to #Andropause http://t.co/c3KzdNFLPA,8.772919,http://twitter.com/Trelleborgsealx/status/473891637718835202,http://twitter.com/trelleborgsealx
06/04/14,http://twitter.com/arreadygirls/status/474098461160513536,arreadygirls,#Body #Science #Infographic #Risks Associated with #Menopause and #Andropause #readygirls #woman #communication #man http://t.co/L3howUgbYK,7.4057527,http://twitter.com/ARReadyGirls/status/474098461160513536,http://twitter.com/arreadygirls
06/04/14,http://twitter.com/debraannelliott/status/474259384315707393,debraannelliott,"High Heels and Hot Flashes: Managing Andropause (""Male Menopause"") Naturally #sponsored #Andropause http://t.co/ke3j5i2BTO",7.903721,http://twitter.com/DebraAnnElliott/status/474259384315707393,http://twitter.com/debraannelliott
06/04/14,http://twitter.com/cmiebrossard/status/474265337634893824,cmiebrossard,L’#andropause http://t.co/3hg4lvx1c8,9.364776,http://twitter.com/CMIEBrossard/status/474265337634893824,http://twitter.com/cmiebrossard
