firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/authortinagayle/status/472996252297461760,authortinagayle,"RT @TCorina01: Together we can make a difference, helping 1 family at a time. #childhoodcancer Join us here: http://t.co/mLiSxNKZQN
⊕http:/…",7.654752,http://twitter.com/AuthorTinaGayle/status/472996252297461760,http://twitter.com/authortinagayle
06/01/14,http://twitter.com/letlifehappen/status/472997583485284352,letlifehappen,"Faith Drives A Father To Create A Test For Childhood Cancer http://t.co/8GyzRJI2B8
 #childhoodcancer #eyecancer",11.092088,http://twitter.com/letlifehappen/status/472997583485284352,http://twitter.com/letlifehappen
06/01/14,http://twitter.com/ritasmarketsq/status/473067653032988673,ritasmarketsq,Today is the kick off of our @AlexsLemonade Fundraiser! We're giving .50 cents off all Frozen Lemonades today! #Childhoodcancer,8.227845,http://twitter.com/RitasMarketSq/status/473067653032988673,http://twitter.com/ritasmarketsq
06/01/14,http://twitter.com/careswins/status/473074049183408129,careswins,Tune in Mon 2 hear @facesofward84 chat with us about gr8 support group 2 raise awareness of #childhoodcancer 3-4pm via @ChannelRadioLtd,9.171075,http://twitter.com/CaresWins/status/473074049183408129,http://twitter.com/careswins
06/01/14,http://twitter.com/knoxmomi/status/473080993084375040,knoxmomi,RT @RitasMarketSq: Today is the kick off of our @AlexsLemonade Fundraiser! We're giving .50 cents off all Frozen Lemonades today! #Childhoo…,7.132017,http://twitter.com/knoxmomi/status/473080993084375040,http://twitter.com/knoxmomi
06/01/14,http://twitter.com/cjyates78/status/473082583891603457,cjyates78,RT @CaresWins: Tune in Mon 2 hear @facesofward84 chat with us about gr8 support group 2 raise awareness of #childhoodcancer 3-4pm via @Chan…,6.628478,http://twitter.com/cjyates78/status/473082583891603457,http://twitter.com/cjyates78
06/01/14,http://twitter.com/kristinerudolph/status/473083314689937408,kristinerudolph,The Friends Who Were My Son's ‘Best Medicine' http://t.co/0opUnso5Qq via @HuffPostParents #childhoodcancer,11.09129,http://twitter.com/kristinerudolph/status/473083314689937408,http://twitter.com/kristinerudolph
06/01/14,http://twitter.com/rallyfoundation/status/473087867699613696,rallyfoundation,Today is National Cancer Survivors Day! #CelebrateSurvivors of #childhoodcancer - #CancerSurvivorsDay #RallyOn! http://t.co/w365fBMAeZ,10.826088,http://twitter.com/RallyFoundation/status/473087867699613696,http://twitter.com/rallyfoundation
06/01/14,http://twitter.com/ajbangela/status/473097355261390850,ajbangela,RT @CaresWins: Tune in Mon 2 hear @facesofward84 chat with us about gr8 support group 2 raise awareness of #childhoodcancer 3-4pm via @Chan…,6.628478,http://twitter.com/AJBAngela/status/473097355261390850,http://twitter.com/ajbangela
06/01/14,http://twitter.com/katiebeard/status/473098758948139009,katiebeard,"Today is National Cancer Survivors Day. I celebrate my sweet kiddos who have fought, are fighting, and will fight. #childhoodcancer",10.732606,http://twitter.com/KatieBeard/status/473098758948139009,http://twitter.com/katiebeard
06/01/14,http://twitter.com/sianamurphy/status/473101979045330944,sianamurphy,RT @CaresWins: Tune in Mon 2 hear @facesofward84 chat with us about gr8 support group 2 raise awareness of #childhoodcancer 3-4pm via @Chan…,6.628478,http://twitter.com/SianAMurphy/status/473101979045330944,http://twitter.com/sianamurphy
