firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/_facesa/status/473156897491922945,_facesa,@klbranstetter thank you for the follow. Great to see you here good friend. Look forward to sharing news on #facialdifference #raredisease.,7.860953,http://twitter.com/_FaceSA/status/473156897491922945,http://twitter.com/_facesa
06/01/14,http://twitter.com/_facesa/status/473160683161653248,_facesa,"Ironic as 1st transplant in France! ""@pfanderson: @_FaceSA Did you see this about #facetransplant http://t.co/1HUfxHtzlw #facialdifference""",8.631568,http://twitter.com/_FaceSA/status/473160683161653248,http://twitter.com/_facesa
06/06/14,http://twitter.com/health20paris/status/474811777801547776,health20paris,".@_FaceSA on stage, support her cause, use #facialdifference &lt;3 http://t.co/3lkvvJhm1n",12.554071,http://twitter.com/health20Paris/status/474811777801547776,http://twitter.com/health20paris
06/06/14,http://twitter.com/doctors20/status/474812270384795648,doctors20,Next on stage is #facialdifference advocate _@FaceSA of #hcsmsa. We've a lovely video of Vanessa to share with you later :),7.365033,http://twitter.com/doctors20/status/474812270384795648,http://twitter.com/doctors20
06/06/14,http://twitter.com/fabriceangelini/status/474813348211871744,fabriceangelini,"RT @health20Paris: .@_FaceSA on stage, support her cause, use #facialdifference &lt;3 http://t.co/3lkvvJhm1n",7.864549,http://twitter.com/FabriceAngelini/status/474813348211871744,http://twitter.com/fabriceangelini
06/06/14,http://twitter.com/_facesa/status/474817961673637888,_facesa,"RT @health20Paris: .@_FaceSA on stage, support her cause, use #facialdifference &lt;3 http://t.co/3lkvvJhm1n",7.864549,http://twitter.com/_FaceSA/status/474817961673637888,http://twitter.com/_facesa
06/06/14,http://twitter.com/tmlfox/status/474831544469946368,tmlfox,"RT @health20Paris: .@_FaceSA on stage, support her cause, use #facialdifference &lt;3 http://t.co/IgZ0CJ5xXf",12.9463625,http://twitter.com/tmlfox/status/474831544469946368,http://twitter.com/tmlfox
06/06/14,http://twitter.com/health20paris/status/474831826201366528,health20paris,"RT @tmlfox: RT @health20Paris: .@_FaceSA on stage, support her cause, use #facialdifference &lt;3 http://t.co/IgZ0CJ5xXf",11.056547,http://twitter.com/health20Paris/status/474831826201366528,http://twitter.com/health20paris
06/06/14,http://twitter.com/_facesa/status/474832610045480961,_facesa,"RT @tmlfox: RT @health20Paris: .@_FaceSA on stage, support her cause, use #facialdifference &lt;3 http://t.co/IgZ0CJ5xXf",7.6661425,http://twitter.com/_FaceSA/status/474832610045480961,http://twitter.com/_facesa
06/06/14,http://twitter.com/mhealthsurgeon/status/474835287106150400,mhealthsurgeon,"RT @tmlfox: RT @health20Paris: .@_FaceSA on stage, support her cause, use #facialdifference &lt;3 http://t.co/IgZ0CJ5xXf",7.6661425,http://twitter.com/mHealthSurgeon/status/474835287106150400,http://twitter.com/mhealthsurgeon
06/06/14,http://twitter.com/gfheu/status/474842643122618368,gfheu,"RT @tmlfox: RT @health20Paris: .@_FaceSA on stage, support her cause, use #facialdifference &lt;3 http://t.co/IgZ0CJ5xXf",7.6661425,http://twitter.com/GFHEU/status/474842643122618368,http://twitter.com/gfheu
06/06/14,http://twitter.com/tmlfox/status/474964503629950976,tmlfox,.@_FaceSA and I. She's an inspiring new #hcsm voice  from South Africa.  #Doctors20 #FacialDifference http://t.co/bjOLlTG7Ex,12.833843,http://twitter.com/tmlfox/status/474964503629950976,http://twitter.com/tmlfox
06/06/14,http://twitter.com/andrewspong/status/474965644522565632,andrewspong,RT @tmlfox: .@_FaceSA and I. She's an inspiring new #hcsm voice  from South Africa.  #Doctors20 #FacialDifference http://t.co/bjOLlTG7Ex,10.977319,http://twitter.com/andrewspong/status/474965644522565632,http://twitter.com/andrewspong
06/06/14,http://twitter.com/lau_nk/status/474965947456180224,lau_nk,RT @tmlfox: .@_FaceSA and I. She's an inspiring new #hcsm voice  from South Africa.  #Doctors20 #FacialDifference http://t.co/bjOLlTG7Ex,7.5339484,http://twitter.com/lau_nk/status/474965947456180224,http://twitter.com/lau_nk
06/06/14,http://twitter.com/_facesa/status/474972494047477761,_facesa,RT @tmlfox: .@_FaceSA and I. She's an inspiring new #hcsm voice  from South Africa.  #Doctors20 #FacialDifference http://t.co/bjOLlTG7Ex,7.5339484,http://twitter.com/_FaceSA/status/474972494047477761,http://twitter.com/_facesa
06/06/14,http://twitter.com/findlungcancer/status/474977257417867265,findlungcancer,RT @tmlfox: .@_FaceSA and I. She's an inspiring new #hcsm voice  from South Africa.  #Doctors20 #FacialDifference http://t.co/bjOLlTG7Ex,7.5339484,http://twitter.com/findlungcancer/status/474977257417867265,http://twitter.com/findlungcancer
06/06/14,http://twitter.com/foxggf/status/474977424892231680,foxggf,RT @tmlfox: .@_FaceSA and I. She's an inspiring new #hcsm voice  from South Africa.  #Doctors20 #FacialDifference http://t.co/9sQtfdXu6T,7.4801702,http://twitter.com/foxggf/status/474977424892231680,http://twitter.com/foxggf
06/06/14,http://twitter.com/_facesa/status/474979340997115904,_facesa,"MT ""@tmlfox &amp; @_FaceSA. An inspiring new #hcsm voice #SouthAfrica."" #Doctors20 #FacialDifference http://t.co/9VH6VPnUjd"" cc:@pfanderson",12.578204,http://twitter.com/_FaceSA/status/474979340997115904,http://twitter.com/_facesa
06/06/14,http://twitter.com/tony_curcio/status/474980069878685696,tony_curcio,"RT @_FaceSA: MT ""@tmlfox &amp; @_FaceSA. An inspiring new #hcsm voice #SouthAfrica."" #Doctors20 #FacialDifference http://t.co/9VH6VPnUjd"" cc:@p…",7.0217185,http://twitter.com/Tony_Curcio/status/474980069878685696,http://twitter.com/tony_curcio
06/06/14,http://twitter.com/pfanderson/status/474982215097786370,pfanderson,"RT @_FaceSA: MT ""@tmlfox &amp; @_FaceSA. An inspiring new #hcsm voice #SouthAfrica."" #Doctors20 #FacialDifference http://t.co/9VH6VPnUjd"" cc:@p…",10.52779,http://twitter.com/pfanderson/status/474982215097786370,http://twitter.com/pfanderson
06/06/14,http://twitter.com/_facesa/status/474982363446128640,_facesa,@doctors20 thank you for an incredible opportunity to learn &amp; get the #facialdifference story out! Hope to join again in 2015! #doctors20,12.017201,http://twitter.com/_FaceSA/status/474982363446128640,http://twitter.com/_facesa
06/06/14,http://twitter.com/alanroygbiv/status/474982863302311936,alanroygbiv,RT @_FaceSA: @doctors20 thank you for an incredible opportunity to learn &amp; get the #facialdifference story out! Hope to join again in 2015!…,10.421541,http://twitter.com/alanROYGBIV/status/474982863302311936,http://twitter.com/alanroygbiv
06/06/14,http://twitter.com/doctors20/status/474991861917290496,doctors20,"RT @_FaceSA: MT ""@tmlfox &amp; @_FaceSA. An inspiring new #hcsm voice #SouthAfrica."" #Doctors20 #FacialDifference http://t.co/9VH6VPnUjd"" cc:@p…",7.0217185,http://twitter.com/doctors20/status/474991861917290496,http://twitter.com/doctors20
