firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/02/14,http://twitter.com/prabhudev_dr/status/473401421422141441,prabhudev_dr,"Have #Hippain and #arthritis ? Now Return to your younger age ! 
Get the treatment with Orthopedic Surgery Center... http://t.co/9OuPvT6p7s",7.7170315,http://twitter.com/prabhudev_dr/status/473401421422141441,http://twitter.com/prabhudev_dr
06/02/14,http://twitter.com/prabhudev_dr/status/473402278159085568,prabhudev_dr,Have #Hippain and #arthritis ? Now Return to your younger age !  Get the treatment with Orthopedic S http://t.co/UIPOz1RFCh,7.758132,http://twitter.com/prabhudev_dr/status/473402278159085568,http://twitter.com/prabhudev_dr
06/02/14,http://twitter.com/sarbearrr33/status/473471459109904384,sarbearrr33,Legit dating an old man #hippain #kneepain,8.482454,http://twitter.com/SarBearrr33/status/473471459109904384,http://twitter.com/sarbearrr33
06/02/14,http://twitter.com/doacupuncture/status/473545523300151297,doacupuncture,Wanted to say hello to my #acupals in #acupuncturehour.  Busy in the clinic today - #hippain &amp; #anxiety... sorry to miss the bulk of it.,8.557449,http://twitter.com/DoAcupuncture/status/473545523300151297,http://twitter.com/doacupuncture
06/02/14,http://twitter.com/mrscurle/status/473545763965112320,mrscurle,RT @DoAcupuncture: Wanted to say hello to my #acupals in #acupuncturehour.  Busy in the clinic today - #hippain &amp; #anxiety... sorry to miss…,7.071351,http://twitter.com/MrsCurle/status/473545763965112320,http://twitter.com/mrscurle
06/02/14,http://twitter.com/acuhour/status/473546300462739456,acuhour,RT @DoAcupuncture: Wanted to say hello to my #acupals in #acupuncturehour.  Busy in the clinic today - #hippain &amp; #anxiety... sorry to miss…,7.071351,http://twitter.com/AcuHour/status/473546300462739456,http://twitter.com/acuhour
06/02/14,http://twitter.com/pain_dr/status/473569843489566721,pain_dr,"Why Your Hip Hurts: 3 Common Causes of Hip Pain: Osteoarthritis, Tendinitis &amp; Bursitis. http://t.co/VpZiRJlJWt #HipPain #ChronicPain",9.050129,http://twitter.com/Pain_Dr/status/473569843489566721,http://twitter.com/pain_dr
06/02/14,http://twitter.com/windsorlady52/status/473596301016596481,windsorlady52,"RT @Pain_Dr: Why Your Hip Hurts: 3 Common Causes of Hip Pain: Osteoarthritis, Tendinitis &amp; Bursitis. http://t.co/VpZiRJlJWt #HipPain #Chron…",7.2730308,http://twitter.com/Windsorlady52/status/473596301016596481,http://twitter.com/windsorlady52
06/03/14,http://twitter.com/hotwheelselpers/status/473700263648563200,hotwheelselpers,Never again will I choose to sleep on the floor /: #hippain #teamnosleep,8.655848,http://twitter.com/HotWheelsElpers/status/473700263648563200,http://twitter.com/hotwheelselpers
06/03/14,http://twitter.com/chartclinic/status/473888157466099712,chartclinic,"RT @Pain_Dr: Why Your Hip Hurts: 3 Common Causes of Hip Pain: Osteoarthritis, Tendinitis &amp; Bursitis. http://t.co/vRj5GzOJ4S #HipPain...",7.3853693,http://twitter.com/chartclinic/status/473888157466099712,http://twitter.com/chartclinic
06/04/14,http://twitter.com/fittipsjessical/status/474144204806180864,fittipsjessical,And do it pain free with mykneehurts.co #runningday #kneepain #hippain #backpain #achilles #anklepain #shoulderpain http://t.co/YRK34cDf0P,7.2120805,http://twitter.com/FitTipsJessicaL/status/474144204806180864,http://twitter.com/fittipsjessical
06/04/14,http://twitter.com/theresetsystem/status/474225673607733250,theresetsystem,"""Corrective homework"" that lasts more than a few hours is obsolete.
#FMS
#SFMA
#RestorativeExercise
#CorrectiveExercise
#BackPain
#HipPain",7.2221966,http://twitter.com/theRESETsystem/status/474225673607733250,http://twitter.com/theresetsystem
06/04/14,http://twitter.com/coachburow/status/474274755017990144,coachburow,#backpain? #hippain? #tightmuscles? A FREE resource developed at Princeton Athletic Medicine for Lumbar/Core... http://t.co/1D6IZfhrf7,7.140091,http://twitter.com/CoachBurow/status/474274755017990144,http://twitter.com/coachburow
