firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/prem_scripts/status/472999898112331776,prem_scripts,Prestashop Module :: Vertical Megamenu http://t.co/2vVfGFRmVR #Add Ons,7.382203,http://twitter.com/prem_scripts/status/472999898112331776,http://twitter.com/prem_scripts
06/01/14,http://twitter.com/famouel/status/473001512869044226,famouel,#LucasMouraNoAltasHoras Esse #add seguidores e f... https://t.co/uWZbMDm6eS 775,7.639072,http://twitter.com/FamouEl/status/473001512869044226,http://twitter.com/famouel
06/01/14,http://twitter.com/yadistr/status/473001517214351360,yadistr,#LucasMouraNoAltasHoras Esse #add seguidores e f... https://t.co/WlDaY3puxS 775,7.633666,http://twitter.com/yadistr/status/473001517214351360,http://twitter.com/yadistr
06/01/14,http://twitter.com/abbibrondon13/status/473001525602951168,abbibrondon13,#LucasMouraNoAltasHoras Esse #add seguidores e f... https://t.co/w5VCNg7wwf 775,7.646363,http://twitter.com/abbibrondon13/status/473001525602951168,http://twitter.com/abbibrondon13
06/01/14,http://twitter.com/laaivaniitha/status/473001529977618432,laaivaniitha,#LucasMouraNoAltasHoras Esse #add seguidores e f... https://t.co/fGTyLN5LbI 775,7.6359315,http://twitter.com/laaivaniitha/status/473001529977618432,http://twitter.com/laaivaniitha
06/01/14,http://twitter.com/snfadilah32/status/473001538294927360,snfadilah32,#LucasMouraNoAltasHoras Esse #add seguidores e f... https://t.co/je7isYrvGg 775,7.64089,http://twitter.com/SNfadilah32/status/473001538294927360,http://twitter.com/snfadilah32
06/01/14,http://twitter.com/jonathansilvalo/status/473001542665388032,jonathansilvalo,#LucasMouraNoAltasHoras Esse #add seguidores e f... https://t.co/lirnkSFjlw 775,7.646363,http://twitter.com/JONATHANSILVALO/status/473001542665388032,http://twitter.com/jonathansilvalo
06/01/14,http://twitter.com/prem_scripts/status/473006985248768001,prem_scripts,Animation CSS3 Effects - Visual Composer Wordpress http://t.co/d6V5m6oG4W #Add Ons,7.174116,http://twitter.com/prem_scripts/status/473006985248768001,http://twitter.com/prem_scripts
06/01/14,http://twitter.com/salomalohali/status/473009924142678016,salomalohali,#swiftpic #add #me :slo0om              #sloom #ss #le                                 #مساء_الخير 👱… http://t.co/KLFiPHnZ14,7.80472,http://twitter.com/salomalohali/status/473009924142678016,http://twitter.com/salomalohali
06/01/14,http://twitter.com/mochasheinv/status/473010902896480256,mochasheinv,"Rheniel XD
Albert Arabejo
Jan XD
@Aramae Arab

#add
#plug",6.879362,http://twitter.com/mochasheinV/status/473010902896480256,http://twitter.com/mochasheinv
06/01/14,http://twitter.com/iamnickvibes/status/473011405021380609,iamnickvibes,Late nights/early mornings #Arranging 🎵🎼🎵🎼 a lil #OCD &amp; #ADD but I make it work 😉 http://t.co/MEKazxQoHO,6.8736243,http://twitter.com/iamnickvibes/status/473011405021380609,http://twitter.com/iamnickvibes
06/01/14,http://twitter.com/mochasheinv/status/473011839853682688,mochasheinv,"JB Asistio
Jösh Ursüa

#add
#plug",7.49136,http://twitter.com/mochasheinV/status/473011839853682688,http://twitter.com/mochasheinv
06/01/14,http://twitter.com/edilsonllneto/status/473012077792354304,edilsonllneto,#PLL100thEpisodePartyTonight Esse #add seguidores e f... http://t.co/SlxZl1x4ly 60,7.8622622,http://twitter.com/EdilsonLLNeto/status/473012077792354304,http://twitter.com/edilsonllneto
