firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/teamtrickett/status/473012920943935488,teamtrickett,"#ALS Awareness Month - Day 31

Don't skip it, it's might be  nightmare material but it's happening to me and... http://t.co/SvuTJqAjNh",7.3358493,http://twitter.com/teamtrickett/status/473012920943935488,http://twitter.com/teamtrickett
06/01/14,http://twitter.com/sixwaylymie/status/473046872375173120,sixwaylymie,"CT Lyme Riders, Inc. - Dedicated To Raising Awareness And Education About Lyme Disease http://t.co/XKNgiUpTkA #lymedisease #lyme #ms #als",6.751213,http://twitter.com/sixwaylymie/status/473046872375173120,http://twitter.com/sixwaylymie
06/01/14,http://twitter.com/primary_immune/status/473048790564212737,primary_immune,@Florida_Today: High School Students' #LouGehrig Disease Experiment Reproduced By Space Station Astronauts  http://t.co/5qQTplAjNZ #ALS #MND,6.9794846,http://twitter.com/Primary_Immune/status/473048790564212737,http://twitter.com/primary_immune
06/01/14,http://twitter.com/christianmunthe/status/473061572957712385,christianmunthe,"#CellTex on the #Burzynski #quackery wagon again, bleeding #ALS patient for her last buck http://t.co/4HvkUd6ZQC #stemcells #bioethics",9.995923,http://twitter.com/christianmunthe/status/473061572957712385,http://twitter.com/christianmunthe
06/01/14,http://twitter.com/sixwaylymie/status/473061638581800960,sixwaylymie,Diagnosis &amp; Treatment Of Mycoplasmal Infections In Persian GWI/CFIDS Patients | © 1996 IMM http://t.co/eJxzwIdLhW #gwi #cfs #fms #lyme #als,6.1554394,http://twitter.com/sixwaylymie/status/473061638581800960,http://twitter.com/sixwaylymie
06/01/14,http://twitter.com/chapin4u/status/473063006210109440,chapin4u,The Living with #ALS Daily is out! http://t.co/kAbrMGhZRU Stories via @SimonFitzMND @MatMendel @INDATAproject,11.192893,http://twitter.com/chapin4u/status/473063006210109440,http://twitter.com/chapin4u
06/01/14,http://twitter.com/pwadey/status/473067031349428224,pwadey,June is #MNDAwarenessMonth. Please show your support and RT to raise awareness #MND #ALS @mndassoc http://t.co/fRN2tfoEjm,8.803552,http://twitter.com/pwadey/status/473067031349428224,http://twitter.com/pwadey
06/01/14,http://twitter.com/favouritehuman/status/473073602334822400,favouritehuman,So excited for @HOPEforSteve today. Show the love to @HopieAnnC &amp; #stevedezember &amp; help spread awareness about #ALS ✌💞,6.6386166,http://twitter.com/FavouriteHuman/status/473073602334822400,http://twitter.com/favouritehuman
06/01/14,http://twitter.com/temeritytm/status/473076160134643712,temeritytm,June is ALS Awareness Month. Follow @ALSCanada &amp; @ALSCanResearch to learn more #ALS Lou Gehrigs. #WALKforALS funds research &amp; services.,8.196367,http://twitter.com/temerityTM/status/473076160134643712,http://twitter.com/temeritytm
06/01/14,http://twitter.com/roxyserra/status/473076269471772672,roxyserra,RT @temerityTM: June is ALS Awareness Month. Follow @ALSCanada &amp; @ALSCanResearch to learn more #ALS Lou Gehrigs. #WALKforALS funds research…,6.379359,http://twitter.com/roxyserra/status/473076269471772672,http://twitter.com/roxyserra
06/01/14,http://twitter.com/heartsofdurham/status/473076369036181504,heartsofdurham,RT @temerityTM: June is ALS Awareness Month. Follow @ALSCanada &amp; @ALSCanResearch to learn more #ALS Lou Gehrigs. #WALKforALS funds research…,6.379359,http://twitter.com/HeartsofDurham/status/473076369036181504,http://twitter.com/heartsofdurham
06/01/14,http://twitter.com/sixwaylymie/status/473077384514527232,sixwaylymie,"""The Sun Is My Enemy: One Woman's Victory Over Mysterious And Dreaded Disease - LUPUS"" | © 1972 BP http://t.co/wEJ0Pqkr5F #lupus #lyme #als",6.834465,http://twitter.com/sixwaylymie/status/473077384514527232,http://twitter.com/sixwaylymie
06/01/14,http://twitter.com/herbzurkowsky1/status/473077607131774976,herbzurkowsky1,"And so it begins - again. #Als' training camp, 2014. But how long will it last? That's the question. http://t.co/XJ1JPj86cN",11.552313,http://twitter.com/HerbZurkowsky1/status/473077607131774976,http://twitter.com/herbzurkowsky1
06/01/14,http://twitter.com/hefteronthehabs/status/473077742645166081,hefteronthehabs,"RT @HerbZurkowsky1: And so it begins - again. #Als' training camp, 2014. But how long will it last? That's the question. http://t.co/XJ1JPj…",10.264951,http://twitter.com/hefteronthehabs/status/473077742645166081,http://twitter.com/hefteronthehabs
06/01/14,http://twitter.com/keithrowe888/status/473079293980196864,keithrowe888,"RT @HerbZurkowsky1: And so it begins - again. #Als' training camp, 2014. But how long will it last? That's the question. http://t.co/XJ1JPj…",6.991774,http://twitter.com/Keithrowe888/status/473079293980196864,http://twitter.com/keithrowe888
06/01/14,http://twitter.com/ali_steventon/status/473076660900622336,fightalsmonster,RT @ali_steventon: #RIPLindyJones Read the quote @ top of her web page &amp; you'll know that she was a woman after my own heart #ALS #MND http…,7.596789,http://twitter.com/FightALSMonster/status/473080785226833922,http://twitter.com/fightalsmonster
06/01/14,http://twitter.com/jagregoire/status/473083337876467712,jagregoire,Church then Rhythms in Red for #ALS at Falmouth High at 1 PM. Beautiful day and a good cause! http://t.co/Yk2Bt1caZp #HopeJGFoundation,7.3421826,http://twitter.com/jagregoire/status/473083337876467712,http://twitter.com/jagregoire
06/01/14,http://twitter.com/jpshoiry/status/473086947469324288,jpshoiry,Best of luck to the @MTLAlouettes on starting their training camp! Especially friends in the staff @jvposyaudette @JimPoppGM #Als,8.599969,http://twitter.com/jpshoiry/status/473086947469324288,http://twitter.com/jpshoiry
