firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/alztuz/status/472996304998506496,alztuz,Donate to The Gate Films’s JustGiving page http://t.co/VhsdsQYGsH #alzheimer #treatment #prevention #justgiving #thegatefilms #csr #risk,6.53742,http://twitter.com/AlzTuz/status/472996304998506496,http://twitter.com/alztuz
06/01/14,http://twitter.com/debiluck/status/473000831965339648,debiluck,@startuprepair #Bicycling the USA to help cure #Alzheimer's follow http://t.co/DafLIZ8IAN,10.707932,http://twitter.com/debiluck/status/473000831965339648,http://twitter.com/debiluck
06/01/14,http://twitter.com/heal_angelman_s/status/473001121720459265,angelmankids,#Man Dramatically Reverses #Alzheimer’s #Symptoms with #Coconut Oil http://t.co/fc89pMx6pj via @sharethis,8.361113,http://twitter.com/Heal_Angelman_S/status/473001121720459265,http://twitter.com/angelmankids
06/01/14,http://twitter.com/hartreikicures/status/473001693173391360,hartreikicures,#Turmeric Produces 'Remarkable' #Recovery in #Alzheimer's #Patients http://t.co/uk4uZRcZT5,7.429988,http://twitter.com/HartReikiCURES/status/473001693173391360,http://twitter.com/hartreikicures
06/01/14,http://twitter.com/hartreikicures/status/473004751186313216,hartreikicures,RT @Heal_Angelman_S: #Man Dramatically Reverses #Alzheimer’s #Symptoms with #Coconut Oil http://t.co/fc89pMx6pj via @sharethis,6.8857346,http://twitter.com/HartReikiCURES/status/473004751186313216,http://twitter.com/hartreikicures
06/01/14,http://twitter.com/stevenglenn01/status/473006396976680960,stevenglenn01,RT @Heal_Angelman_S: #Man Dramatically Reverses #Alzheimer’s #Symptoms with #Coconut Oil http://t.co/fc89pMx6pj via @sharethis,6.8857346,http://twitter.com/stevenglenn01/status/473006396976680960,http://twitter.com/stevenglenn01
06/01/14,http://twitter.com/alztuz/status/473011135931625472,alztuz,#Alzheimer’s Therapeutic Activities http://t.co/SrzZWidTMm #symptoms #treatment #dementia #alzheimers,7.2771025,http://twitter.com/AlzTuz/status/473011135931625472,http://twitter.com/alztuz
06/01/14,http://twitter.com/vitalxposure/status/473013614312706049,vitalxposure,Check out @disabilityarts #LetMeStay review and feedback http://t.co/Ae4AhweM8s what do you think about #Alzheimer's on stage?,7.022968,http://twitter.com/VitalXposure/status/473013614312706049,http://twitter.com/vitalxposure
06/01/14,http://twitter.com/agoldenbay/status/473019200739749889,alzhcuidadores,"RT @agoldenbay: Great news! ""@DementiaToday: More Good News for Alzheimer's Experimental Drug Solanezumab http://t.co/iz7VKU5r67 #dementia,…",6.848136,http://twitter.com/alzhcuidadores/status/473021472471281664,http://twitter.com/alzhcuidadores
06/01/14,http://twitter.com/alztuz/status/473026256280121344,alztuz,The Scent of a Woman http://t.co/EvfqjkasyI #alzheimer #dementia #rive #spray,7.3675175,http://twitter.com/AlzTuz/status/473026256280121344,http://twitter.com/alztuz
06/01/14,http://twitter.com/alzheimerhead/status/473029010512183296,alzheimerhead,An Alzheimer Choir - Alzheimer; News from the web: Organisers said people with... http://t.co/brrqY70Mmd #alzheimer #dementia,7.8914995,http://twitter.com/AlzheimerHead/status/473029010512183296,http://twitter.com/alzheimerhead
06/01/14,http://twitter.com/alzhcuidadores/status/473029163931402240,alzhcuidadores,RT @AlzheimerHead: An Alzheimer Choir - Alzheimer; News from the web: Organisers said people with... http://t.co/brrqY70Mmd #alzheimer #dem…,6.7978277,http://twitter.com/alzhcuidadores/status/473029163931402240,http://twitter.com/alzhcuidadores
06/01/14,http://twitter.com/cashlead4life/status/473029170528673793,cashlead4life,"BrainFuelPlus relief #Alzheimer, #Dimentia, #Anxiety #NeurologicalDisorder. 
 http://t.co/ftL61wUaxk
#Workfromhome.
 http://t.co/CLfvrA5Dhy",6.8961105,http://twitter.com/CashLead4Life/status/473029170528673793,http://twitter.com/cashlead4life
06/01/14,http://twitter.com/debiluck/status/473033125350498304,debiluck,@startuprepair More #Alzheimer's news and a bike ride to raise money to find a cure. http://t.co/DafLIZ8IAN,10.734387,http://twitter.com/debiluck/status/473033125350498304,http://twitter.com/debiluck
06/01/14,http://twitter.com/igorhn/status/473037471731568640,igorhn,#Turmeric Produces 'Remarkable' Recovery in #Alzheimer's Patients http://t.co/NQTpAkFLS6 via @HartReikiCURES  #Health,7.195563,http://twitter.com/igorhn/status/473037471731568640,http://twitter.com/igorhn
05/25/14,http://twitter.com/alztuz/status/470685809553575937,alovingme,RT @AlzTuz: High Fat Cholesterol Diet Exhibits Pathologies Similar To #Alzheimer's http://t.co/24Poe8WaVv #plaques #Alzheimers http://t.co/…,7.5617194,http://twitter.com/ALovingMe/status/473041054439342080,http://twitter.com/alovingme
06/01/14,http://twitter.com/alztuz/status/473056720726413312,alztuz,Dumbarton man opens his heart on #Alzheimer’s #diagnosis http://t.co/Q8qtjTE8RE #Daily_Record #Dementia #alzheimers #Balloch #Clydebank,6.53742,http://twitter.com/AlzTuz/status/473056720726413312,http://twitter.com/alztuz
06/01/14,http://twitter.com/franklanguage/status/473057381832986624,franklanguage,#Cinnamon and #Alzheimer's Diseasehttp:/ http://t.co/OYJ8M28Koh,10.832021,http://twitter.com/franklanguage/status/473057381832986624,http://twitter.com/franklanguage
06/01/14,http://twitter.com/alzheimer_info/status/473063198279491584,alzheimer_info,#Alzheimer News Get info on fundraiser walk: WESTMINSTER -- The Alzheimer's Association... http://t.co/bVvukgP4Zm http://t.co/Bumu7yXfPK,7.715752,http://twitter.com/Alzheimer_Info/status/473063198279491584,http://twitter.com/alzheimer_info
06/01/14,http://twitter.com/alzhcuidadores/status/473064317945139200,alzhcuidadores,RT @Alzheimer_Info: #Alzheimer News Get info on fundraiser walk: WESTMINSTER -- The Alzheimer's Association... http://t.co/bVvukgP4Zm http:…,6.7022586,http://twitter.com/alzhcuidadores/status/473064317945139200,http://twitter.com/alzhcuidadores
06/01/14,http://twitter.com/alztuz/status/473071511180296192,alztuz,Man dealing with #Alzheimer's has a tearful moment of clarity http://t.co/veydNUN8SL #alzheimers #PCs #Kim http://t.co/mV0U0eOF9S,7.2422733,http://twitter.com/AlzTuz/status/473071511180296192,http://twitter.com/alztuz
06/01/14,http://twitter.com/dradkline/status/473072443213770752,dradkline,Free article: γ-secretase expert Prof Michael Wolfe discusses #Alzheimer's antisense therapies targeting BACE1 &amp; tau: http://t.co/EP8AOQUjkt,7.1426105,http://twitter.com/DrADKline/status/473072443213770752,http://twitter.com/dradkline
06/01/14,http://twitter.com/alzheimerhead/status/473074451228401664,alzheimerhead,Alzheimer and age discrimination - Alzheimer; News from the web: Read the story about... http://t.co/s8CoAK1uZH #alzheimer #dementia,8.661901,http://twitter.com/AlzheimerHead/status/473074451228401664,http://twitter.com/alzheimerhead
