firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/bethyb1886/status/473066576942735360,bethyb1886,Listen to the repeat of my @age_uk The Wireless interview 1-2pm today http://t.co/W3tpc52MC1 #dementiachallengers,8.539641,http://twitter.com/bethyb1886/status/473066576942735360,http://twitter.com/bethyb1886
06/01/14,http://twitter.com/wakelym/status/473067587916804096,wakelym,RT @bethyb1886: Listen to the repeat of my @age_uk The Wireless interview 1-2pm today http://t.co/W3tpc52MC1 #dementiachallengers,7.5190673,http://twitter.com/wakelym/status/473067587916804096,http://twitter.com/wakelym
06/01/14,http://twitter.com/whoseshoes/status/473095414733094912,whoseshoes,Woohoo! I love the idea of being pioneering. Thank you @helenbevan @patientmemoirs :-) #peopleincharge #dementiachallengers &amp; #boatrockers 💥,10.091348,http://twitter.com/WhoseShoes/status/473095414733094912,http://twitter.com/whoseshoes
06/01/14,http://twitter.com/salsa442/status/473172412172103682,salsa442,"@tommyNtour You're very welcome as always. Hope it goes well, the agenda looks tremendous #DementiaFriends #DementiaChallengers #voices",8.145026,http://twitter.com/salsa442/status/473172412172103682,http://twitter.com/salsa442
06/01/14,http://twitter.com/tommyntour/status/473172458661740545,tommyntour,"RT @salsa442: @tommyNtour You're very welcome as always. Hope it goes well, the agenda looks tremendous #DementiaFriends #DementiaChallenge…",7.200748,http://twitter.com/tommyNtour/status/473172458661740545,http://twitter.com/tommyntour
06/01/14,http://twitter.com/whoseshoes/status/473227249164886018,whoseshoes,VERY interesting comments on @kenhowarduk blog: living with younger onset #dementia http://t.co/AN3KFq6Wog #dementiachallengers,13.171943,http://twitter.com/WhoseShoes/status/473227249164886018,http://twitter.com/whoseshoes
06/02/14,http://twitter.com/cosmakin/status/473355032277299200,cosmakin,"Saw Butterfly Scheme working well on wards 9,10, and 12 @BCUHB staff reporting how it supports compassionate care #dementiachallengers",10.356326,http://twitter.com/COSMakin/status/473355032277299200,http://twitter.com/cosmakin
06/02/14,http://twitter.com/butterflyscheme/status/473361507582242816,butterflyscheme,On my way to Lincolnshire and really looking forward to meeting all the community hospital teams over the next 2 days #dementiachallengers,7.8686614,http://twitter.com/ButterflyScheme/status/473361507582242816,http://twitter.com/butterflyscheme
06/02/14,http://twitter.com/kenhowarduk/status/473369047824752640,kenhowarduk,RT @WhoseShoes: VERY interesting comments on @kenhowarduk blog: living with younger onset #dementia http://t.co/AN3KFq6Wog #dementiachallen…,7.44949,http://twitter.com/kenhowarduk/status/473369047824752640,http://twitter.com/kenhowarduk
06/02/14,http://twitter.com/karenlashingto1/status/473377646697779200,karenlashingto1,RT @WhoseShoes: VERY interesting comments on @kenhowarduk blog: living with younger onset #dementia http://t.co/AN3KFq6Wog #dementiachallen…,7.44949,http://twitter.com/KarenLashingto1/status/473377646697779200,http://twitter.com/karenlashingto1
