firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/hdssg1/status/473001488126865408,hdssg1,Looking forward to seeing @ArtfulPlay later this morning! #DownSyndrome #family #fun #interactive #story #music http://t.co/mCN85ijAyq,7.2415004,http://twitter.com/hdssg1/status/473001488126865408,http://twitter.com/hdssg1
06/01/14,http://twitter.com/alexdesilva94/status/473032934703001600,alexdesilva94,@MCooper26 😂 well my boy groves bossed it last time! This time he might as well of thrown in the towel in 3rd round! #DownSyndrome,8.139052,http://twitter.com/alexdesilva94/status/473032934703001600,http://twitter.com/alexdesilva94
06/01/14,http://twitter.com/theappyladies/status/473064018153070593,theappyladies,#giveaways from @OwnFoneANZ win 1 of 2 Personalised Mobile Phones with 4mth contacts to be won http://t.co/pipi07C6Ar #autism #downsyndrome,7.098079,http://twitter.com/TheAppyLadies/status/473064018153070593,http://twitter.com/theappyladies
06/01/14,http://twitter.com/lovedexter3/status/473074273863479296,lovedexter3,#TheMusicMakers - love them! https://t.co/mT1N2xNKWh @melissatierneys started the group 5yrs ago! She's now 19. Legend #autism #Downsyndrome,8.602572,http://twitter.com/LoveDexter3/status/473074273863479296,http://twitter.com/lovedexter3
06/01/14,http://twitter.com/beth_hewitt/status/473077862795182080,beth_hewitt,RT @LoveDexter3: #TheMusicMakers - love them! https://t.co/mT1N2xNKWh @melissatierneys started the group 5yrs ago! She's now 19. Legend #au…,6.757211,http://twitter.com/beth_hewitt/status/473077862795182080,http://twitter.com/beth_hewitt
06/01/14,http://twitter.com/hdssg1/status/473088412904603648,hdssg1,We also made a start on our @letouryorkshire jersey square! #DownSyndrome #community #GrandDepart #arty http://t.co/ieG0veqVbF,7.1580005,http://twitter.com/hdssg1/status/473088412904603648,http://twitter.com/hdssg1
06/01/14,http://twitter.com/rickyroberts96/status/473089820420759552,rickyroberts96,Happy 18th birthday to @K_Kuhl61 don't buy too much porn #legal #old #slut #downsyndrome,8.224022,http://twitter.com/rickyroberts96/status/473089820420759552,http://twitter.com/rickyroberts96
06/01/14,http://twitter.com/k_kuhl61/status/473091709744992256,k_kuhl61,RT @rickyroberts96: Happy 18th birthday to @K_Kuhl61 don't buy too much porn #legal #old #slut #downsyndrome,7.1805363,http://twitter.com/K_Kuhl61/status/473091709744992256,http://twitter.com/k_kuhl61
06/01/14,http://twitter.com/drrobmelillo/status/473110545634439169,drrobmelillo,7 Awesome Life Lessons My Son With #DownSyndrome Taught Me http://t.co/S0Gb27BjuB via @HuffPostParents #Family #Attachment,10.526359,http://twitter.com/DrRobMelillo/status/473110545634439169,http://twitter.com/drrobmelillo
06/01/14,http://twitter.com/nancy_deol/status/473110550642450432,nancy_deol,Portrait of a Young Man with #DownSyndrome | Al Jazeera America http://t.co/tIbOhUBgBo,8.104568,http://twitter.com/Nancy_Deol/status/473110550642450432,http://twitter.com/nancy_deol
06/01/14,http://twitter.com/claredale12/status/473110790942519297,claredale12,RT @DrRobMelillo: 7 Awesome Life Lessons My Son With #DownSyndrome Taught Me http://t.co/S0Gb27BjuB via @HuffPostParents #Family #Attachment,7.2415004,http://twitter.com/claredale12/status/473110790942519297,http://twitter.com/claredale12
06/01/14,http://twitter.com/dsagsl/status/473116974911090688,dsagsl,HUGE thanks to Step Up for #Downsyndrome 2014 Sponsor @BoomerangTube!,7.7499337,http://twitter.com/dsagsl/status/473116974911090688,http://twitter.com/dsagsl
06/01/14,http://twitter.com/dsagslstepup/status/473117002316660737,dsagslstepup,HUGE thanks to Step Up for #Downsyndrome 2014 Sponsor @BoomerangTube!,7.758602,http://twitter.com/DSAGSLStepUp/status/473117002316660737,http://twitter.com/dsagslstepup
06/01/14,http://twitter.com/dsadoption/status/473117026626830336,dsadoption,Your Sunday Morning Smile http://t.co/fiM6XX8SQd #downsyndrome #adoption,8.348288,http://twitter.com/dsadoption/status/473117026626830336,http://twitter.com/dsadoption
