firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/alyonhomefront/status/473073621452083201,alyonhomefront,"Heading to High Park to take part in Chuck's 5 km Run/walk for #Dystonia, a crippling neurological disorder.  Starts at 11. Come on out!",7.4910703,http://twitter.com/alyonhomefront/status/473073621452083201,http://twitter.com/alyonhomefront
06/01/14,http://twitter.com/n_goodfellow/status/473113765165023232,n_goodfellow,Beautiful day @RunningRoom Chuck's run for #dystonia with the  @OntarioBrain run club,9.208345,http://twitter.com/N_Goodfellow/status/473113765165023232,http://twitter.com/n_goodfellow
06/01/14,http://twitter.com/dystoniantrex/status/473114468462125057,dystoniantrex,"Promote Dystonia Awareness 
https://t.co/ai6WQsREbU
#dystonia #dystoniaawareness raiseawarenessfordystonia",8.225348,http://twitter.com/DystonianTrex/status/473114468462125057,http://twitter.com/dystoniantrex
06/01/14,http://twitter.com/neuronula/status/473144061667188736,neuronula,Exasperated. A complete rollercoaster of emotions. http://t.co/8bT6ldGbXI via @Dairyfree92 #Dystonia #Blog,9.175267,http://twitter.com/NeuroNula/status/473144061667188736,http://twitter.com/neuronula
06/01/14,http://twitter.com/donnafigurski/status/473144544633290752,donnafigurski,RT @NeuroNula: Exasperated. A complete rollercoaster of emotions. http://t.co/8bT6ldGbXI via @Dairyfree92 #Dystonia #Blog,7.391502,http://twitter.com/DonnaFigurski/status/473144544633290752,http://twitter.com/donnafigurski
06/01/14,http://twitter.com/lucasng7/status/473145617708253184,lucasng7,RT @N_Goodfellow: Beautiful day @RunningRoom Chuck's run for #dystonia with the  @OntarioBrain run club,7.3935995,http://twitter.com/LucasNg7/status/473145617708253184,http://twitter.com/lucasng7
06/02/14,http://twitter.com/chanr11/status/473264140912312320,chanr11,"Big hill didn't stop OBI team in Chuck's Run 4 #Dystonia! Well done @N_Goodfellow, @LucasNg7, Carlos, Francis + dad. http://t.co/ClGCXwNDiE",8.62402,http://twitter.com/ChanR11/status/473264140912312320,http://twitter.com/chanr11
06/02/14,http://twitter.com/lucasng7/status/473264284877996032,lucasng7,"RT @ChanR11: Big hill didn't stop OBI team in Chuck's Run 4 #Dystonia! Well done @N_Goodfellow, @LucasNg7, Carlos, Francis + dad. http://t.…",7.0900736,http://twitter.com/LucasNg7/status/473264284877996032,http://twitter.com/lucasng7
06/02/14,http://twitter.com/gamsmith/status/473278359762247680,gamsmith,"RT @ChanR11: Big hill didn't stop OBI team in Chuck's Run 4 #Dystonia! Well done @N_Goodfellow, @LucasNg7, Carlos, Francis + dad. http://t.…",7.0900736,http://twitter.com/GAMSmith/status/473278359762247680,http://twitter.com/gamsmith
06/02/14,http://twitter.com/boredlittlegal/status/473334755291693056,boredlittlegal,RT @stephenfry: Heard of #dystonia? A neuro condition where the body goes out of control. Let’s help @DystoniaSociety raise awareness http:…,10.415121,http://twitter.com/boredlittlegal/status/473334755291693056,http://twitter.com/boredlittlegal
