firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/elhf_info/status/472997255428202496,elhf_info,#Transplants of embryonic neural cells can alleviate #epilepsy #seizure activity in mice ... http://t.co/8TjWFzjSTA. Via @Epilepsy_bio.,8.893758,http://twitter.com/elhf_info/status/472997255428202496,http://twitter.com/elhf_info
06/01/14,http://twitter.com/winonemil/status/472998700433043456,winonemil,RT @elhf_info: #Transplants of embryonic neural cells can alleviate #epilepsy #seizure activity in mice ... http://t.co/8TjWFzjSTA. Via @Ep…,6.6753426,http://twitter.com/WinOneMil/status/472998700433043456,http://twitter.com/winonemil
06/01/14,http://twitter.com/degadegadegade/status/472999175874166785,degadegadegade,#anxiety #depression #PTSD #crohns #fibromyalgia #bipolar #lupus #Cancer #autism #epilepsy #HeartDisease #arthritis http://t.co/rQzeM44i26,8.746458,http://twitter.com/degadegadegade/status/472999175874166785,http://twitter.com/degadegadegade
06/01/14,http://twitter.com/winonemil/status/473001700060852224,winonemil,RT @degadegadegade: #anxiety #depression #PTSD #crohns #fibromyalgia #bipolar #lupus #Cancer #autism #epilepsy #HeartDisease #arthritis htt…,6.6846075,http://twitter.com/WinOneMil/status/473001700060852224,http://twitter.com/winonemil
06/01/14,http://twitter.com/rima_regas/status/473001950116446209,rima_regas,Neural transplant reduces absence #epilepsy #seizures in mice http://t.co/owpInxVeSD via .@psypost | #Health #Research #AbsenceSeizures,11.181621,http://twitter.com/Rima_Regas/status/473001950116446209,http://twitter.com/rima_regas
06/01/14,http://twitter.com/leoniedelt/status/473002448949608448,leoniedelt,@Antepilepsyblog thank you. it was the pain relief and better sleep i wasnt expecting! #epilepsy,7.671416,http://twitter.com/leoniedelt/status/473002448949608448,http://twitter.com/leoniedelt
06/01/14,http://twitter.com/tv15/status/473004260951875584,tv15,#3peaks #3peakschallenge. Missed 2km or so of tracking so time was more like 10:10 #deliusfc #neesham11 #epilepsy http://t.co/7YiRbO1EE5,8.249167,http://twitter.com/tv15/status/473004260951875584,http://twitter.com/tv15
06/01/14,http://twitter.com/drescotet/status/473004319001030656,drescotet,RT @Rima_Regas: Neural transplant reduces absence #epilepsy #seizures in mice http://t.co/owpInxVeSD via .@psypost | #Health #Research #Abs…,6.6310806,http://twitter.com/DrEscotet/status/473004319001030656,http://twitter.com/drescotet
06/01/14,http://twitter.com/winonemil/status/473004504787718144,winonemil,RT @tv15: #3peaks #3peakschallenge. Missed 2km or so of tracking so time was more like 10:10 #deliusfc #neesham11 #epilepsy http://t.co/7Yi…,6.7190003,http://twitter.com/WinOneMil/status/473004504787718144,http://twitter.com/winonemil
06/01/14,http://twitter.com/seancoonce/status/473007235728035841,seancoonce,Seizure First Aid: What To Do If You Are a Witness http://t.co/GeBJUJxIS5 #paleo #epilepsy,8.545305,http://twitter.com/seancoonce/status/473007235728035841,http://twitter.com/seancoonce
06/01/14,http://twitter.com/sitawawafula/status/473006812942585856,winonemil,RT @SitawaWafula: #nw Under the Dome...but they have lied about seizures. #epilepsy #seizure,8.334718,http://twitter.com/WinOneMil/status/473007234990215169,http://twitter.com/winonemil
06/01/14,http://twitter.com/arthurnyoiks/status/473007237334450176,arthurnyoiks,"""@SitawaWafula: #nw Under the Dome...but they have lied about seizures. #epilepsy #seizure"" &gt;&gt; smh. Just enjoy the show missy",11.250909,http://twitter.com/Arthurnyoiks/status/473007237334450176,http://twitter.com/arthurnyoiks
06/01/14,http://twitter.com/sitawawafula/status/473007553392431104,sitawawafula,"RT @Arthurnyoiks: ""@SitawaWafula: #nw Under the Dome...but they have lied about seizures. #epilepsy #seizure"" &gt;&gt; smh. Just enjoy the show m…",7.0722513,http://twitter.com/SitawaWafula/status/473007553392431104,http://twitter.com/sitawawafula
06/01/14,http://twitter.com/againstweaves/status/473009304476581888,againstweaves,RT @SitawaWafula: #nw Under the Dome...but they have lied about seizures. #epilepsy #seizure,7.3804393,http://twitter.com/AgainstWeaves/status/473009304476581888,http://twitter.com/againstweaves
06/01/14,http://twitter.com/winonemil/status/473009949229207555,winonemil,RT @seancoonce: Seizure First Aid: What To Do If You Are a Witness http://t.co/GeBJUJxIS5 #paleo #epilepsy,7.4368153,http://twitter.com/WinOneMil/status/473009949229207555,http://twitter.com/winonemil
06/01/14,http://twitter.com/michelledalyliv/status/473017471243657217,michelledalyliv,WARRIOR MUM - PAT'S JOURNEY INTRODUCED BY @lulaperula #LD student nurse. http://t.co/YFHskYz86O … #specialneeds #epilepsy #encephalitis,9.634792,http://twitter.com/michelledalyliv/status/473017471243657217,http://twitter.com/michelledalyliv
06/01/14,http://twitter.com/winonemil/status/473017608359649280,winonemil,RT @michelledalyliv: WARRIOR MUM - PAT'S JOURNEY INTRODUCED BY @lulaperula #LD student nurse. http://t.co/YFHskYz86O … #specialneeds #epile…,6.6458154,http://twitter.com/WinOneMil/status/473017608359649280,http://twitter.com/winonemil
06/01/14,http://twitter.com/kvtc1991/status/473021278522048512,kvtc1991,Absence #epilepsy treated in mice using transplanted neural cells http://t.co/OzSg9oJyEE #KVTC #Epilepsy,8.627176,http://twitter.com/kvtc1991/status/473021278522048512,http://twitter.com/kvtc1991
06/01/14,http://twitter.com/drqasw/status/473022398707806208,drqasw,ALL GOOD TY..HOW ARE YOU? RT @pueblokc Hope all my online family is doing well. #crohns #spoonie #aspie #autism#asd #epilepsy #dysautonomia,10.020287,http://twitter.com/drqasw/status/473022398707806208,http://twitter.com/drqasw
06/01/14,http://twitter.com/winonemil/status/473023422130569216,winonemil,RT @kvtc1991: Absence #epilepsy treated in mice using transplanted neural cells http://t.co/OzSg9oJyEE #KVTC #Epilepsy,7.5355325,http://twitter.com/WinOneMil/status/473023422130569216,http://twitter.com/winonemil
06/01/14,http://twitter.com/wellnessinfo/status/473023522344677376,wellnessinfo,Medical News Today: Absence epilepsy treated in mice using transplanted neural cells http://t.co/nlQCShf5bG #Epilepsy,11.15635,http://twitter.com/WellnessInfo/status/473023522344677376,http://twitter.com/wellnessinfo
06/01/14,http://twitter.com/ashleydelaney12/status/473024120255287296,ashleydelaney12,RT @tv15: #3peaks #3peakschallenge. Missed 2km or so of tracking so time was more like 10:10 #deliusfc #neesham11 #epilepsy http://t.co/7Yi…,6.7190003,http://twitter.com/AshleyDelaney12/status/473024120255287296,http://twitter.com/ashleydelaney12
06/01/14,http://twitter.com/scinewsytweets/status/473024510795714560,scinewsytweets,RT @WellnessInfo: Medical News Today: Absence epilepsy treated in mice using transplanted neural cells http://t.co/nlQCShf5bG #Epilepsy,7.037435,http://twitter.com/SciNewsyTweets/status/473024510795714560,http://twitter.com/scinewsytweets
06/01/14,http://twitter.com/elhf_info/status/473027437916590080,elhf_info,Rachel developed #epilepsy at 3 years old but is now seizure-free: http://t.co/wfQOstwjyS http://t.co/vnulinmOtC. Via @EpilepsyRUK.,8.017667,http://twitter.com/elhf_info/status/473027437916590080,http://twitter.com/elhf_info
06/01/14,http://twitter.com/epilepsyaction/status/473027663557586944,epilepsyaction,"Want to go for a swim? We've updated our info on #epilepsy, sports and leisure http://t.co/1aJEjhLxdP http://t.co/0S3315kpwe",10.920379,http://twitter.com/epilepsyaction/status/473027663557586944,http://twitter.com/epilepsyaction
06/01/14,http://twitter.com/winonemil/status/473028928152813568,winonemil,RT @elhf_info: Rachel developed #epilepsy at 3 years old but is now seizure-free: http://t.co/wfQOstwjyS http://t.co/vnulinmOtC. Via @Epile…,6.9326096,http://twitter.com/WinOneMil/status/473028928152813568,http://twitter.com/winonemil
05/17/14,http://twitter.com/elhf_info/status/467621829214240768,madmummymel,RT @elhf_info: Find out about @ashandlouuk's great #epilepsy challenge at http://t.co/m0ZRxT3DeC.,8.260983,http://twitter.com/madmummymel/status/473035899945877504,http://twitter.com/madmummymel
06/01/14,http://twitter.com/pasturedkitchen/status/473037842310914048,pasturedkitchen,#paleo #epilepsy: Cold Brewed Coffee http://t.co/c1VfAWtCea,8.02465,http://twitter.com/pasturedkitchen/status/473037842310914048,http://twitter.com/pasturedkitchen
06/01/14,http://twitter.com/lulaperula/status/473040683885133824,lulaperula,RT @michelledalyliv: WARRIOR MUM - PAT'S JOURNEY INTRODUCED BY @lulaperula #LD student nurse. http://t.co/YFHskYz86O … #specialneeds #epile…,6.6458154,http://twitter.com/lulaperula/status/473040683885133824,http://twitter.com/lulaperula
06/01/14,http://twitter.com/kieran_neuro/status/473040862402711552,kieran_neuro,Absence #epilepsy treated in mice using transplanted neural cells - Medical News Today: http://t.co/QzKt4tOybP,7.116008,http://twitter.com/Kieran_Neuro/status/473040862402711552,http://twitter.com/kieran_neuro
06/01/14,http://twitter.com/sarahlucydaynes/status/473042959344996352,sarahlucydaynes,@ashandlouuk you are very inspirational to people with #epilepsy - :) Makes me more determined to do my dreams in more depth! X,8.531489,http://twitter.com/sarahlucydaynes/status/473042959344996352,http://twitter.com/sarahlucydaynes
06/01/14,http://twitter.com/ashandlouuk/status/473043187070951425,ashandlouuk,RT @sarahlucydaynes: @ashandlouuk you are very inspirational to people with #epilepsy - :) Makes me more determined to do my dreams in more…,6.698489,http://twitter.com/ashandlouuk/status/473043187070951425,http://twitter.com/ashandlouuk
06/01/14,http://twitter.com/johnverling/status/473061432427556864,johnverling,Fred's Week of Happenings http://t.co/OY2DwPSC8x #health #epilepsy #life,9.214816,http://twitter.com/johnverling/status/473061432427556864,http://twitter.com/johnverling
06/01/14,http://twitter.com/winonemil/status/473063165161648128,winonemil,RT @johnverling: Fred's Week of Happenings http://t.co/OY2DwPSC8x #health #epilepsy #life,7.3763633,http://twitter.com/WinOneMil/status/473063165161648128,http://twitter.com/winonemil
06/01/14,http://twitter.com/seancoonce/status/473068004326912000,seancoonce,Pan Roasted Duck Legs with Black Cherry Sauce http://t.co/BOqUkrwKFr #paleo #epilepsy,7.675091,http://twitter.com/seancoonce/status/473068004326912000,http://twitter.com/seancoonce
06/01/14,http://twitter.com/jessyca1804/status/473072976007806976,jessyca1804,RT @epilepsy_scot: #epilepsy first aid: NEVER put anything in the person's mouth or between their teeth,7.5465155,http://twitter.com/Jessyca1804/status/473072976007806976,http://twitter.com/jessyca1804
06/01/14,http://twitter.com/jessyca1804/status/473072997319053312,jessyca1804,RT @epilepsy_scot: #epilepsy first aid: NEVER restrain a person during a seizure,7.615379,http://twitter.com/Jessyca1804/status/473072997319053312,http://twitter.com/jessyca1804
04/28/14,http://twitter.com/epilepsy_scot/status/460720780184387584,jessyca1804,"RT @epilepsy_scot: Missing: Bryan Carroll who has #epilepsy, from Glasgow, please RT to help bring him home safe &amp; well http://t.co/w9yYpej…",8.1009245,http://twitter.com/Jessyca1804/status/473073191477575681,http://twitter.com/jessyca1804
06/01/14,http://twitter.com/jessyca1804/status/473073770299936768,jessyca1804,"RT @EpilepsyHackney: With #Epilepsy comes stigma and misconceptions, this needs to change!!! http://t.co/PpgOTdfJZZ",7.4862084,http://twitter.com/Jessyca1804/status/473073770299936768,http://twitter.com/jessyca1804
06/01/14,http://twitter.com/jessyca1804/status/473074146847756288,jessyca1804,"RT @epilepsy_scot: Plz keep spreading the word,  #epilepsy awareness is so important, a common but misunderstood condition! #purpleday http…",7.1518,http://twitter.com/Jessyca1804/status/473074146847756288,http://twitter.com/jessyca1804
06/01/14,http://twitter.com/mewnetwork/status/473081579976523776,mewnetwork,Make sure that you  get enough sleep #epilepsy #SelfManagementSundays,8.634543,http://twitter.com/MEWNetwork/status/473081579976523776,http://twitter.com/mewnetwork
06/01/14,http://twitter.com/halcyonorganics/status/473082818541920256,halcyonorganics,Baby boy who suffers from rare form of #epilepsy given #CANNABIS to stop him from fitting http://t.co/olPqDnwBZW via @MailOnline #marijuana,8.918771,http://twitter.com/HalcyonOrganics/status/473082818541920256,http://twitter.com/halcyonorganics
06/01/14,http://twitter.com/thedylanmichael/status/473083195987361792,thedylanmichael,RT @HalcyonOrganics: Baby boy who suffers from rare form of #epilepsy given #CANNABIS to stop him from fitting http://t.co/olPqDnwBZW via @…,7.037435,http://twitter.com/TheDylanMichael/status/473083195987361792,http://twitter.com/thedylanmichael
06/01/14,http://twitter.com/winonemil/status/473083461482610688,winonemil,RT @MEWNetwork: Make sure that you  get enough sleep #epilepsy #SelfManagementSundays,7.448677,http://twitter.com/WinOneMil/status/473083461482610688,http://twitter.com/winonemil
06/01/14,http://twitter.com/treishamarle/status/473084647279443968,treishamarle,How is #Sleep and #Epilepsy Related? http://t.co/2D5CtjneJF #Sleep #Epilepsy,9.771676,http://twitter.com/TreishaMarle/status/473084647279443968,http://twitter.com/treishamarle
06/01/14,http://twitter.com/rognsoph/status/473084879484502016,rognsoph,RT @michelledalyliv: WARRIOR MUM - PAT'S JOURNEY INTRODUCED BY @lulaperula #LD student nurse. http://t.co/YFHskYz86O … #specialneeds #epile…,6.6458154,http://twitter.com/rognsoph/status/473084879484502016,http://twitter.com/rognsoph
06/01/14,http://twitter.com/connectcannabis/status/473085343101878272,connectcannabis,RT @HalcyonOrganics: Baby boy who suffers from rare form of #epilepsy given #CANNABIS to stop him from fitting http://t.co/olPqDnwBZW via @…,7.037435,http://twitter.com/ConnectCannabis/status/473085343101878272,http://twitter.com/connectcannabis
06/01/14,http://twitter.com/winonemil/status/473086059979735040,winonemil,RT @TreishaMarle: How is #Sleep and #Epilepsy Related? http://t.co/2D5CtjneJF #Sleep #Epilepsy,7.9088264,http://twitter.com/WinOneMil/status/473086059979735040,http://twitter.com/winonemil
06/01/14,http://twitter.com/actonms/status/473086225406914560,actonms,Neural transplant reduces absence #epilepsy seizures in mice -- ScienceDaily http://t.co/9XdcmjemH3,6.882429,http://twitter.com/ACTonMS/status/473086225406914560,http://twitter.com/actonms
06/01/14,http://twitter.com/stayingyoung2/status/473087328206852099,stayingyoung2,Choosing a summer camp when #epilepsy has to be a factor. http://t.co/u8DsDRivFE,12.05356,http://twitter.com/stayingyoung2/status/473087328206852099,http://twitter.com/stayingyoung2
06/01/14,http://twitter.com/elhf_info/status/473087840960921600,elhf_info,A great article about something #doctors need to understand... http://t.co/zOlchV7ZII. #Epilepsy. Via @epilepsycentre.,8.783484,http://twitter.com/elhf_info/status/473087840960921600,http://twitter.com/elhf_info
06/01/14,http://twitter.com/robbolondo/status/473088457116758016,robbolondo,Lack of societal understanding does my head in (excuse the pun). #epilepsy http://t.co/o0ZzuS0ttO,8.784115,http://twitter.com/robbolondo/status/473088457116758016,http://twitter.com/robbolondo
06/01/14,http://twitter.com/winonemil/status/473089062841384960,winonemil,RT @stayingyoung2: Choosing a summer camp when #epilepsy has to be a factor. http://t.co/u8DsDRivFE,7.8243594,http://twitter.com/WinOneMil/status/473089062841384960,http://twitter.com/winonemil
06/01/14,http://twitter.com/themockedturtle/status/473093009379430401,themockedturtle,RT @elhf_info: A great article about something #doctors need to understand... http://t.co/zOlchV7ZII. #Epilepsy. Via @epilepsycentre.,7.2268977,http://twitter.com/themockedturtle/status/473093009379430401,http://twitter.com/themockedturtle
06/01/14,http://twitter.com/sandpapersmiles/status/473093323599908864,sandpapersmiles,Did you read Ashleigh's inspiring story of her journey with Epilepsy yet? Don't miss it: http://t.co/LSuz1Hyhww #epilepsy,8.009881,http://twitter.com/SandpaperSmiles/status/473093323599908864,http://twitter.com/sandpapersmiles
06/01/14,http://twitter.com/scharr_ratgroup/status/473093501673287681,scharr_ratgroup,"Absence #epilepsy treated in mice using transplanted neural cells. #neuroscience 

 http://t.co/R4HuDnPVCS",7.3000236,http://twitter.com/ScHARR_RATgroup/status/473093501673287681,http://twitter.com/scharr_ratgroup
06/01/14,http://twitter.com/cbdandgbm/status/473093506450616322,cbdandgbm,RT @HalcyonOrganics: Baby boy who suffers from rare form of #epilepsy given #CANNABIS to stop him from fitting http://t.co/olPqDnwBZW via @…,7.037435,http://twitter.com/CBDandGBM/status/473093506450616322,http://twitter.com/cbdandgbm
06/01/14,http://twitter.com/easquad/status/473094205691408385,easquad,Did you read Ashleigh's inspiring story of her journey with Epilepsy yet? Don't miss it: http://t.co/6xyp6ihwxp #epilepsy @TalkAboutItorg,7.826892,http://twitter.com/EASquad/status/473094205691408385,http://twitter.com/easquad
06/01/14,http://twitter.com/winonemil/status/473094228877512704,winonemil,RT @SandpaperSmiles: Did you read Ashleigh's inspiring story of her journey with Epilepsy yet? Don't miss it: http://t.co/LSuz1Hyhww #epile…,6.938294,http://twitter.com/WinOneMil/status/473094228877512704,http://twitter.com/winonemil
06/01/14,http://twitter.com/pasturedkitchen/status/473098389886750722,pasturedkitchen,#paleo #epilepsy: Exciting News! http://t.co/i7tiDj0WFn,8.249804,http://twitter.com/pasturedkitchen/status/473098389886750722,http://twitter.com/pasturedkitchen
06/01/14,http://twitter.com/floppet/status/473102515580731393,floppet,A UK law prohibiting people with epilepsy from marrying was only repealed in 1970. #epilepsy #stigma,8.8203,http://twitter.com/floppet/status/473102515580731393,http://twitter.com/floppet
06/01/14,http://twitter.com/winonemil/status/473106304081625088,winonemil,RT @floppet: A UK law prohibiting people with epilepsy from marrying was only repealed in 1970. #epilepsy #stigma,6.971129,http://twitter.com/WinOneMil/status/473106304081625088,http://twitter.com/winonemil
06/01/14,http://twitter.com/willow_dancing/status/473108151676325888,willow_dancing,Children w/active #epilepsy | Consultant for Pediatricians http://t.co/qE7foAjbEO via elhf_info via @sharethis #psychology #neuroscience,8.583145,http://twitter.com/willow_dancing/status/473108151676325888,http://twitter.com/willow_dancing
06/01/14,http://twitter.com/winonemil/status/473109304208535552,winonemil,RT @willow_dancing: Children w/active #epilepsy | Consultant for Pediatricians http://t.co/qE7foAjbEO via elhf_info via @sharethis #psychol…,6.801645,http://twitter.com/WinOneMil/status/473109304208535552,http://twitter.com/winonemil
06/01/14,http://twitter.com/ammberdeanna/status/473111647125385216,ammberdeanna,RT @elhf_info: A great article about something #doctors need to understand... http://t.co/zOlchV7ZII. #Epilepsy. Via @epilepsycentre.,7.2268977,http://twitter.com/AmmberDeanna/status/473111647125385216,http://twitter.com/ammberdeanna
06/01/14,http://twitter.com/ammberdeanna/status/473112377387282432,ammberdeanna,RT @elhf_info: #Transplants of embryonic neural cells can alleviate #epilepsy #seizure activity in mice ... http://t.co/8TjWFzjSTA. Via @Ep…,6.6753426,http://twitter.com/AmmberDeanna/status/473112377387282432,http://twitter.com/ammberdeanna
06/01/14,http://twitter.com/behaviorhlthnws/status/473114607859806208,behaviorhlthnws,Absence epilepsy treated in mice using transplanted neural cells  #epilepsy http://t.co/JzTxqWIbtC,7.3800774,http://twitter.com/BehaviorHlthNws/status/473114607859806208,http://twitter.com/behaviorhlthnws
06/01/14,http://twitter.com/elhf_info/status/473118034849460226,elhf_info,The autism-epilepsy connection - one #neurologist's thoughts - http://t.co/ymxONKhNM0. #epilepsy #autism . Via @Epilepsy_Assn.,8.277104,http://twitter.com/elhf_info/status/473118034849460226,http://twitter.com/elhf_info
