firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/georginaarobins/status/473108689176371201,georginaarobins,#iih #idiopathicintracranialhypertension #chronicillness #neurology #true http://t.co/FLlzezfNMt,7.763769,http://twitter.com/georginaarobins/status/473108689176371201,http://twitter.com/georginaarobins
06/01/14,http://twitter.com/darrenfshine/status/473117200522698752,darrenfshine,A support group for #parents with children aged 0-5 years that have #SpinaBifida +/or #Hydrocephalus/#IIH - See: http://t.co/UBfuSD3Ffs,7.122103,http://twitter.com/DarrenFShine/status/473117200522698752,http://twitter.com/darrenfshine
06/02/14,http://twitter.com/littlemissnonam/status/473257938854084608,littlemissnonam,"Finished #Walk with #walkmeter, on a new route, time 25:08, 1.12 miles, average 22:29. #iih #pcos #fitness #weightloss #letsmove",7.3639226,http://twitter.com/littlemissnonam/status/473257938854084608,http://twitter.com/littlemissnonam
06/02/14,http://twitter.com/ardhy_imuetz89/status/473341123646062593,ardhy_imuetz89,#me#my#mom#and#iih http://t.co/Lz12Omi9YR,8.648974,http://twitter.com/Ardhy_Imuetz89/status/473341123646062593,http://twitter.com/ardhy_imuetz89
06/02/14,http://twitter.com/darrenfshine/status/473377490564808704,darrenfshine,A support group for children aged 0-5 years that have #SpinaBifida +/or #Hydrocephalus/#IIH http://t.co/bRq2xX74mc @peterboroughcc,7.223044,http://twitter.com/DarrenFShine/status/473377490564808704,http://twitter.com/darrenfshine
06/02/14,http://twitter.com/ihaveiih/status/473459516781391872,ihaveiih,Help us raise funds to aid #IIH sufferers. They need our help. You can make a just giving page by following this link http://t.co/leBONlULtU,11.764834,http://twitter.com/IHaveIIH/status/473459516781391872,http://twitter.com/ihaveiih
06/02/14,http://twitter.com/ihaveiih/status/473474189975113728,ihaveiih,The most common social impacts an #IIH sufferer experiences are isolation &amp; misunderstanding of their symptoms &amp; their effects #IHaveIIH,10.296607,http://twitter.com/IHaveIIH/status/473474189975113728,http://twitter.com/ihaveiih
06/02/14,http://twitter.com/ihaveiih/status/473474475359739905,ihaveiih,If you think #IIH is just an obesity disease think again! It can also be caused by medications the pill hormones pregnancy and head injury,10.889679,http://twitter.com/IHaveIIH/status/473474475359739905,http://twitter.com/ihaveiih
06/02/14,http://twitter.com/ihaveiih/status/473474816822247425,ihaveiih,Nobody realizes that some people expend tremendous energy merely to be normal. -Albert Camus #IIH #IHaveIIH #IIHAwareness #raredisease,10.498609,http://twitter.com/IHaveIIH/status/473474816822247425,http://twitter.com/ihaveiih
06/02/14,http://twitter.com/ihaveiih/status/473476084558991360,ihaveiih,"We know about the daily impact, the job impact, emotional,social &amp; financial impact. Our charity exists to help you with those hurdles #IIH",11.359825,http://twitter.com/IHaveIIH/status/473476084558991360,http://twitter.com/ihaveiih
06/02/14,http://twitter.com/denise_tanya/status/473484071415590912,denise_tanya,RT @IHaveIIH: Help us raise funds to aid #IIH sufferers. They need our help. You can make a just giving page by following this link http://…,7.721841,http://twitter.com/Denise_Tanya/status/473484071415590912,http://twitter.com/denise_tanya
06/02/14,http://twitter.com/ihaveiih/status/473492586712559616,ihaveiih,Make sure you know how to tell your headaches apart from a high pressure one http://t.co/iMsmdHhRli … #IHaveIIH #IIH,11.109183,http://twitter.com/IHaveIIH/status/473492586712559616,http://twitter.com/ihaveiih
06/02/14,http://twitter.com/ihaveiih/status/473492872256561152,ihaveiih,Help us raise funds to aid #IIH sufferers. They need our help. You can make a just giving page by following this link http://t.co/leBONlULtU,11.654167,http://twitter.com/IHaveIIH/status/473492872256561152,http://twitter.com/ihaveiih
06/02/14,http://twitter.com/ihaveiih/status/473492940535640064,ihaveiih,Your donations won't go on profiting the charity but will go towards helping people with #IIH when they're having financial difficulty.,11.80903,http://twitter.com/IHaveIIH/status/473492940535640064,http://twitter.com/ihaveiih
06/03/14,http://twitter.com/iihuklady/status/473848891218337792,iihuklady,So you have a headache - no I have an #IIH headache! Download a leaflet to help friends &amp; family understand http://t.co/DMavzXwcak,7.5476294,http://twitter.com/iihuklady/status/473848891218337792,http://twitter.com/iihuklady
06/04/14,http://twitter.com/denise_tanya/status/474126870834073600,denise_tanya,RT @IHaveIIH: Your donations won't go on profiting the charity but will go towards helping people with #IIH when they're having financial d…,7.7242007,http://twitter.com/Denise_Tanya/status/474126870834073600,http://twitter.com/denise_tanya
06/04/14,http://twitter.com/denise_tanya/status/474126901200834560,denise_tanya,RT @IHaveIIH: Help us raise funds to aid #IIH sufferers. They need our help. You can make a just giving page by following this link http://…,7.6111736,http://twitter.com/Denise_Tanya/status/474126901200834560,http://twitter.com/denise_tanya
06/04/14,http://twitter.com/denise_tanya/status/474126931949285376,denise_tanya,"RT @IHaveIIH: We know about the daily impact, the job impact, emotional,social &amp; financial impact. Our charity exists to help you with thos…",7.361126,http://twitter.com/Denise_Tanya/status/474126931949285376,http://twitter.com/denise_tanya
06/04/14,http://twitter.com/iihuklady/status/474231135225274370,iihuklady,Read our most frequently asked #IIH questions http://t.co/NUInLHsPQB,8.54967,http://twitter.com/iihuklady/status/474231135225274370,http://twitter.com/iihuklady
06/04/14,http://twitter.com/iihuklady/status/474231612855832577,iihuklady,IIH UK has 10 regional support groups - join one near you! #IIH http://t.co/4vE0MNtmOu,7.85082,http://twitter.com/iihuklady/status/474231612855832577,http://twitter.com/iihuklady
06/04/14,http://twitter.com/iihuklady/status/474232030109401088,iihuklady,"Going on holiday abroad soon? Read IIH UK's Travel,Holiday &amp; Flying leaflet #IIH http://t.co/HVUZL1iZwR",7.3315086,http://twitter.com/iihuklady/status/474232030109401088,http://twitter.com/iihuklady
06/04/14,http://twitter.com/iihuklady/status/474232491843530752,iihuklady,#IIH Visual tests and monitoring leaflet http://t.co/KbhA1Ioj6t,8.273144,http://twitter.com/iihuklady/status/474232491843530752,http://twitter.com/iihuklady
06/04/14,http://twitter.com/iihuklady/status/474232929531756544,iihuklady,Do you work and have #IIH? Read our Information for Employers &amp; Employees leaflet http://t.co/fla73UTz1v,7.548772,http://twitter.com/iihuklady/status/474232929531756544,http://twitter.com/iihuklady
06/04/14,http://twitter.com/iihuklady/status/474289161563037696,iihuklady,"IIH UK have a great online weight loss support group! Recipes,tips and friendly support from other members. #IIH http://t.co/99GFsi6Rn6",9.387749,http://twitter.com/iihuklady/status/474289161563037696,http://twitter.com/iihuklady
06/04/14,http://twitter.com/superallyd/status/474289318836858880,superallyd,"RT @iihuklady: IIH UK have a great online weight loss support group! Recipes,tips and friendly support from other members. #IIH http://t.co…",7.5809093,http://twitter.com/superallyd/status/474289318836858880,http://twitter.com/superallyd
06/05/14,http://twitter.com/girocks1/status/474389997366558720,girocks1,"Woohoo! My new personal best #FitBitFlex 
Take that #iih can't stop me! http://t.co/2UWDPXIZgU",8.832343,http://twitter.com/Girocks1/status/474389997366558720,http://twitter.com/girocks1
06/05/14,http://twitter.com/iihuklady/status/474447453526441984,iihuklady,#IIH UK Talent Show Fundraiser 17 August in Brighton. Would be great to see you there! http://t.co/yQRnuWcY6L,8.219215,http://twitter.com/iihuklady/status/474447453526441984,http://twitter.com/iihuklady
06/05/14,http://twitter.com/iihuklady/status/474450869107576832,iihuklady,IIH UK works with clinicians leading IIH research in the UK.Come and hear all at the AGM in York! #IIH http://t.co/m1kGZaIb8S,7.7737336,http://twitter.com/iihuklady/status/474450869107576832,http://twitter.com/iihuklady
06/05/14,http://twitter.com/darrenfshine/status/474491277934071808,darrenfshine,"#EVENT 4 ppl in #Buckinghamshire living with #SpinaBifida, #Hydrocephalus, #IIH or #NPH DETAILS: http://t.co/A2noSq9KA8",7.57914,http://twitter.com/DarrenFShine/status/474491277934071808,http://twitter.com/darrenfshine
06/05/14,http://twitter.com/amjneuroradiol/status/474536937781358593,amjneuroradiol,The June 2014 AJNR News Digest discusses the many facets of idiopathic intracranial hypertension http://t.co/WPNLtbqYUc #IIH,8.758492,http://twitter.com/AmJNeuroradiol/status/474536937781358593,http://twitter.com/amjneuroradiol
06/05/14,http://twitter.com/cibr_news/status/474553664288620544,cibr_news,RT @AmJNeuroradiol: The June 2014 AJNR News Digest discusses the many facets of idiopathic intracranial hypertension http://t.co/WPNLtbqYUc…,7.2107162,http://twitter.com/CIBR_News/status/474553664288620544,http://twitter.com/cibr_news
06/05/14,http://twitter.com/bdrads/status/474562038900228096,bdrads,RT @AmJNeuroradiol: The June 2014 AJNR News Digest discusses the many facets of idiopathic intracranial hypertension http://t.co/WPNLtbqYUc…,7.2107162,http://twitter.com/Bdrads/status/474562038900228096,http://twitter.com/bdrads
06/05/14,http://twitter.com/darrenfshine/status/474581964633423873,darrenfshine,EVENT 4 ppl in #Bedford with #SpinaBifida #Hydrocephalus #IIH or #NPH Details: http://t.co/nRd36Rn2sF Plz RT @bedfordtweets,7.455791,http://twitter.com/DarrenFShine/status/474581964633423873,http://twitter.com/darrenfshine
06/05/14,http://twitter.com/scarletkarma/status/474672981114126336,scarletkarma,I wonder how many ppl in Twitter land have #IIH and can relate to these headaches...,11.562219,http://twitter.com/scarletkarma/status/474672981114126336,http://twitter.com/scarletkarma
