firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/warrenerses/status/473007814995374080,warrenerses,#MND #awareness month starts here. @mndassoc proudly wearing mine. http://t.co/Ja4Dfkl69e,10.147553,http://twitter.com/warrenerses/status/473007814995374080,http://twitter.com/warrenerses
06/01/14,http://twitter.com/hjls73/status/473010752052535296,hjls73,Off to a Bake It! event - complete with wristbands @mndassoc @IMNDA @MNDScotland @MNDA_NI #mnd awareness month http://t.co/fOQimUWgDt,9.746358,http://twitter.com/hjls73/status/473010752052535296,http://twitter.com/hjls73
06/01/14,http://twitter.com/abearsjourney/status/473013310254612480,mkcol,RT @aBearsJourney: Never underestimate the power of #socialmedia to spread #mnd #awareness month and your #fundraising #events,11.095216,http://twitter.com/mkcol/status/473013650027188224,http://twitter.com/mkcol
06/01/14,http://twitter.com/mndresearch/status/473013793380106242,mndresearch,It's #MND Awareness month and our first #blogaday reminds us about genes and proteins http://t.co/bwAT9bMfgM,12.939423,http://twitter.com/mndresearch/status/473013793380106242,http://twitter.com/mndresearch
06/01/14,http://twitter.com/mnda_ni/status/473014067125563392,mnda_ni,RT @hjls73: Off to a Bake It! event - complete with wristbands @mndassoc @IMNDA @MNDScotland @MNDA_NI #mnd awareness month http://t.co/fOQi…,6.4081445,http://twitter.com/MNDA_NI/status/473014067125563392,http://twitter.com/mnda_ni
06/01/14,http://twitter.com/willowkaty/status/473014248382398464,willowkaty,RT @mndresearch: It's #MND Awareness month and our first #blogaday reminds us about genes and proteins http://t.co/bwAT9bMfgM,7.1045566,http://twitter.com/WillowKaty/status/473014248382398464,http://twitter.com/willowkaty
06/01/14,http://twitter.com/chrisjamesmnd/status/473014357035855872,chrisjamesmnd,RT @mndresearch: It's #MND Awareness month and our first #blogaday reminds us about genes and proteins http://t.co/bwAT9bMfgM,7.1045566,http://twitter.com/ChrisJamesMND/status/473014357035855872,http://twitter.com/chrisjamesmnd
06/01/14,http://twitter.com/mkcol/status/473014744103014400,mkcol,RT @aBearsJourney: To support our Bears please text BRAN60 £2 to 70070 (UK Only) or visit http://t.co/GV0C8jGnyJ #mnd #awareness #fundraisi…,9.992707,http://twitter.com/mkcol/status/473014744103014400,http://twitter.com/mkcol
06/01/14,http://twitter.com/halfords45/status/473015715524788224,halfords45,RT @warrenerses: #MND #awareness month starts here. @mndassoc proudly wearing mine. http://t.co/Ja4Dfkl69e,7.1795263,http://twitter.com/Halfords45/status/473015715524788224,http://twitter.com/halfords45
06/01/14,http://twitter.com/willowkaty/status/473015892289531905,willowkaty,@mndresearch @SamanthaLPrice Great 1st blog on @mndresearch blog a day for #MND Awareness month. Made me want to start baking! :),7.585409,http://twitter.com/WillowKaty/status/473015892289531905,http://twitter.com/willowkaty
