firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/banjalero/status/473024123837632512,banjalero,#drunkashell #memoryloss #bestbuds #lovewitney http://t.co/LzKP7vnx4M,7.7301755,http://twitter.com/Banjalero/status/473024123837632512,http://twitter.com/banjalero
06/01/14,http://twitter.com/captlongslong/status/473047627597361152,captlongslong,Tequila is the drink of satan !!! #memoryloss #fucked #introuble,9.01222,http://twitter.com/captlongslong/status/473047627597361152,http://twitter.com/captlongslong
06/01/14,http://twitter.com/hannyb8/status/473049000762179584,hannyb8,@JodieNeads @ShereneRJ ha totally forgot about him #memoryloss,7.7490273,http://twitter.com/HannyB8/status/473049000762179584,http://twitter.com/hannyb8
06/01/14,http://twitter.com/ivisbohlen/status/473064509650001921,ivisbohlen,@_I_am_Joey Are you from there or did you live there? Sorry if you've already told me! #memoryloss?,8.080182,http://twitter.com/ivisbohlen/status/473064509650001921,http://twitter.com/ivisbohlen
06/01/14,http://twitter.com/supersonic76/status/473064937737445377,supersonic76,@Jarvis_sally @joanne0811 I don't remember! #memoryloss,7.8418846,http://twitter.com/Supersonic76/status/473064937737445377,http://twitter.com/supersonic76
06/01/14,http://twitter.com/shan_walkerx/status/473070700740104192,shan_walkerx,💜 this girl #DebutInTheG #MemoryLoss  amycparish http://t.co/kMFbckKl1n,7.899152,http://twitter.com/shan_walkerx/status/473070700740104192,http://twitter.com/shan_walkerx
06/01/14,http://twitter.com/clarb85/status/473078975812878336,clarb85,@XantheMarieX are you alive?? Please explain what happened!! 😂😂 #memoryloss,8.277103,http://twitter.com/CLARB85/status/473078975812878336,http://twitter.com/clarb85
06/01/14,http://twitter.com/jonyeates/status/473080424970063874,jonyeates,@tuckereddo @steve1975ok unless you changed your mind at the last minute you said 9th RD to me!! #memoryloss,8.319992,http://twitter.com/jonyeates/status/473080424970063874,http://twitter.com/jonyeates
06/01/14,http://twitter.com/antikplanet11/status/473088972458315776,antikplanet11,"The awkward moment you bump into a friend and kids, and can't remember neither of their names #memoryloss",8.182529,http://twitter.com/antikplanet11/status/473088972458315776,http://twitter.com/antikplanet11
06/01/14,http://twitter.com/natashax1986/status/473095202354495488,natashax1986,Now I remember why I don't drink vodka #memoryloss #nextdayawriteoff #headache 😷😷😷😷😷😷😷😷💤💤💤💤💤💤💤,7.942384,http://twitter.com/natashax1986/status/473095202354495488,http://twitter.com/natashax1986
06/01/14,http://twitter.com/tlhelderlaw/status/473123114566815744,tlhelderlaw,Prepare your #elderly parents for #hurricaneseason: http://t.co/pLEGGD8AtL #carechat #elderlaw #specialneeds #aginginplace #memoryloss,7.249294,http://twitter.com/TLHElderLaw/status/473123114566815744,http://twitter.com/tlhelderlaw
