firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/mazthai/status/472999748262043648,mazthai,#migraine #sick,8.721001,http://twitter.com/mazthai/status/472999748262043648,http://twitter.com/mazthai
06/01/14,http://twitter.com/christidarty/status/473003342915203072,christidarty,Overcoming Migraines with Aromatherapy #migraine #aromatherapy http://t.co/n1DX36R5Eb,10.907925,http://twitter.com/ChristiDarty/status/473003342915203072,http://twitter.com/christidarty
06/01/14,http://twitter.com/mysitcomlife/status/473004195709460480,mysitcomlife,Are there any runners out there who also suffer with chronic #migraine? How do you cope? #running,10.245605,http://twitter.com/Mysitcomlife/status/473004195709460480,http://twitter.com/mysitcomlife
06/01/14,http://twitter.com/rayrawsaurus/status/473013368606175232,rayrawsaurus,"Slept for 13 hours. My head still hurts.
#migraine",8.330914,http://twitter.com/RayRawSaurus/status/473013368606175232,http://twitter.com/rayrawsaurus
06/01/14,http://twitter.com/rayrawsaurus/status/473013706927136768,rayrawsaurus,"There's nothing left in the fringe.
#migraine",8.430552,http://twitter.com/RayRawSaurus/status/473013706927136768,http://twitter.com/rayrawsaurus
06/01/14,http://twitter.com/golfjunkieusaxl/status/473021938924023808,golfjunkieusaxl,"@VGZ @schwa_medico i advice all your painpatients; tens eco 2; for me at least 70% less medication 50% less pain.
#clusterheadache #migraine",7.224874,http://twitter.com/golfjunkieUSAxl/status/473021938924023808,http://twitter.com/golfjunkieusaxl
06/01/14,http://twitter.com/rayrawsaurus/status/473061061856616448,rayrawsaurus,"Going to spend the day in my room, darkened up, and watching game of thrones. Yeay.
#migraine",7.7792363,http://twitter.com/RayRawSaurus/status/473061061856616448,http://twitter.com/rayrawsaurus
06/01/14,http://twitter.com/e_petttt/status/473061903909285888,e_petttt,My head might actually explode today. #migraine,9.277061,http://twitter.com/e_petttt/status/473061903909285888,http://twitter.com/e_petttt
06/01/14,http://twitter.com/adhisc/status/473064097089851392,adhisc,"@TrupyWupy okay, what does that even mean? #migraine @PLO_Lumumba",7.138851,http://twitter.com/AdhisC/status/473064097089851392,http://twitter.com/adhisc
06/01/14,http://twitter.com/d26alshatti/status/473067972278231041,d26alshatti,Right this moment I want to open my head to remove the pain away. #Migraine Headache 💔,8.075645,http://twitter.com/D26ALShatti/status/473067972278231041,http://twitter.com/d26alshatti
06/01/14,http://twitter.com/rainyhere604/status/473076369765588992,rainyhere604,Good morning #green #vancouver!  #migraine is gone. #mmj 6- 0 BigPharma leafly #migrainerelief http://t.co/0KLoOhYrN4,6.6635413,http://twitter.com/RainyHere604/status/473076369765588992,http://twitter.com/rainyhere604
06/01/14,http://twitter.com/ahusbandanddad/status/473077535996403712,ahusbandanddad,Does anyone get these?  How do they affect you?  I find them completely debilitating! http://t.co/2SLNDPT6sc #Aura #migraine,7.0444813,http://twitter.com/AHusbandandDad/status/473077535996403712,http://twitter.com/ahusbandanddad
06/01/14,http://twitter.com/mmichellemmarie/status/473079010545508352,mmichellemmarie,RT @e_petttt: My head might actually explode today. #migraine,7.7859178,http://twitter.com/mmichellemmarie/status/473079010545508352,http://twitter.com/mmichellemmarie
06/01/14,http://twitter.com/wheninspain/status/473079599656865792,wheninspain,@dr_fi Glad to hear Botox for #migraine has helped you.,7.660369,http://twitter.com/WhenInSpain/status/473079599656865792,http://twitter.com/wheninspain
06/01/14,http://twitter.com/rebeccasherwin/status/473084021699010560,rebeccasherwin,"I'm starting my own little mission for #Migraine Awareness Month, watch this space. #30DaysOfAwareness",7.5262637,http://twitter.com/rebeccasherwin/status/473084021699010560,http://twitter.com/rebeccasherwin
06/01/14,http://twitter.com/rhaarapturee/status/473086098802241536,rhaarapturee,Please go away migraine. Really getting annoyed with this now. #migraine #ill #annoying,7.863706,http://twitter.com/RhaaRapturee/status/473086098802241536,http://twitter.com/rhaarapturee
06/01/14,http://twitter.com/caddywraps/status/473086099364270080,caddywraps,#Sinuspain and #migraine pain might be lessened with ice or heat. Our #EyeCaddy does a lovely job of helping out. http://t.co/5DJSspaqWL,7.051418,http://twitter.com/CaddyWraps/status/473086099364270080,http://twitter.com/caddywraps
06/01/14,http://twitter.com/brit_2the_leigh/status/473090156724256768,brit_2the_leigh,My head hurts so bad. #migraine #thesesuck,7.927155,http://twitter.com/Brit_2The_Leigh/status/473090156724256768,http://twitter.com/brit_2the_leigh
