firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/neuropathydoc/status/473007289805197312,neuropathydoc,In this approx 25 minute prior radio broadcast Dr. Hayes discusses Entrapment #Neuropathy http://t.co/d3hbFguj5z,7.712674,http://twitter.com/NeuropathyDoc/status/473007289805197312,http://twitter.com/neuropathydoc
06/01/14,http://twitter.com/neuropathydoc/status/473193769647353856,neuropathydoc,VETERANS: We're HERE for you! http://t.co/gZAhsqbRDw Agent Orange #Neuropathy is Reportable AND Treatable!,8.539502,http://twitter.com/NeuropathyDoc/status/473193769647353856,http://twitter.com/neuropathydoc
06/01/14,http://twitter.com/hkaozhan/status/473196989233266688,hkaozhan,"My dear colleague, prof dr stanley iyadurai from usa #neurology #neuropathy #neuromuscular… http://t.co/a8sHCegTtF",7.32286,http://twitter.com/hkaozhan/status/473196989233266688,http://twitter.com/hkaozhan
06/01/14,http://twitter.com/drrobmelillo/status/473208656553844737,drrobmelillo,Does gluten cause peripheral neuropathy? http://t.co/nXhxuJa6Do via @deanslewis #gluten #neuropathy #celiac,8.546794,http://twitter.com/DrRobMelillo/status/473208656553844737,http://twitter.com/drrobmelillo
06/01/14,http://twitter.com/superscatty/status/473209930397515776,superscatty,RT @DrRobMelillo: Does gluten cause peripheral neuropathy? http://t.co/nXhxuJa6Do via @deanslewis #gluten #neuropathy #celiac,6.99782,http://twitter.com/superscatty/status/473209930397515776,http://twitter.com/superscatty
06/01/14,http://twitter.com/joeverett5/status/473210564647616512,joeverett5,RT @DrRobMelillo: Does gluten cause peripheral neuropathy? http://t.co/nXhxuJa6Do via @deanslewis #gluten #neuropathy #celiac,6.99782,http://twitter.com/JoEverett5/status/473210564647616512,http://twitter.com/joeverett5
06/01/14,http://twitter.com/neuropathydoc/status/473211136116940806,neuropathydoc,"Early ACTIVE intervention in #Illness, #Pain &amp; #Neuropathy is critical! Let Us Help! 
http://t.co/n43ZRqoTXZ http://t.co/WFVM0GO5lq",7.551942,http://twitter.com/NeuropathyDoc/status/473211136116940806,http://twitter.com/neuropathydoc
06/01/14,http://twitter.com/ritabarkley/status/473229923398983682,ritabarkley,“@DrRobMelillo: Does gluten cause peripheral neuropathy? http://t.co/aJC5X2oHKf via @deanslewis #gluten #neuropathy #celiac” #falsehope,6.9399967,http://twitter.com/RitaBarkley/status/473229923398983682,http://twitter.com/ritabarkley
06/02/14,http://twitter.com/drpaulchristo/status/473266529107476481,drpaulchristo,Taking control of glucose levels is very important to lowering your risk for developing diabetic #neuropathy http://t.co/5Hghz04fH4,7.6885686,http://twitter.com/DrPaulChristo/status/473266529107476481,http://twitter.com/drpaulchristo
06/02/14,http://twitter.com/talldrnkofwater/status/473305790334652416,talldrnkofwater,"#Neuropathy #Chronicillness #chronicpain #polyneuropathy
New Blog Post: http://t.co/nz68DknRA7",7.665491,http://twitter.com/talldrnkofwater/status/473305790334652416,http://twitter.com/talldrnkofwater
06/02/14,http://twitter.com/sockswholesale/status/473434914713792512,sockswholesale,"10% discount with #coupon code ""Twitter"" at http://t.co/Ey9kKUpo6t #diabetes #neuropathy #golf #socks #discount @NeuropathyDoc @Coupons",7.065662,http://twitter.com/SocksWholesale/status/473434914713792512,http://twitter.com/sockswholesale
06/02/14,http://twitter.com/neuropathydoc/status/473435115490508801,neuropathydoc,"Everyone is different, but simply relying on #Neuropathy treatment drugs to do the entire job can be risky. #BeatingNeuropathy means MORE.",7.551942,http://twitter.com/NeuropathyDoc/status/473435115490508801,http://twitter.com/neuropathydoc
06/02/14,http://twitter.com/wasatchpain/status/473446227187494912,wasatchpain,Learn about how #Neuropathy contributes to #ChronicPain &amp; Call Us @WasatchPain for your solutions!... http://t.co/0difGp6tas,8.2452,http://twitter.com/WasatchPain/status/473446227187494912,http://twitter.com/wasatchpain
06/02/14,http://twitter.com/neuropathydoc/status/473471618027507712,neuropathydoc,"Early ACTIVE intervention in #Illness, #Pain &amp; #Neuropathy is critical! Let Us Help! 
http://t.co/n43ZRqoTXZ http://t.co/jVMuu5pewF",9.08772,http://twitter.com/NeuropathyDoc/status/473471618027507712,http://twitter.com/neuropathydoc
06/02/14,http://twitter.com/shawnclark713/status/473471787083526144,shawnclark713,"RT @NeuropathyDoc: Early ACTIVE intervention in #Illness, #Pain &amp; #Neuropathy is critical! Let Us Help! 
http://t.co/n43ZRqoTXZ http://t.co…",7.319337,http://twitter.com/shawnclark713/status/473471787083526144,http://twitter.com/shawnclark713
06/02/14,http://twitter.com/isave365/status/473530605133897728,isave365,"Are you #diabetic ? Do your or someone you know feet burn at night from #Neuropathy? If so we can help, call Michael at 727-271-2890",7.6583443,http://twitter.com/isave365/status/473530605133897728,http://twitter.com/isave365
06/02/14,http://twitter.com/drfrankkaden/status/473554258176913408,drfrankkaden,Want Fast Relief From Your Neuropathy Symptoms?: http://t.co/YyHNJt7isW #HermosaBeach #Neuropathy #Diabetes #ManhattanBeach #NervePain,7.0765476,http://twitter.com/DrFrankKaden/status/473554258176913408,http://twitter.com/drfrankkaden
