firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/karachi_times/status/472998540818796545,karachi_times,"World Health Organisation Ki Pabandi Ka Itlaq Aaj Se Hoga,
Beron Mulk Jane K Liye Pakistanio K Liye #Polio Certificate Lena Lazmi Hai,
#WHO",7.4681764,http://twitter.com/Karachi_Times/status/472998540818796545,http://twitter.com/karachi_times
06/01/14,http://twitter.com/almehdi512/status/473000151137931264,almehdi512,"World Health Organisation Ki Pabandi Ka Itlaq Aaj Se Hoga,
Beron Mulk Jane K Liye Pakistanio K Liye #Polio Certificate Lena Lazmi Hai,
#WHO",6.5593247,http://twitter.com/almehdi512/status/473000151137931264,http://twitter.com/almehdi512
05/18/14,http://twitter.com/atikarehman/status/467961715368292352,muiz2610,RT @AtikaRehman: Aged worker intending to travel immunised against #polio - ET front page http://t.co/bW0RyqAjOF,7.8395133,http://twitter.com/muiz2610/status/473001275466850304,http://twitter.com/muiz2610
06/01/14,http://twitter.com/karachitime/status/473001518837166080,karachitime,"World Health Organisation Ki Pabandi Ka Itlaq Aaj Se Hoga,
Beron Mulk Jane K Liye Pakistanio K Liye #Polio Certificate Lena Lazmi Hai,
#WHO",6.5593247,http://twitter.com/KarachiTime/status/473001518837166080,http://twitter.com/karachitime
06/01/14,http://twitter.com/iamiffe/status/473002361531531264,iamiffe,71 #polio cases found in current year to travel abraod all need polio vaccination papers with them from #Pakistan MaanGayaUstaadTalibanBC,6.960215,http://twitter.com/iamIffe/status/473002361531531264,http://twitter.com/iamiffe
06/01/14,http://twitter.com/sheerpace170/status/473002883563020289,sheerpace170,@Dawn_News As a nation this is now a matter of shame for us. We can't even control this thing. #polio.,7.5521607,http://twitter.com/SheerPace170/status/473002883563020289,http://twitter.com/sheerpace170
06/01/14,http://twitter.com/khobar12/status/473003524448477184,khobar12,"RT @Karachi_Times: World Health Organisation Ki Pabandi Ka Itlaq Aaj Se Hoga,
Beron Mulk Jane K Liye Pakistanio K Liye #Polio Certificate L…",6.453224,http://twitter.com/khobar12/status/473003524448477184,http://twitter.com/khobar12
06/01/14,http://twitter.com/malalibashir/status/473003782293708800,malalibashir,“@JavedAzizKhan: Getting a very late dose against #Polio at #Pakistan airport .... http://t.co/VQYfH1BqGJ”,8.725283,http://twitter.com/MalaliBashir/status/473003782293708800,http://twitter.com/malalibashir
06/01/14,http://twitter.com/dunya_times/status/473003914627805184,dunya_times,"#World Health Organization Ki Pabandi Ka Itlaq Aaj Se Hoga,
Beron Mulk Jane K Liye Pakistanio K Liye #Polio Certificate Lena Lazmi Hai.
#WHO",6.461435,http://twitter.com/Dunya_Times/status/473003914627805184,http://twitter.com/dunya_times
06/01/14,http://twitter.com/apnalas_news/status/473003955501289473,apnalas_news,"World Health Organisation Ki Pabandi Ka Itlaq Aaj Se Hoga,
Beron Mulk Jane K Liye Pakistanio K Liye #Polio Certificate Lena Lazmi Hai,
#WHO",6.52058,http://twitter.com/apnalas_news/status/473003955501289473,http://twitter.com/apnalas_news
06/01/14,http://twitter.com/haniafatima2/status/473004339829932032,haniafatima2,#Balochistan sets #polio #booths at #airports http://t.co/9pxZibwXfO,7.599397,http://twitter.com/HaniaFatima2/status/473004339829932032,http://twitter.com/haniafatima2
06/01/14,http://twitter.com/shir_shaheer/status/473005642912112640,shir_shaheer,RT @MalaliBashir: “@JavedAzizKhan: Getting a very late dose against #Polio at #Pakistan airport .... http://t.co/VQYfH1BqGJ”,7.1953955,http://twitter.com/shir_shaheer/status/473005642912112640,http://twitter.com/shir_shaheer
06/01/14,http://twitter.com/meher_j/status/473006504660856832,meher_j,Just In: Passengers Waiting For '#Polio Vaccinatn Certfct' At #Karachi..Staff Told Them V Have Shoratge .. #TravelSanctions By @WHO,7.5230803,http://twitter.com/Meher_J/status/473006504660856832,http://twitter.com/meher_j
06/01/14,http://twitter.com/durgeshskumar/status/473007883949322242,durgeshskumar,"Remembering #Ciro_de_Quadros
The Man who Rid the World from #Polio
#PolioFreeWorld
#RIP
http://t.co/ndClQ47lZJ",7.2756863,http://twitter.com/durgeshskumar/status/473007883949322242,http://twitter.com/durgeshskumar
06/01/14,http://twitter.com/mcnabbteddy/status/473008247931404288,mcnabbteddy,Spread of poliovirus: Travellers need vaccination papers from today http://t.co/305sdSv9S7 via @etribune #polio,7.3211346,http://twitter.com/McnabbTeddy/status/473008247931404288,http://twitter.com/mcnabbteddy
06/01/14,http://twitter.com/tez_express/status/473008308849475585,tez_express,"World Health Organisation Ki Pabandi Ka Itlaq Aaj Se Hoga,
Beron Mulk Jane K Liye Pakistanio K Liye #Polio Certificate Lena Lazmi Hai,
#WHO:",6.4969277,http://twitter.com/Tez_Express/status/473008308849475585,http://twitter.com/tez_express
06/01/14,http://twitter.com/poliovirus/status/473009135135363072,poliovirus,#Polio news: Aust pledges $100m for polio fight http://t.co/uPvQ4wLvxd #pathogenposse,10.752073,http://twitter.com/Poliovirus/status/473009135135363072,http://twitter.com/poliovirus
06/01/14,http://twitter.com/salman_4_u1/status/473009203205111809,salman_4_u1,"World Health Organisation Ki Pabandi Ka Itlaq Aaj Se Hoga,
Beron Mulk Jane K Liye Pakistanio K Liye #Polio Certificate Lena Lazmi Hai,
#WHO",6.5008826,http://twitter.com/SaLmaN_4_u1/status/473009203205111809,http://twitter.com/salman_4_u1
06/01/14,http://twitter.com/thecommoner1/status/473009543459246080,thecommoner1,RT @MalaliBashir: “@JavedAzizKhan: Getting a very late dose against #Polio at #Pakistan airport .... http://t.co/VQYfH1BqGJ”,7.1953955,http://twitter.com/TheCommoner1/status/473009543459246080,http://twitter.com/thecommoner1
06/01/14,http://twitter.com/asmatullahniazi/status/473014147920035841,asmatullahniazi,"Lng queues at  airports 4 polio certificates,who responsible? #PTI #KPGovt.Peshwar #polio virus reservoir,fed govt as cases on rise in Fata",7.3411603,http://twitter.com/AsmatullahNiazi/status/473014147920035841,http://twitter.com/asmatullahniazi
06/01/14,http://twitter.com/gsfnasia/status/473014146641186816,gsfnasia,RT @Meher_J: Just In: Passengers Waiting For '#Polio Vaccinatn Certfct' At #Karachi..Staff Told Them V Have Shoratge .. #TravelSanctions By…,6.5174184,http://twitter.com/GSFNAsia/status/473014146641186816,http://twitter.com/gsfnasia
06/01/14,http://twitter.com/afridivspolio/status/473016956006973440,afridivspolio,Do you think Polio policies should be modified in Pakistan? #Polio #Pakistan,7.309359,http://twitter.com/AfridivsPolio/status/473016956006973440,http://twitter.com/afridivspolio
