firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/02/14,http://twitter.com/svelasquez/status/473259380075675648,svelasquez,"Any cond where obst may rapidly progress, be silent or unobservable externally (#angioedema (cont) http://t.co/VMZsUjaLOH",7.5822716,http://twitter.com/svelasquez/status/473259380075675648,http://twitter.com/svelasquez
06/03/14,http://twitter.com/lifewithouta4k/status/473686344544182272,lifewithouta4k,#LifeWithoutAFork #Vegan #VanessaWilliams #Angioedema https://t.co/FOey9vAHkc … … #LetFoodBeThouMedicine #health http://t.co/fmHwedh4dP,8.499685,http://twitter.com/LifeWithouta4k/status/473686344544182272,http://twitter.com/lifewithouta4k
06/03/14,http://twitter.com/caligirlent/status/473688806202150912,caligirlent,RT @LifeWithouta4k: #LifeWithoutAFork #Vegan #VanessaWilliams #Angioedema https://t.co/FOey9vAHkc … … #LetFoodBeThouMedicine #health http:/…,7.516295,http://twitter.com/CaliGirlEnt/status/473688806202150912,http://twitter.com/caligirlent
06/04/14,http://twitter.com/skintolivein/status/474204371153346560,skintolivein,We are looking forward to attending the #urticaria and #angioedema sessions  at #EAACI2014 congress &amp; tweeting about them!#letstalkaboutskin,7.280554,http://twitter.com/skintolivein/status/474204371153346560,http://twitter.com/skintolivein
06/05/14,http://twitter.com/allergygal1/status/474417116909535232,allergygal1,#ecallantide #kalbitor- used to treat ACE inhibitor #angioedema in the Emergency dept. ScienceDaily http://t.co/2p5NxhxED9,7.2518864,http://twitter.com/Allergygal1/status/474417116909535232,http://twitter.com/allergygal1
06/08/14,http://twitter.com/skintolivein/status/475532833902329856,skintolivein,We are excited for the #Urticaria &amp; #angioedema poster discussion session tomorrow at 13.30 CET! Put it in your diaries! #EAACI2014,7.406209,http://twitter.com/skintolivein/status/475532833902329856,http://twitter.com/skintolivein
06/08/14,http://twitter.com/jrebic79/status/475695490609467392,jrebic79,Case report #angioedema #tongue #sideeffects #ACEinhibitors #oralsurgery #maxillofacialsurgery #dentistry http://t.co/lTJzm0HD0M,7.2746625,http://twitter.com/jrebic79/status/475695490609467392,http://twitter.com/jrebic79
06/09/14,http://twitter.com/lifewithouta4k/status/476091262953459715,lifewithouta4k,"#LifeWithoutAFork, Presents The First Annual e-Quilt for #Angioedema Day! 100 Voices! 100 Likes! 100 Shares! #HEALTH
http://t.co/jxL7V4P2dE",9.379174,http://twitter.com/LifeWithouta4k/status/476091262953459715,http://twitter.com/lifewithouta4k
06/10/14,http://twitter.com/caligirlent/status/476196085833007105,caligirlent,"RT @LifeWithouta4k: #LifeWithoutAFork, Presents The First Annual e-Quilt for #Angioedema Day! 100 Voices! 100 Likes! 100 Shares! #HEALTH
ht…",7.19311,http://twitter.com/CaliGirlEnt/status/476196085833007105,http://twitter.com/caligirlent
06/10/14,http://twitter.com/skintolivein/status/476393925872484352,skintolivein,#EAACI2014 have you just been to the #Urticaria &amp; #Angioedema session? Learn more about the condition on our website http://t.co/BQBOqBZ6Ja,7.3490796,http://twitter.com/skintolivein/status/476393925872484352,http://twitter.com/skintolivein
06/10/14,http://twitter.com/novartis/status/476408949642895360,novartis,#EAACI2014 have you just been to the #Urticaria &amp; #Angioedema session? Learn more on the @skintolivein website http://t.co/dM9YnGtd0i,11.720541,http://twitter.com/Novartis/status/476408949642895360,http://twitter.com/novartis
06/10/14,http://twitter.com/ilkaysubasi/status/476412590621753344,ilkaysubasi,RT @Novartis: #EAACI2014 have you just been to the #Urticaria &amp; #Angioedema session? Learn more on the @skintolivein website http://t.co/dM…,7.1268044,http://twitter.com/ilkaysubasi/status/476412590621753344,http://twitter.com/ilkaysubasi
06/10/14,http://twitter.com/globalscientia/status/476422011892547584,globalscientia,RT @Novartis: #EAACI2014 have you just been to the #Urticaria &amp; #Angioedema session? Learn more on the @skintolivein website http://t.co/dM…,7.1268044,http://twitter.com/globalscientia/status/476422011892547584,http://twitter.com/globalscientia
06/12/14,http://twitter.com/strggl_immortal/status/477099460460556288,strggl_immortal,"Knees are red hot, fucking flareup.

#Angioedema 

Fuckity fuck bags",8.8315735,http://twitter.com/Strggl_immortal/status/477099460460556288,http://twitter.com/strggl_immortal
06/13/14,http://twitter.com/filthandefexor/status/477411618620723201,filthandefexor,"I've got all my supplies for an amazing Friday night, Piriton and Gaviscon #angioedema #shitfacedonantihistamines #aniseedflavourisforcunts",7.6167307,http://twitter.com/FilthAndEfexor/status/477411618620723201,http://twitter.com/filthandefexor
06/13/14,http://twitter.com/lifewithouta4k/status/477443847656456194,lifewithouta4k,"#DrJillianGray, an #angioedema's patient's worst nightmare! #DeliverUsFromEvil #HardKnocks #Health #VanessaWilliams https://t.co/Jfvt1JyLyg",8.95903,http://twitter.com/LifeWithouta4k/status/477443847656456194,http://twitter.com/lifewithouta4k
06/13/14,http://twitter.com/caligirlent/status/477447656004804608,caligirlent,"RT @LifeWithouta4k: #DrJillianGray, an #angioedema's patient's worst nightmare! #DeliverUsFromEvil #HardKnocks #Health #VanessaWilliams htt…",7.241158,http://twitter.com/CaliGirlEnt/status/477447656004804608,http://twitter.com/caligirlent
06/14/14,http://twitter.com/caligirlent/status/477743084424278016,caligirlent,"@LifeWithouta4k ""e-QUILT FOR #ANGIOEDEMA DAY!"" 23 June! #SocialMediaMarketing @angioedema @HAEDAY @HBODocs #health  http://t.co/VCLmam5SYc",7.066967,http://twitter.com/CaliGirlEnt/status/477743084424278016,http://twitter.com/caligirlent
06/20/14,http://twitter.com/lifewithouta4k/status/479777306487967744,lifewithouta4k,"#100Voices100Likes100Shares #LWAF #VanessaWilliams #Angioedema #Health https://t.co/TtwdIZw1eJ @HAEDAY 
@HAEAustralasia @qlshow @ABCNetwork",7.1662803,http://twitter.com/LifeWithouta4k/status/479777306487967744,http://twitter.com/lifewithouta4k
06/20/14,http://twitter.com/healioallergy/status/480078701074604035,healioallergy,"Hereditary #angioedema patients, physicians reported using different short-term #prophylaxis treatments http://t.co/S05MCvuBSO #healio",8.105868,http://twitter.com/healioallergy/status/480078701074604035,http://twitter.com/healioallergy
06/21/14,http://twitter.com/lifewithouta4k/status/480424190487457792,lifewithouta4k,"#DrJillianGray, ""Would you like to talk to a Psychiatrist?"" http://t.co/MavdQOrllA #huntingtonbeachhospital #angioedema #malpractice #health",8.303385,http://twitter.com/LifeWithouta4k/status/480424190487457792,http://twitter.com/lifewithouta4k
06/21/14,http://twitter.com/angioedematalk/status/480426220123742209,angioedematalk,"RT @LifeWithouta4k: #LifeWithoutAFork, Presents The First Annual e-Quilt for #Angioedema Day! 100 Voices! 100 Likes! 100 Shares! #HEALTH
ht…",7.19311,http://twitter.com/angioedematalk/status/480426220123742209,http://twitter.com/angioedematalk
06/23/14,http://twitter.com/healioderm/status/481064159787122688,healioderm,"RT @healioallergy: Hereditary #angioedema patients, physicians reported using different short-term #prophylaxis treatments http://t.co/S05M…",7.03031,http://twitter.com/HealioDerm/status/481064159787122688,http://twitter.com/healioderm
06/23/14,http://twitter.com/healioallergy/status/481135056220860416,healioallergy,"Hereditary #angioedema patients, physicians reported using different short-term #prophylaxis treatments http://t.co/S05MCvuBSO  #healio",7.269159,http://twitter.com/healioallergy/status/481135056220860416,http://twitter.com/healioallergy
06/23/14,http://twitter.com/aller_md/status/481165087445909504,aller_md,Risk factors associated with severe and recurrent #angioedema: An epidemic linked to ACE-inhibitors http://t.co/EfzhbDfdoM,9.129967,http://twitter.com/Aller_MD/status/481165087445909504,http://twitter.com/aller_md
06/23/14,http://twitter.com/ariaguideline/status/481172410541293568,ariaguideline,RT @Aller_MD: Risk factors associated with severe and recurrent #angioedema: An epidemic linked to ACE-inhibitors http://t.co/EfzhbDfdoM,7.2822695,http://twitter.com/ARIAGuideline/status/481172410541293568,http://twitter.com/ariaguideline
06/23/14,http://twitter.com/soclatalergia/status/481172525515550721,soclatalergia,“@Aller_MD: Risk factors associated with severe and recurrent #angioedema: An epidemic linked to ACE-inhibitors http://t.co/BBWRGjMzaf”,7.280719,http://twitter.com/SocLatAlergia/status/481172525515550721,http://twitter.com/soclatalergia
06/23/14,http://twitter.com/fundacionlibra/status/481172574072999936,fundacionlibra,RT @Aller_MD: Risk factors associated with severe and recurrent #angioedema: An epidemic linked to ACE-inhibitors http://t.co/EfzhbDfdoM,7.2822695,http://twitter.com/FUNDACIONLIBRA/status/481172574072999936,http://twitter.com/fundacionlibra
