firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/mjpampers/status/473050569842909184,mjpampers,@martynhutch @Insanity it's not going to make your hair grow back! #baldness #hahaha,7.7828565,http://twitter.com/mjpampers/status/473050569842909184,http://twitter.com/mjpampers
06/01/14,http://twitter.com/weirdworld357/status/473116851229048832,weirdworld357,How to know about 5 things you should know about #baldness http://t.co/qWlycaAcy5,12.0451355,http://twitter.com/weirdworld357/status/473116851229048832,http://twitter.com/weirdworld357
06/01/14,http://twitter.com/iudsgdsag/status/473121169235648512,iudsgdsag,http://t.co/oTAlY4KLSd 若はげ  #Premature #baldness,8.363369,http://twitter.com/iudsgdsag/status/473121169235648512,http://twitter.com/iudsgdsag
06/01/14,http://twitter.com/discretehair/status/473198024416837632,discretehair,Looking for a cure for your #baldness? then DHS is the place to come to call 07593 444228 bald to a thick head of hair in less than 8 weeks,7.201082,http://twitter.com/DiscreteHair/status/473198024416837632,http://twitter.com/discretehair
06/02/14,http://twitter.com/jawsphobia/status/473290140019085313,jawsphobia,#heat #war #baldness https://t.co/5zhjDU1sVn from the mid-nineties. Does it hold up?  #hate,7.2658052,http://twitter.com/Jawsphobia/status/473290140019085313,http://twitter.com/jawsphobia
06/02/14,http://twitter.com/discretehair/status/473413411016310784,discretehair,Looking for a cure for your #baldness? the DHS is the place to come to call 07593 444228 bald to a thick head of hair in less than 8 weeks,7.2001987,http://twitter.com/DiscreteHair/status/473413411016310784,http://twitter.com/discretehair
06/02/14,http://twitter.com/realwolfpxck/status/473435763636703232,realwolfpxck,#Baldness #funny #surprise https://t.co/ggwYYyqOv6,8.584937,http://twitter.com/RealWolfpxck/status/473435763636703232,http://twitter.com/realwolfpxck
06/02/14,http://twitter.com/sameerasingh780/status/473443155736403968,sameerasingh780,#hairtransplant #Baldness  https://t.co/Rp1M8aqt1X,7.9048486,http://twitter.com/sameerasingh780/status/473443155736403968,http://twitter.com/sameerasingh780
06/02/14,http://twitter.com/rhtat/status/473443616925310976,rhtat,The Prevention of Hair Loss http://t.co/QM2vJsfWDC #hairloss #baldness,8.284921,http://twitter.com/rhtat/status/473443616925310976,http://twitter.com/rhtat
06/02/14,http://twitter.com/rhtat/status/473443871846699008,rhtat,Small Red Onions for #Baldness / Receding hairline http://t.co/jInQrt6Aai #hairloss #baldness,8.420228,http://twitter.com/rhtat/status/473443871846699008,http://twitter.com/rhtat
06/02/14,http://twitter.com/rhtat/status/473444111404396544,rhtat,Castor Oil to Prevent #Baldness http://t.co/tDWW2beL3d #hairloss #baldness,8.597218,http://twitter.com/rhtat/status/473444111404396544,http://twitter.com/rhtat
06/02/14,http://twitter.com/rhtat/status/473444369999990785,rhtat,A blog for hair loss and receding hairline - http://t.co/Ee0wvyebOl #hairloss #baldness,7.625091,http://twitter.com/rhtat/status/473444369999990785,http://twitter.com/rhtat
06/02/14,http://twitter.com/spamedicacanada/status/473467052242792448,spamedicacanada,4 Potential Cures for Baldness that can Eliminate Hair Loss in the Future #HairLoss #Baldness #HairRestoraation... http://t.co/03I7fuMzny,7.4697323,http://twitter.com/SpaMedicaCanada/status/473467052242792448,http://twitter.com/spamedicacanada
06/02/14,http://twitter.com/rhtat/status/473468419090571266,rhtat,The Prevention of Hair Loss http://t.co/QM2vJsfWDC #hairloss #baldness,8.284921,http://twitter.com/rhtat/status/473468419090571266,http://twitter.com/rhtat
06/02/14,http://twitter.com/rhtat/status/473468927956094976,rhtat,Small Red Onions for #Baldness / Receding hairline http://t.co/jInQrt6Aai #hairloss #baldness,8.354193,http://twitter.com/rhtat/status/473468927956094976,http://twitter.com/rhtat
06/02/14,http://twitter.com/rhtat/status/473469183356043264,rhtat,Castor Oil to Prevent #Baldness http://t.co/8f9Q6K7YHW #hairloss #baldness,8.583537,http://twitter.com/rhtat/status/473469183356043264,http://twitter.com/rhtat
06/02/14,http://twitter.com/rhtat/status/473469432119828480,rhtat,A blog for hair loss and receding hairline - http://t.co/Ee0wvyebOl #hairloss #baldness,7.6085467,http://twitter.com/rhtat/status/473469432119828480,http://twitter.com/rhtat
06/02/14,http://twitter.com/weirdworld357/status/473479672747945985,weirdworld357,How to know about 5 things you should know about #baldness http://t.co/qWlycaAcy5,11.971035,http://twitter.com/weirdworld357/status/473479672747945985,http://twitter.com/weirdworld357
06/02/14,http://twitter.com/rhtat/status/473494361129238529,rhtat,The Prevention of Hair Loss http://t.co/QM2vJsfWDC #hairloss #baldness,8.310527,http://twitter.com/rhtat/status/473494361129238529,http://twitter.com/rhtat
06/02/14,http://twitter.com/rhtat/status/473494653111529472,rhtat,Small Red Onions for #Baldness / Receding hairline http://t.co/jInQrt6Aai #hairloss #baldness,8.420489,http://twitter.com/rhtat/status/473494653111529472,http://twitter.com/rhtat
06/02/14,http://twitter.com/rhtat/status/473494945425158145,rhtat,Castor Oil to Prevent #Baldness http://t.co/tDWW2beL3d #hairloss #baldness,8.589153,http://twitter.com/rhtat/status/473494945425158145,http://twitter.com/rhtat
06/02/14,http://twitter.com/rhtat/status/473495208194093059,rhtat,A blog for hair loss and receding hairline - http://t.co/Ee0wvyebOl #hairloss #baldness,7.5398283,http://twitter.com/rhtat/status/473495208194093059,http://twitter.com/rhtat
06/02/14,http://twitter.com/discretehair/status/473496874331418624,discretehair,Looking for a cure for your #baldness? then DHS is the place to come to call 07593 444228 bald to a thick head of hair in less than 8 weeks,7.166946,http://twitter.com/DiscreteHair/status/473496874331418624,http://twitter.com/discretehair
06/02/14,http://twitter.com/valwrapusexy/status/473589109412200448,valwrapusexy,#hairskinandnails #baldness #men #ladies #lashes #hair #hairsalon #hairthining #skin #healthynails… http://t.co/tMBnapcY5B,7.070913,http://twitter.com/valwrapusexy/status/473589109412200448,http://twitter.com/valwrapusexy
