firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/hcinformatics/status/473128175984447488,hcinformatics,ICYMI How @sentarahealth achieved dramatic reductions in occurrences of #hyperglycemia and #hypoglycemia http://t.co/cmthm8ffoZ,10.809444,http://twitter.com/HCInformatics/status/473128175984447488,http://twitter.com/hcinformatics
06/01/14,http://twitter.com/gemmedgem/status/473133711136141312,gemmedgem,Sir Caps thanks for the ice cream! #hyperglycemia #icecream #allforme http://t.co/fo6FDepOIy,8.047296,http://twitter.com/gemmedgem/status/473133711136141312,http://twitter.com/gemmedgem
06/01/14,http://twitter.com/sartoushy/status/473143206163386368,sartoushy,Finals #diet loads of caffeine and sugar #nescafe #chocolate #hyperglycemia,8.147024,http://twitter.com/sartoushy/status/473143206163386368,http://twitter.com/sartoushy
06/03/14,http://twitter.com/sugarendothelia/status/473657308602712064,sugarendothelia,"@sugarendothelia calls ALL to limit or avoid #Fluids of #sugaryDrinks 
for #hdration on #hotWeatherDays Say #wellness and not #Hyperglycemia",7.1657276,http://twitter.com/sugarendothelia/status/473657308602712064,http://twitter.com/sugarendothelia
06/03/14,http://twitter.com/winbdiaz/status/473701862504275968,winbdiaz,Oh #cravingssatisfied:D #donut =  #hyperglycemia haha!  Cheat day. http://t.co/89NB7Fw1j7,7.7284584,http://twitter.com/winbdiaz/status/473701862504275968,http://twitter.com/winbdiaz
06/05/14,http://twitter.com/rhoiregino/status/474504273397415937,rhoiregino,"Burp! Hahaha 😆😋 

#hyperglycemia (at WMSU - College of Law) [pic] — https://t.co/3IyfSBJJPg",10.836728,http://twitter.com/rhoiregino/status/474504273397415937,http://twitter.com/rhoiregino
06/05/14,http://twitter.com/tingutierrez08/status/474535786092957698,tingutierrez08,Matatanggihan mo ba 'to? :)) #hyperglycemia #colorful #chocolates #day97 #100happydays http://t.co/ZlAXu71LLG,7.286414,http://twitter.com/TinGutierrez08/status/474535786092957698,http://twitter.com/tingutierrez08
06/06/14,http://twitter.com/practiceupdate/status/474929236630061056,practiceupdate,#Hypoglycemia Edges Out #Hyperglycemia in Hospital Admissions for Diabetes. http://t.co/3zpwncBed0 #Diabetes,7.8822527,http://twitter.com/practiceupdate/status/474929236630061056,http://twitter.com/practiceupdate
06/06/14,http://twitter.com/dhakalmukul/status/474931046639599616,dhakalmukul,Death of patients with #hyperglycemia (among non diagnosed case of #diabetes) is high in #medical and #surgical setting.,7.6828704,http://twitter.com/dhakalmukul/status/474931046639599616,http://twitter.com/dhakalmukul
06/09/14,http://twitter.com/ramrubio_/status/475991659897819136,ramrubio_,Thank you Dr. Cervantes for the packs and bars of chocolates! 🍫 #dm #dka #hyperglycemia #pasalubong,7.6785903,http://twitter.com/ramrubio_/status/475991659897819136,http://twitter.com/ramrubio_
