firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/c3health/status/473001027462250496,c3health,"Via @GrowYourWellnes: Action plan to address 30% childhood #obesity rate in #Barbados #NCDs #diabetes 
http://t.co/62Es8zd0k6",7.1118393,http://twitter.com/C3health/status/473001027462250496,http://twitter.com/c3health
06/01/14,http://twitter.com/c3nursing/status/473004792491814913,c3nursing,"Via @C3health @GrowYourWellnes: Action plan to address 30% childhood #obesity rate in #Barbados #NCDs #prevention 
http://t.co/w0h9g64Uw9",6.9031286,http://twitter.com/C3Nursing/status/473004792491814913,http://twitter.com/c3nursing
06/01/14,http://twitter.com/easoobesity/status/473009829649612800,easoobesity,"V @GLOBALHealthPR: Rethink how we treat #NCDs: new report says 2.1 billion people #overweight / #obese 
http://t.co/gPKVGErGqc #ECOobesity",8.627748,http://twitter.com/EASOobesity/status/473009829649612800,http://twitter.com/easoobesity
06/01/14,http://twitter.com/devishreem/status/473017246680236033,devishreem,"RT @ChoicesProgr: ""this century must be an era where prevention receives at least as much priority as cure."" #NCDs http://t.co/Nim7DVCVL1",7.4524784,http://twitter.com/DevishreeM/status/473017246680236033,http://twitter.com/devishreem
06/01/14,http://twitter.com/yenthanh_mac/status/473031716823506944,yenthanh_mac,Healthy Lifestyle Campaign To Be Intensified To Address NCD. http://t.co/NbMfPNDw1T @K8_Armstrong #NCDs #NCDChild,7.2029824,http://twitter.com/yenthanh_mac/status/473031716823506944,http://twitter.com/yenthanh_mac
06/01/14,http://twitter.com/clanchildhealth/status/473033445266841601,clanchildhealth,CDC Celebrates World No Tobacco Day. http://t.co/yXmJISs5wQ @K8_Armstrong @NCDChild #Notobacco #NCDs #NCDChild,7.127629,http://twitter.com/clanchildhealth/status/473033445266841601,http://twitter.com/clanchildhealth
06/01/14,http://twitter.com/weightlose_it/status/473042189652480000,weightlose_it,"RT @EASOobesity: V @GLOBALHealthPR: Rethink how we treat #NCDs: new report says 2.1 billion people #overweight / #obese 
http://t.co/gPKVGE…",6.8794923,http://twitter.com/weightlose_it/status/473042189652480000,http://twitter.com/weightlose_it
06/01/14,http://twitter.com/k8_armstrong/status/473044364566863873,k8_armstrong,Thx @yenthanh_mac - great article: NCDs a real killer. http://t.co/UWGDlnaYtY @K8_Armstrong @jroserodas @NCDChild #NCDs #NCDChild,8.283005,http://twitter.com/K8_Armstrong/status/473044364566863873,http://twitter.com/k8_armstrong
06/01/14,http://twitter.com/anantbhan/status/473108857397334019,anantbhan,Nearly 30% people in the world are overweight or obese http://t.co/KObt997CxZ #NCDs #globalhealth #obesity #publichealth,8.151579,http://twitter.com/AnantBhan/status/473108857397334019,http://twitter.com/anantbhan
06/01/14,http://twitter.com/hlthanalysis/status/473112035077947392,hlthanalysis,"Highest Prevalence of #Hypertension Located to Southeastern of United States, 2001-2009 http://t.co/4fLsZVFLgI #hdpalooza #NCDs",7.0360675,http://twitter.com/HlthAnalysis/status/473112035077947392,http://twitter.com/hlthanalysis
06/01/14,http://twitter.com/ihme_uw/status/473116793448718337,ihme_uw,Obesity prevalence among #US children nearly 2x what was found among W. Europeans: http://t.co/08S62n4Yhc #NCDs #childhealth,12.875924,http://twitter.com/IHME_UW/status/473116793448718337,http://twitter.com/ihme_uw
06/01/14,http://twitter.com/andconrad/status/473119612998275072,andconrad,RT @IHME_UW: Obesity prevalence among #US children nearly 2x what was found among W. Europeans: http://t.co/08S62n4Yhc #NCDs #childhealth,7.0388246,http://twitter.com/AndConrad/status/473119612998275072,http://twitter.com/andconrad
06/01/14,http://twitter.com/greathealthrace/status/473122549782425600,greathealthrace,RT @IHME_UW: Obesity prevalence among #US children nearly 2x what was found among W. Europeans: http://t.co/08S62n4Yhc #NCDs #childhealth,7.0388246,http://twitter.com/greathealthrace/status/473122549782425600,http://twitter.com/greathealthrace
06/01/14,http://twitter.com/jordaneworleans/status/473124753201709056,jordaneworleans,RT @IHME_UW: Obesity prevalence among #US children nearly 2x what was found among W. Europeans: http://t.co/08S62n4Yhc #NCDs #childhealth,7.0388246,http://twitter.com/jordaneworleans/status/473124753201709056,http://twitter.com/jordaneworleans
06/01/14,http://twitter.com/doubletmedia/status/473125674190794752,doubletmedia,RT @IHME_UW: Obesity prevalence among #US children nearly 2x what was found among W. Europeans: http://t.co/08S62n4Yhc #NCDs #childhealth,7.0388246,http://twitter.com/DoubletMedia/status/473125674190794752,http://twitter.com/doubletmedia
06/01/14,http://twitter.com/maffeomedia/status/473129143916572672,maffeomedia,RT @IHME_UW: Obesity prevalence among #US children nearly 2x what was found among W. Europeans: http://t.co/08S62n4Yhc #NCDs #childhealth,7.0388246,http://twitter.com/maffeomedia/status/473129143916572672,http://twitter.com/maffeomedia
06/01/14,http://twitter.com/willseattle/status/473142417949220864,willseattle,RT @IHME_UW: Obesity prevalence among #US children nearly 2x what was found among W. Europeans: http://t.co/08S62n4Yhc #NCDs #childhealth,10.211836,http://twitter.com/WillSeattle/status/473142417949220864,http://twitter.com/willseattle
06/01/14,http://twitter.com/nshrubs/status/473145263415377920,nshrubs,RT @IHME_UW: Obesity prevalence among #US children nearly 2x what was found among W. Europeans: http://t.co/08S62n4Yhc #NCDs #childhealth,7.0388246,http://twitter.com/NShrubs/status/473145263415377920,http://twitter.com/nshrubs
06/01/14,http://twitter.com/djterasaki/status/473151136711471104,djterasaki,RT @IHME_UW: Obesity prevalence among #US children nearly 2x what was found among W. Europeans: http://t.co/08S62n4Yhc #NCDs #childhealth,7.0388246,http://twitter.com/djterasaki/status/473151136711471104,http://twitter.com/djterasaki
06/01/14,http://twitter.com/ilonakickbusch/status/473168010543628290,ilonakickbusch,Are we well prepared for this critical meeting? How will commercial determinants of health  be addressed? #cdoh #ncds http://t.co/qiVLMGvgY6,8.349076,http://twitter.com/IlonaKickbusch/status/473168010543628290,http://twitter.com/ilonakickbusch
