firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/mylifewithcats/status/473023200285446144,mylifewithcats,"Heat is my comfort, and in the summer, using it isn't feasible comfort-wise.  #painsomnia stinks. #rheum",7.5567765,http://twitter.com/MyLifeWithCats/status/473023200285446144,http://twitter.com/mylifewithcats
06/01/14,http://twitter.com/westr/status/473245134176677888,westr,RT @GoogleFacts: Sleeping too little can lead to an increased desire for sex and substance abuse. (Via @Know) #painsomnia,11.182356,http://twitter.com/westr/status/473245134176677888,http://twitter.com/westr
06/02/14,http://twitter.com/xomoe/status/473309328804675584,xomoe,@KentSmalley if only I could sleep! #painsomnia,9.066836,http://twitter.com/xoMoe/status/473309328804675584,http://twitter.com/xomoe
06/03/14,http://twitter.com/arthritisintro/status/473723986803560448,arthritisintro,#Rheum mates have mad math skills. #painsomnia http://t.co/jCBnprlvUX,11.0989485,http://twitter.com/ArthritisIntro/status/473723986803560448,http://twitter.com/arthritisintro
06/03/14,http://twitter.com/jhoronjeff/status/473764796303552513,jhoronjeff,RT @ArthritisIntro: #Rheum mates have mad math skills. #painsomnia http://t.co/jCBnprlvUX,7.8295693,http://twitter.com/jhoronjeff/status/473764796303552513,http://twitter.com/jhoronjeff
06/03/14,http://twitter.com/kiwi_nc/status/473767377285709825,kiwi_nc,RT @ArthritisIntro: #Rheum mates have mad math skills. #painsomnia http://t.co/jCBnprlvUX,7.8295693,http://twitter.com/Kiwi_NC/status/473767377285709825,http://twitter.com/kiwi_nc
06/03/14,http://twitter.com/lesleystargazer/status/473779128483995649,lesleystargazer,RT @ArthritisIntro: #Rheum mates have mad math skills. #painsomnia http://t.co/jCBnprlvUX,7.8295693,http://twitter.com/lesleystargazer/status/473779128483995649,http://twitter.com/lesleystargazer
06/03/14,http://twitter.com/itsmyralife/status/473827902073495555,itsmyralife,RT @ArthritisIntro: #Rheum mates have mad math skills. #painsomnia http://t.co/jCBnprlvUX,7.8295693,http://twitter.com/itsmyRAlife/status/473827902073495555,http://twitter.com/itsmyralife
06/03/14,http://twitter.com/kellyeverson12/status/473828501968420864,kellyeverson12,RT @ArthritisIntro: #Rheum mates have mad math skills. #painsomnia http://t.co/jCBnprlvUX,7.8295693,http://twitter.com/kellyeverson12/status/473828501968420864,http://twitter.com/kellyeverson12
06/04/14,http://twitter.com/steenary/status/474024590964838401,steenary,Gonna be another long night of #painsomnia; every joint and muscle is screaming. Grateful my Trej is smuggling close with love and purrs.,10.787747,http://twitter.com/steenary/status/474024590964838401,http://twitter.com/steenary
06/04/14,http://twitter.com/steenary/status/474032093073113089,steenary,Can we start a #latenightspoonies club? #painsomnia #spoonie #fibro #rheum,10.555992,http://twitter.com/steenary/status/474032093073113089,http://twitter.com/steenary
06/04/14,http://twitter.com/selah_griffin/status/474070179240890368,selah_griffin,"Man, this #painsomnia is too much…. I have things to do, and sleep needs to happen for me to be at my best! Argh. #chronicmigraine",7.9680414,http://twitter.com/selah_griffin/status/474070179240890368,http://twitter.com/selah_griffin
06/04/14,http://twitter.com/francieml/status/474149258812084224,francieml,"Up early.Not really never slept.Dozed off here and there but not for long.Starting to get tired.Pain was too much to sleep.
#painsomnia",11.316386,http://twitter.com/FrancieML/status/474149258812084224,http://twitter.com/francieml
06/04/14,http://twitter.com/rminnyc/status/474162870205181953,rminchicago,#painsomnia = applying for service dogs. A girl can dream.,9.308287,http://twitter.com/RMinNYC/status/474162870205181953,http://twitter.com/rminchicago
06/04/14,http://twitter.com/froznoj/status/474279759862824960,froznoj,#pizzasisters4lyfe #junephotochallenge Day 4 - Peace: thankfully I don't have #painsomnia as often as… http://t.co/R87KAngLAT,7.4873447,http://twitter.com/FroznOJ/status/474279759862824960,http://twitter.com/froznoj
06/04/14,http://twitter.com/glamourandguts/status/474312426176118786,glamourandguts,Painsomnia. That is all.😭 #iwishicouldsleep #painsomnia #crohnsdisease #crohnsprobs #crohnie,7.352614,http://twitter.com/glamourandguts/status/474312426176118786,http://twitter.com/glamourandguts
06/04/14,http://twitter.com/healclick/status/474328224412225536,healclick,Medical Marijuana seems to help a lot of our #Fibromyalgia members with pain and sleep issues #fibro #painsomnia https://t.co/nU2EdfaMx0,9.06783,http://twitter.com/HealClick/status/474328224412225536,http://twitter.com/healclick
06/05/14,http://twitter.com/thetackroom/status/474366288694091777,thetackroom,RT @HealClick: Medical Marijuana seems to help a lot of our #Fibromyalgia members with pain and sleep issues #fibro #painsomnia https://t.c…,7.5888553,http://twitter.com/thetackroom/status/474366288694091777,http://twitter.com/thetackroom
06/05/14,http://twitter.com/itsmylife26__/status/474409636099923968,itsmylife26__,Distention = #painsomnia ... why did I eat again?? That's the master question!! #Gastroparesis #sickgirlprobs #spoonie,7.16073,http://twitter.com/itsmylife26__/status/474409636099923968,http://twitter.com/itsmylife26__
06/05/14,http://twitter.com/littlelittlexo/status/474415600761335809,littlelittlexo,"""Pain can change you, but never let it define you"". #spoonie #SpoonieChat #SpoonieLove #quotes #staystrong #painsomnia",7.502261,http://twitter.com/LittleLittlexo/status/474415600761335809,http://twitter.com/littlelittlexo
06/05/14,http://twitter.com/jscissorhands00/status/474431052820533248,jscissorhands00,"Right now, you can F OFF Arthur. Not even joking. #rheumrage #painsomnia #SoDone",8.674099,http://twitter.com/Jscissorhands00/status/474431052820533248,http://twitter.com/jscissorhands00
06/05/14,http://twitter.com/shelley_m_w/status/474445777029177344,shelley_m_w,RT @HealClick: Medical Marijuana seems to help a lot of our #Fibromyalgia members with pain and sleep issues #fibro #painsomnia https://t.c…,7.5888553,http://twitter.com/Shelley_M_W/status/474445777029177344,http://twitter.com/shelley_m_w
