firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/nutallergyasst/status/473095028513185792,nutallergyasst,@LoneWolfTavern #peanutallergy #treenutallergy #celeryallergy Can I try a pie?,7.2714863,http://twitter.com/NutAllergyAsst/status/473095028513185792,http://twitter.com/nutallergyasst
06/01/14,http://twitter.com/jenryanh/status/473154275724374017,jenryanh,"@AnaphylaxisCAN @ a kids 6th bday party, kids r aware of their allergies. 1 kid knew that her blood rslts hold promising news #peanutallergy",7.340066,http://twitter.com/jenryanh/status/473154275724374017,http://twitter.com/jenryanh
06/02/14,http://twitter.com/kmcfall/status/473300757035220993,kmcfall,@TaffyTown you made me cry in the middle of @kowalskismarket  My 16 yo son w a #peanutallergy had never had taffy. I saw yours-&gt;tears of joy,10.3968,http://twitter.com/kmcfall/status/473300757035220993,http://twitter.com/kmcfall
06/02/14,http://twitter.com/peckd2death/status/473542145299976192,peckd2death,My attempt to find a little humor in my son's peanut allergy: The Peanut Challenge http://t.co/atifi8Oqw6 #peanutallergy,9.528296,http://twitter.com/Peckd2Death/status/473542145299976192,http://twitter.com/peckd2death
06/02/14,http://twitter.com/ilivesmart/status/473589602239152128,ilivesmart,"#peanut free baby products! It's the only sunscreen, shampoo, lotion my nieces &amp; nephews can use! http://t.co/Q5jutVwKkf RT #peanutallergy",11.372937,http://twitter.com/iLiveSmart/status/473589602239152128,http://twitter.com/ilivesmart
06/02/14,http://twitter.com/lladykat/status/473591584295256065,lladykat,"RT @iLiveSmart: #peanut free baby products! It's the only sunscreen, shampoo, lotion my nieces &amp; nephews can use! http://t.co/Q5jutVwKkf RT…",7.275398,http://twitter.com/LLadykat/status/473591584295256065,http://twitter.com/lladykat
06/03/14,http://twitter.com/kzsaxton24/status/473616226766557184,kzsaxton24,I would like to thank #Kashi for making a granola bar that I can enjoy #beenwaiting22yearsforthis #peanutallergy @KashiFoods,8.361522,http://twitter.com/kzsaxton24/status/473616226766557184,http://twitter.com/kzsaxton24
06/03/14,http://twitter.com/perfectpending/status/473660338924421120,perfectpending,RT @Peckd2Death: My attempt to find a little humor in my son's peanut allergy: The Peanut Challenge http://t.co/atifi8Oqw6 #peanutallergy,7.660436,http://twitter.com/PerfectPending/status/473660338924421120,http://twitter.com/perfectpending
06/03/14,http://twitter.com/nritacca/status/473664018633072640,nritacca,"Too happy for words!
My little boys #peanutallergy seems to be reducing! Fingers crossed he will be free and clear in the years ahead!",7.912336,http://twitter.com/NRitacca/status/473664018633072640,http://twitter.com/nritacca
06/03/14,http://twitter.com/halfassedlane/status/473867911304458240,halfassedlane,"The Joys of Having a Peanut Allergy, Part One http://t.co/1DCOrIeN13
#peanutallergy,#anaphalaxis,#severeallergy",7.6282406,http://twitter.com/halfassedlane/status/473867911304458240,http://twitter.com/halfassedlane
06/04/14,http://twitter.com/allergyasthmafw/status/474191924069679104,allergyasthmafw,#foodallergies #peanutallergy http://t.co/tHabpc9tmN,8.553777,http://twitter.com/AllergyAsthmaFW/status/474191924069679104,http://twitter.com/allergyasthmafw
06/04/14,http://twitter.com/maycontainnut/status/474265067740233728,maycontainnut,RT @kzsaxton24: I would like to thank #Kashi for making a granola bar that I can enjoy #beenwaiting22yearsforthis #peanutallergy @KashiFoods,7.291601,http://twitter.com/MayContainNut/status/474265067740233728,http://twitter.com/maycontainnut
06/04/14,http://twitter.com/ityiws/status/474265738803707904,ityiws,Protect Your Child with Food Allergies from Bullies: http://t.co/fib6wEFaYt #foodallergies #bullies #peanutallergy Please RT,11.715121,http://twitter.com/ityiws/status/474265738803707904,http://twitter.com/ityiws
06/04/14,http://twitter.com/craigamaxwell/status/474270147310407680,craigamaxwell,RT @ityiws: Protect Your Child with Food Allergies from Bullies: http://t.co/fib6wEFaYt #foodallergies #bullies #peanutallergy Please RT,7.5291424,http://twitter.com/CraigAMaxwell/status/474270147310407680,http://twitter.com/craigamaxwell
06/04/14,http://twitter.com/whytrigms/status/474273125753188352,whytrigms,Eminem!! #peanutallergy? #busridenightmare #france14 #parcasterix http://t.co/HdYQLExWoD,7.4378343,http://twitter.com/WhytrigMS/status/474273125753188352,http://twitter.com/whytrigms
06/04/14,http://twitter.com/yousignedup/status/474300080095121408,yousignedup,"Ugh, just ate bar w/peanuts by accident 1hr before kissing my 2yo after work. Brush teeth/change clothes time! #peanutallergy #foodallergies",7.4532256,http://twitter.com/yousignedup/status/474300080095121408,http://twitter.com/yousignedup
06/05/14,http://twitter.com/calpb93/status/474513069759266816,calpb93,Considering eating a tub of peanuts to get the day off work #PeanutAllergy,8.263246,http://twitter.com/calpb93/status/474513069759266816,http://twitter.com/calpb93
06/05/14,http://twitter.com/allergicemily/status/474588379590311936,allergicemily,Yikes I had no idea! Thanks @OurAAdventures: Peanuts in potting soil? Peanut husks are in some organic mixes #peanutallergy,7.2231436,http://twitter.com/AllergicEmily/status/474588379590311936,http://twitter.com/allergicemily
06/05/14,http://twitter.com/kipsnutfree/status/474623011602309120,kipsnutfree,Yikes!  @OceanSprayInc recalling some Greek yogurt-covered Craisins. May be yogurt-covered peanuts instead.  #peanutallergy #foodallergy,6.9881277,http://twitter.com/kipsnutfree/status/474623011602309120,http://twitter.com/kipsnutfree
06/06/14,http://twitter.com/dallasallergyim/status/474899082658709504,dallasallergyim,A U.S. government study found boiled peanuts are less likely to cause #peanutallergy than roasted peanuts. http://t.co/adqFptX4y4,7.870128,http://twitter.com/DallasAllergyIm/status/474899082658709504,http://twitter.com/dallasallergyim
06/06/14,http://twitter.com/nofearoffood/status/474899240029020162,nofearoffood,A U.S. government study found boiled peanuts are less likely to cause #peanutallergy than roasted peanuts. http://t.co/kDRfQ2WRJm,7.870128,http://twitter.com/NoFearOfFood/status/474899240029020162,http://twitter.com/nofearoffood
06/06/14,http://twitter.com/caitlynnreger/status/474946433011810305,caitlynnreger,"hey @ava_kristine who pissed in your Reese's puffs cereal, oh wait.. #peanutallergy",8.984074,http://twitter.com/caitlynnreger/status/474946433011810305,http://twitter.com/caitlynnreger
06/06/14,http://twitter.com/ava_kristine/status/474946480654921729,ava_kristine,"RT @caitlynnreger: hey @ava_kristine who pissed in your Reese's puffs cereal, oh wait.. #peanutallergy",7.422166,http://twitter.com/ava_kristine/status/474946480654921729,http://twitter.com/ava_kristine
06/06/14,http://twitter.com/brbuthe/status/474946483154714624,brbuthe,"RT @caitlynnreger: hey @ava_kristine who pissed in your Reese's puffs cereal, oh wait.. #peanutallergy",7.422166,http://twitter.com/BrButhe/status/474946483154714624,http://twitter.com/brbuthe
06/06/14,http://twitter.com/youngadventures/status/475038265326977024,youngadventures,5 Reasons Why Having a Food Allergy Shouldn’t Keep You from Traveling - http://t.co/8XMYG51oOD #foodallergy #peanutallergy,8.4839735,http://twitter.com/YoungAdventures/status/475038265326977024,http://twitter.com/youngadventures
06/06/14,http://twitter.com/leanne_j_r/status/475054892101697536,leanne_j_r,RT @YoungAdventures: 5 Reasons Why Having a Food Allergy Shouldn’t Keep You from Traveling - http://t.co/8XMYG51oOD #foodallergy #peanutall…,7.4308887,http://twitter.com/leanne_j_r/status/475054892101697536,http://twitter.com/leanne_j_r
06/07/14,http://twitter.com/greatplainslab/status/475281079499489280,greatplainslab,Peanut Allergy Alert: Ocean Spray. http://t.co/SsshESUQT5 #foodallergy #peanutallergy #recall #IgG #IgE #anaphylaxis,7.282481,http://twitter.com/GreatPlainsLab/status/475281079499489280,http://twitter.com/greatplainslab
06/07/14,http://twitter.com/maycontainnut/status/475312489547464704,maycontainnut,"@sainsburys handing out open pots of Walkers Tiger Nuts all over the store! Now peanut contamination everywhere, help! #PeanutAllergy",9.233603,http://twitter.com/MayContainNut/status/475312489547464704,http://twitter.com/maycontainnut
06/07/14,http://twitter.com/sarahjchapman/status/475314541317083136,sarahjchapman,"RT @MayContainNut: @sainsburys handing out open pots of Walkers Tiger Nuts all over the store! Now peanut contamination everywhere, help! #…",7.315395,http://twitter.com/sarahjchapman/status/475314541317083136,http://twitter.com/sarahjchapman
06/07/14,http://twitter.com/new_beginnings_/status/475352829318950913,new_beginnings_,Yet another recall this time for peanut content. Peanut Allergy Alert: Ocean Spray. http://t.co/qdGphHXMWD #peanutallergy #foodallergy #IgE,7.4778967,http://twitter.com/New_Beginnings_/status/475352829318950913,http://twitter.com/new_beginnings_
06/07/14,http://twitter.com/daniel4cisv/status/475356581349978112,daniel4cisv,"@KattHryciw @CISV_Calgary Funny! Also, the reason we can't be there... #peanutallergy",8.953274,http://twitter.com/daniel4CISV/status/475356581349978112,http://twitter.com/daniel4cisv
06/07/14,http://twitter.com/katthryciw/status/475358841735880704,katthryciw,"RT @daniel4CISV: @KattHryciw @CISV_Calgary Funny! Also, the reason we can't be there... #peanutallergy",7.4778967,http://twitter.com/KattHryciw/status/475358841735880704,http://twitter.com/katthryciw
06/07/14,http://twitter.com/cisv_calgary/status/475364156116172800,cisv_calgary,"RT @daniel4CISV: @KattHryciw @CISV_Calgary Funny! Also, the reason we can't be there... #peanutallergy",7.4778967,http://twitter.com/CISV_Calgary/status/475364156116172800,http://twitter.com/cisv_calgary
06/07/14,http://twitter.com/immhnow/status/475386765185122304,immhnow,Peanut Allergy Alert: Ocean Spray. http://t.co/Y8vJOcO7CS #foodallergy #peanutallergy #recall #IgG #IgE #anaphylaxis,8.875048,http://twitter.com/IMMHnow/status/475386765185122304,http://twitter.com/immhnow
06/07/14,http://twitter.com/axamcarnes/status/475393838505148417,axamcarnes,RT @IMMHnow: Peanut Allergy Alert: Ocean Spray. http://t.co/Y8vJOcO7CS #foodallergy #peanutallergy #recall #IgG #IgE #anaphylaxis,7.0239797,http://twitter.com/axamcarnes/status/475393838505148417,http://twitter.com/axamcarnes
06/08/14,http://twitter.com/moonlightmadi/status/475505222731587584,moonlightmadi,"I have identified Sarah's weakness: peanuts 
Pls use this against her at all times 
#PeanutAllergy #FunWithPeanuts",8.508994,http://twitter.com/moonlightmadi/status/475505222731587584,http://twitter.com/moonlightmadi
