firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/wildangel6/status/473073681523306496,wildangel6,RT @Max_Cure: Raise awareness for #PediatricCancer! Help us turn the @Nascar #pacecar gold in September. Let them hear our #Roar. http://t.…,7.2304053,http://twitter.com/WildAngel6/status/473073681523306496,http://twitter.com/wildangel6
06/01/14,http://twitter.com/glass_of_oja/status/473114849229418496,glass_of_oja,"""Real superheroes live within the hearts of small children fighting big battles."" Join the fight #pediatriccancer #gogold",8.522912,http://twitter.com/glass_of_oja/status/473114849229418496,http://twitter.com/glass_of_oja
06/02/14,http://twitter.com/foundationatcg/status/473426615796371456,foundationatcg,New treatment options may be available to #PediatricCancer patients as identified by #FoundationOne. http://t.co/P47OG00fte #ASCO14,9.138967,http://twitter.com/FoundationATCG/status/473426615796371456,http://twitter.com/foundationatcg
06/02/14,http://twitter.com/foundationatcg/status/473428839649914880,foundationatcg,"Comprehensive #genomic profiling may identify targetable alts in &gt;50% of #PediatricCancer Poster HiLi: 8-11:45, S Hall A2, Ab 10035 #ASCO14",7.986503,http://twitter.com/FoundationATCG/status/473428839649914880,http://twitter.com/foundationatcg
06/02/14,http://twitter.com/rnaianalyst/status/473432645725335552,rnaianalyst,"RT @FoundationATCG: Comprehensive #genomic profiling may identify targetable alts in &gt;50% of #PediatricCancer Poster HiLi: 8-11:45, S Hall …",6.571405,http://twitter.com/RNAiAnalyst/status/473432645725335552,http://twitter.com/rnaianalyst
06/02/14,http://twitter.com/hunterzampa/status/473443176678952961,hunterzampa,We are remembering our great friend Gillian! #nomorecancer #pediatriccancer #cancersucks http://t.co/pNUmEFGg4L,7.890973,http://twitter.com/HunterZampa/status/473443176678952961,http://twitter.com/hunterzampa
06/02/14,http://twitter.com/41n9foundation/status/473444141649915904,41n9foundation,Beat #PediatricCancer by supporting #Wrigley2Fenway   http://t.co/Na0iwyuKXB http://t.co/hzAvnzHtxT,8.084333,http://twitter.com/41n9Foundation/status/473444141649915904,http://twitter.com/41n9foundation
06/02/14,http://twitter.com/michaelpellini/status/473446079698964480,michaelpellini,RT @FoundationATCG: New treatment options may be available to #PediatricCancer patients as identified by #FoundationOne. http://t.co/P47OG0…,7.2385845,http://twitter.com/MichaelPellini/status/473446079698964480,http://twitter.com/michaelpellini
06/02/14,http://twitter.com/michaelpellini/status/473446186548871168,michaelpellini,"RT @FoundationATCG: Comprehensive #genomic profiling may identify targetable alts in &gt;50% of #PediatricCancer Poster HiLi: 8-11:45, S Hall …",6.571405,http://twitter.com/MichaelPellini/status/473446186548871168,http://twitter.com/michaelpellini
06/02/14,http://twitter.com/teamsupersammy/status/473492235426611200,teamsupersammy,Hlp raise funds for #PediatricCancer research as I shave @StBaldricks event in #delawareOhio http://t.co/XWIv62DKY2 http://t.co/12NfKiuQYY,7.546565,http://twitter.com/TeamSuperSammy/status/473492235426611200,http://twitter.com/teamsupersammy
06/02/14,http://twitter.com/teamsupersammy/status/473492867311476736,teamsupersammy,#ColumbusOhio hlp raise funds for #PediatricCancer research by donating to @StBaldricks  http://t.co/TSardJQhfa http://t.co/Z7tmG0HJFx,9.218289,http://twitter.com/TeamSuperSammy/status/473492867311476736,http://twitter.com/teamsupersammy
06/02/14,http://twitter.com/columbusbot/status/473494276396294144,columbusbot,RT @TeamSuperSammy: #ColumbusOhio hlp raise funds for #PediatricCancer research by donating to @StBaldricks  http://t.co/TSardJQhfa http://…,7.3870134,http://twitter.com/ColumbusBot/status/473494276396294144,http://twitter.com/columbusbot
06/02/14,http://twitter.com/iruncolumbus/status/473494774725758976,iruncolumbus,RT @TeamSuperSammy: #ColumbusOhio hlp raise funds for #PediatricCancer research by donating to @StBaldricks  http://t.co/TSardJQhfa http://…,7.3870134,http://twitter.com/IRunColumbus/status/473494774725758976,http://twitter.com/iruncolumbus
06/02/14,http://twitter.com/nikki1979lynn/status/473519557131653120,nikki1979lynn,#spreadtheword #PediatricCancer http://t.co/MNdOMPeq5Z #akron #Cleveland #Ohio #Cancersucks @Browns @New102Cleveland http://t.co/8rjwLDXCA0,7.4201903,http://twitter.com/nikki1979lynn/status/473519557131653120,http://twitter.com/nikki1979lynn
06/02/14,http://twitter.com/indiejenfischer/status/473536288449376257,indiejenfischer,Spotlight on #Ronaldo - https://t.co/9mHsa7GUIb #WorldCup #Soccer #SpotlightOnHope #PediatricCancer,7.263979,http://twitter.com/IndieJenFischer/status/473536288449376257,http://twitter.com/indiejenfischer
