firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/mantonastnv/status/473080737223024640,mantonastnv,@steveymac2 cheers mate. Hope the recovery is going well! #shingles,7.929447,http://twitter.com/mantonastnv/status/473080737223024640,http://twitter.com/mantonastnv
06/01/14,http://twitter.com/diamondcert/status/473117095849648128,diamondcert,Visually #inspect your #roof at least twice a year. Look for torn #shingles and debris buildup—especially if you live near big trees.,7.078235,http://twitter.com/diamondcert/status/473117095849648128,http://twitter.com/diamondcert
06/01/14,http://twitter.com/exteriorcompany/status/473119696091230209,exteriorcompany,Our #roof #shingles are available in many in many stylish colors http://t.co/Xl8Ul1CAHP,8.04601,http://twitter.com/ExteriorCompany/status/473119696091230209,http://twitter.com/exteriorcompany
06/01/14,http://twitter.com/jenwell98/status/473134224837320706,jenwell98,did u guys catch my joke #shingles,8.627194,http://twitter.com/JenWell98/status/473134224837320706,http://twitter.com/jenwell98
06/01/14,http://twitter.com/kelliejohuntley/status/473208066641772544,kelliejohuntley,Tablets for my sore nose!!! Can't post picture ..... It's NASTY!! #shingles http://t.co/fqFeRUC26F,8.271543,http://twitter.com/KellieJoHuntley/status/473208066641772544,http://twitter.com/kelliejohuntley
06/01/14,http://twitter.com/kevingarduno/status/473243976414158848,kevingarduno,Time to stop telling people I have a girl back home #single ready for #shingles #fml,8.143194,http://twitter.com/kevingarduno/status/473243976414158848,http://twitter.com/kevingarduno
06/02/14,http://twitter.com/5starscolorado/status/473271602168098816,5starscolorado,"#shingles
My Company is looking for experienced hard working roofing crews to work in the Denver metro area and the Colorado Springs area.",7.629898,http://twitter.com/5starscolorado/status/473271602168098816,http://twitter.com/5starscolorado
06/02/14,http://twitter.com/halfblindbandit/status/473274672746733569,halfblindbandit,#selfiesunday #mono #shingles #fml #nofilter http://t.co/W1KwERTzV6,7.980504,http://twitter.com/halfblindbandit/status/473274672746733569,http://twitter.com/halfblindbandit
05/22/14,http://twitter.com/resp_care/status/469586765565935616,mcott22,RT @Resp_Care: Clinical #Study: “#Successful #Treatment of #Shingles” #Painful #Severe #Doctor #Improvement #Alternative #Healthcare http:/…,6.979871,http://twitter.com/Mcott22/status/473294414349991936,http://twitter.com/mcott22
06/02/14,http://twitter.com/brianelbastardo/status/473359517845958656,brianelbastardo,"feels like half my head is fire. although the codeine, tramadol and wine helps a little. #shingles",7.9732127,http://twitter.com/BrianElBastardo/status/473359517845958656,http://twitter.com/brianelbastardo
06/02/14,http://twitter.com/selectyourroof/status/473447079327854592,selectyourroof,"What’s your shingle style? Slate, Shake, or 3 Tab Shingles? Take a look at the differences. http://t.co/4aMHRCvzVS #roofing #shingles",7.080914,http://twitter.com/SelectYourRoof/status/473447079327854592,http://twitter.com/selectyourroof
06/02/14,http://twitter.com/rowanroop1/status/473461595381985280,rowanroop1,"Maybe I'm just refusing to understand, maybe I don't want too... #hurtssobad #shingles",8.031863,http://twitter.com/RowanRoop1/status/473461595381985280,http://twitter.com/rowanroop1
06/02/14,http://twitter.com/tigerdrugok/status/473464327396421632,tigerdrugok,Zostavax is a #vaccine used for adults 50 years of age or older to prevent #Shingles. We offer this for just $200! Call and ask us about...,7.1620064,http://twitter.com/TigerDrugOK/status/473464327396421632,http://twitter.com/tigerdrugok
06/02/14,http://twitter.com/selectyourroof/status/473464654732460033,selectyourroof,"To learn more about purchasing a new roof, visit our Google+ community to stay informed. http://t.co/84ahSL92kD #roofing #shingles",8.804065,http://twitter.com/SelectYourRoof/status/473464654732460033,http://twitter.com/selectyourroof
06/02/14,http://twitter.com/atlasroofing/status/473469097947451393,atlasroofing,"RT @SelectYourRoof: To learn more about purchasing a new roof, visit our Google+ community to stay informed. http://t.co/84ahSL92kD #roofin…",7.257855,http://twitter.com/AtlasRoofing/status/473469097947451393,http://twitter.com/atlasroofing
06/02/14,http://twitter.com/michaelmiller27/status/473471109728567298,michaelmiller27,"RT @SelectYourRoof: To learn more about purchasing a new roof, visit our Google+ community to stay informed. http://t.co/84ahSL92kD #roofin…",7.257855,http://twitter.com/MichaelMiller27/status/473471109728567298,http://twitter.com/michaelmiller27
06/02/14,http://twitter.com/selectyourroof/status/473479578057719808,selectyourroof,"Atlas Roofing Corp. offers shingles made with Scotchgard Protector, able to resist harmful algae. #roofing #shingles http://t.co/fd3GIxx9rK",8.268503,http://twitter.com/SelectYourRoof/status/473479578057719808,http://twitter.com/selectyourroof
06/02/14,http://twitter.com/sherriffgoslin/status/473477821290270720,dallosaurus,"RT @sherriffgoslin: Installing superior shingles is our tradition, and Art-Loc shingles are the result. #shingles #roofing http://t.co/MfJh…",7.195116,http://twitter.com/Dallosaurus/status/473481324616232960,http://twitter.com/dallosaurus
