firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/skintolivein/status/473135735466647554,skintolivein,Do you have a favourite app that helps you keep track of triggers or factors that exacerbate your #hives or chronic spontaneous #urticaria?,7.340934,http://twitter.com/skintolivein/status/473135735466647554,http://twitter.com/skintolivein
06/03/14,http://twitter.com/urticariahives/status/473626416831938560,urticariahives,"Natural Urticaria Relief: A simple, effective and permanent Urticaria (Hives) remedy. http://t.co/cwyJuDkWZB #Urticaria #Hives",7.655146,http://twitter.com/UrticariaHives/status/473626416831938560,http://twitter.com/urticariahives
06/04/14,http://twitter.com/urticariahives/status/473990627944701952,urticariahives,Get Rid of Hives: There is  a way of reversing the condition which causes Chronic Idiopathic... http://t.co/d5Ubi9ZbvM #Urticaria #Hives,7.5656376,http://twitter.com/UrticariaHives/status/473990627944701952,http://twitter.com/urticariahives
06/04/14,http://twitter.com/skintolivein/status/474204371153346560,skintolivein,We are looking forward to attending the #urticaria and #angioedema sessions  at #EAACI2014 congress &amp; tweeting about them!#letstalkaboutskin,7.137711,http://twitter.com/skintolivein/status/474204371153346560,http://twitter.com/skintolivein
06/05/14,http://twitter.com/monnalyssaa/status/474544079640854529,monnalyssaa,Pleaseeeeee go away!!!!! 😭😭😭😭😩😩😩😩😩 #urticaria http://t.co/INPF8cQz7X,8.777828,http://twitter.com/MonnalyssaA/status/474544079640854529,http://twitter.com/monnalyssaa
06/05/14,http://twitter.com/skintolivein/status/474562608369242112,skintolivein,Beauty is not in the face; beauty is a light in the heart. - Kahlil Gibran #hives #urticaria,7.633844,http://twitter.com/skintolivein/status/474562608369242112,http://twitter.com/skintolivein
06/06/14,http://twitter.com/urticariahives/status/474718854388518913,urticariahives,Natural Urticaria Treatment: A comprehensice guide that assures rapid recovery from urticari... http://t.co/b4GgthXsxa #Urticaria #Hives,7.219263,http://twitter.com/UrticariaHives/status/474718854388518913,http://twitter.com/urticariahives
06/06/14,http://twitter.com/skintolivein/status/474906392936316929,skintolivein,The impact of Chronic Spontaneous #Urticaria is often much more than skin deep. http://t.co/OEaVsrqql4  #hives,7.9365788,http://twitter.com/skintolivein/status/474906392936316929,http://twitter.com/skintolivein
06/07/14,http://twitter.com/brandireasoner/status/475399158564524032,brandireasoner,"Oh the joys of chronic urticaria...
#chronic #urticaria #pain #burning #itching #scratching… http://t.co/nxOpes6jO4",7.4739156,http://twitter.com/BrandiReasoner/status/475399158564524032,http://twitter.com/brandireasoner
06/08/14,http://twitter.com/msvi0/status/475434508511367168,msvi0,Hurts like hell ... #acido lactico + #urticaria. Mal #Karma,8.0474205,http://twitter.com/MsVi0/status/475434508511367168,http://twitter.com/msvi0
06/08/14,http://twitter.com/skintolivein/status/475532833902329856,skintolivein,We are excited for the #Urticaria &amp; #angioedema poster discussion session tomorrow at 13.30 CET! Put it in your diaries! #EAACI2014,7.265555,http://twitter.com/skintolivein/status/475532833902329856,http://twitter.com/skintolivein
06/08/14,http://twitter.com/skintolivein/status/475593302138683392,skintolivein,"@Marta_Ferrer, co-chair of today’s #EAACI2014 #urticaria session, is an expert in understanding the challenges of CU",7.355894,http://twitter.com/skintolivein/status/475593302138683392,http://twitter.com/skintolivein
06/08/14,http://twitter.com/skintolivein/status/475669067849023489,skintolivein,#Didyouknow the co-chair of today’s #EAACI2004 #urticaria session is also presenting at EAACI #skin #allergy meeting later this year,7.1097045,http://twitter.com/skintolivein/status/475669067849023489,http://twitter.com/skintolivein
