firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/02/14,http://twitter.com/nomnomrecovery/status/473423339856605184,nomnomrecovery,#Morningsnack is warermelon and two rice cakes! #anorexia #anorexianervosa #anorexiarecovery… http://t.co/6Pv2cJGWus,7.367317,http://twitter.com/nomnomrecovery/status/473423339856605184,http://twitter.com/nomnomrecovery
06/02/14,http://twitter.com/sara_eaglesham/status/473529732173422592,sara_eaglesham,2 years officially in #recovery from #anorexianervosa #hardworkpaysoff #worthit #chooselife @EJWoolf @beatED @ABC_Charity @EatDisorderAwar,7.1539316,http://twitter.com/Sara_Eaglesham/status/473529732173422592,http://twitter.com/sara_eaglesham
06/03/14,http://twitter.com/carlosgonz8/status/473946439962214401,carlosgonz8,"#NP #AnorexiaNervosa #TheShining #Metal – The Shining by Anorexia Nervosa, from #SoundHound http://t.co/vTO5CsbqYB",7.5656376,http://twitter.com/CarlosGonz8/status/473946439962214401,http://twitter.com/carlosgonz8
06/04/14,http://twitter.com/kpmfineart/status/474064043154886656,kpmfineart,An Insight into #AnorexiaNervosa - #eatingdisorders #eatingdisordertreatment #eatingdisorderrecovery http://t.co/TLWEbNcOsS,7.435961,http://twitter.com/KPMfineart/status/474064043154886656,http://twitter.com/kpmfineart
06/04/14,http://twitter.com/lunarteddy/status/474178684195463168,lunarteddy,@scarletmonahan AW! I've put on a bit since hospital! 1960s asylum. Certainly an education. #AnorexiaNervosa,7.7961173,http://twitter.com/Lunarteddy/status/474178684195463168,http://twitter.com/lunarteddy
06/05/14,http://twitter.com/gabrieleguerra_/status/474502779398914048,gabrieleguerra_,"By imperfectlyxo on tumblr.

#recovery #realrecovery #anorexiarecovery #anorexia #anorexianervosa… http://t.co/fMfjC39ixX",7.4356127,http://twitter.com/GabrieleGuerra_/status/474502779398914048,http://twitter.com/gabrieleguerra_
06/06/14,http://twitter.com/quoteninstagram/status/474941178497216512,quoteninstagram,New #quote : #quote #inspiration #motivation #recovery #mental #illness #struggle #anorexianervosa #anorexia #ed... http://t.co/HVeybpGml0,7.4870315,http://twitter.com/QuotenInstagram/status/474941178497216512,http://twitter.com/quoteninstagram
06/07/14,http://twitter.com/nomnomrecovery/status/475200481674153984,nomnomrecovery,Will someone care? #anorexia #anorexianervosa,7.960349,http://twitter.com/nomnomrecovery/status/475200481674153984,http://twitter.com/nomnomrecovery
06/07/14,http://twitter.com/dreaminskinny/status/475258783984549888,dreaminskinny,Smoothie ft tiny thigh gap and collar bones #fat #ana #anorexia #smoothie #fattie #anorexianervosa #ed… http://t.co/BG2BzkPpS6,7.347987,http://twitter.com/Dreaminskinny/status/475258783984549888,http://twitter.com/dreaminskinny
06/07/14,http://twitter.com/dreaminskinny/status/475279588411457536,dreaminskinny,I kept trying to stay positive but it's failing #ana #anorexia #ed #eatingdisorder #anorexianervosa… http://t.co/ScGJ0Fql5A,7.6026187,http://twitter.com/Dreaminskinny/status/475279588411457536,http://twitter.com/dreaminskinny
