firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/martagmsm/status/473004536429551616,martagmsm,domingo productivo 💪💪 #bdd,8.709222,http://twitter.com/martagmsm/status/473004536429551616,http://twitter.com/martagmsm
06/01/14,http://twitter.com/andreikagomez/status/473024100915757057,andreikagomez,#Bdd!,8.943299,http://twitter.com/andreikagomez/status/473024100915757057,http://twitter.com/andreikagomez
06/01/14,http://twitter.com/martatd1/status/473027895729086465,martatd1,#bdd,8.9409485,http://twitter.com/MartaTD1/status/473027895729086465,http://twitter.com/martatd1
06/01/14,http://twitter.com/esteefiwhite/status/473029461529485312,esteefiwhite,#bdd,8.894464,http://twitter.com/esteefiwhite/status/473029461529485312,http://twitter.com/esteefiwhite
06/01/14,http://twitter.com/belensanchezluk/status/473038834360672256,belensanchezluk,#Bdd! 💕,8.894464,http://twitter.com/belensanchezluk/status/473038834360672256,http://twitter.com/belensanchezluk
06/01/14,http://twitter.com/pmcclory/status/473040007553646592,pmcclory,Great talk from @nlisgo on #BDD including Git workflow with @TravisCI #DCY2014 http://t.co/AetRr4SLT0,8.057408,http://twitter.com/pmcclory/status/473040007553646592,http://twitter.com/pmcclory
06/01/14,http://twitter.com/drupalyorkshire/status/473041099863638016,drupalyorkshire,RT @pmcclory: Great talk from @nlisgo on #BDD including Git workflow with @TravisCI #DCY2014 http://t.co/AetRr4SLT0,7.045274,http://twitter.com/DrupalYorkshire/status/473041099863638016,http://twitter.com/drupalyorkshire
06/01/14,http://twitter.com/paulaamorales97/status/473041761766764544,paulaamorales97,#bdd,8.9409485,http://twitter.com/paulaamorales97/status/473041761766764544,http://twitter.com/paulaamorales97
06/01/14,http://twitter.com/nlisgo/status/473047453642797057,nlisgo,@everzet at #DCY2014 scrutinising the value that features bring to our clients businesses! #Behat #bdd #agile,10.852682,http://twitter.com/nlisgo/status/473047453642797057,http://twitter.com/nlisgo
06/01/14,http://twitter.com/pacodelgado7/status/473054517433753601,pacodelgado7,#bdd,8.943299,http://twitter.com/PacoDelgado7/status/473054517433753601,http://twitter.com/pacodelgado7
06/01/14,http://twitter.com/everzet/status/473054956904517632,everzet,RT @nlisgo: @everzet at #DCY2014 scrutinising the value that features bring to our clients businesses! #Behat #bdd #agile,10.015192,http://twitter.com/everzet/status/473054956904517632,http://twitter.com/everzet
06/01/14,http://twitter.com/josepiqueras13/status/473064293467189248,josepiqueras13,#bdd,8.843756,http://twitter.com/josepiqueras13/status/473064293467189248,http://twitter.com/josepiqueras13
06/01/14,http://twitter.com/feeezyf/status/473111029782966273,feeezyf,I don't think I've gone into work this drunk since I was 21. #help #bdd,8.210572,http://twitter.com/FeeezyF/status/473111029782966273,http://twitter.com/feeezyf
06/01/14,http://twitter.com/joeatsfood/status/473124632716132352,joeatsfood,It took me way too long to decide what to #wear today. #bdd #struggles,7.8572893,http://twitter.com/JoEatsFood/status/473124632716132352,http://twitter.com/joeatsfood
06/01/14,http://twitter.com/navbeats/status/473204125308436481,navbeats,Of ik los ga? #BDD http://t.co/3oa9y115D1,11.31737,http://twitter.com/NavBeats/status/473204125308436481,http://twitter.com/navbeats
06/02/14,http://twitter.com/tmoss864/status/473261265880506368,tmoss864,Watch me drive this car drunk...call me tha #BDD -BEST DRUNK DRIVER,8.12748,http://twitter.com/tmoss864/status/473261265880506368,http://twitter.com/tmoss864
06/02/14,http://twitter.com/juanma_9668/status/473331595852914688,juanma_9668,#bdd,8.947014,http://twitter.com/Juanma_9668/status/473331595852914688,http://twitter.com/juanma_9668
06/02/14,http://twitter.com/sergiocarrera4/status/473334589415780352,sergiocarrera4,#Bdd,8.907165,http://twitter.com/sergiocarrera4/status/473334589415780352,http://twitter.com/sergiocarrera4
06/02/14,http://twitter.com/ricardojj98/status/473342556127113216,ricardojj98,#Bdd,8.939471,http://twitter.com/RicardoJJ98/status/473342556127113216,http://twitter.com/ricardojj98
06/02/14,http://twitter.com/andreikagomez/status/473343278587596800,andreikagomez,#Bdd!,8.922359,http://twitter.com/andreikagomez/status/473343278587596800,http://twitter.com/andreikagomez
06/02/14,http://twitter.com/noeliaxuliita/status/473345342331965440,noeliaxuliita,#Bdd,8.94125,http://twitter.com/NoeliaXuliita/status/473345342331965440,http://twitter.com/noeliaxuliita
06/02/14,http://twitter.com/vvllrr/status/473345482748854272,vvllrr,Me duele to'😖 #Bdd,8.947014,http://twitter.com/VVLLRR/status/473345482748854272,http://twitter.com/vvllrr
06/02/14,http://twitter.com/dxrevisionwatch/status/473374156705521664,dxrevisionwatch,"Mayou, ""ICD-11 should attempt a more logical and consistent revision."" #SSD #ICD11 #BDD",6.994125,http://twitter.com/dxrevisionwatch/status/473374156705521664,http://twitter.com/dxrevisionwatch
06/02/14,http://twitter.com/shashikant86/status/473389576812503040,shashikant86,#Behat #BDD Weekly is out!#fp http://t.co/10s3MN5wxB Stories via @xBlackScorpx @_dcsg @lloydwatkin,7.0238533,http://twitter.com/Shashikant86/status/473389576812503040,http://twitter.com/shashikant86
06/02/14,http://twitter.com/bugbuster_inc/status/473396244728266752,bugbuster_inc,"Use scenario extensions to login, write custom code or blacklist elements. More info: http://t.co/0WjXYPWxXt #web #softwaretesting #BDD",8.142325,http://twitter.com/BugBuster_Inc/status/473396244728266752,http://twitter.com/bugbuster_inc
06/02/14,http://twitter.com/sciencepark_ch/status/473397338946678784,sciencepark_ch,"RT @BugBuster_Inc: Use scenario extensions to login, write custom code or blacklist elements. More info: http://t.co/0WjXYPWxXt #web #softw…",7.1146717,http://twitter.com/SciencePark_ch/status/473397338946678784,http://twitter.com/sciencepark_ch
06/02/14,http://twitter.com/shashikant86/status/473405706792861696,shashikant86,#Cucumber #BDD Times is out! #fp http://t.co/5Kr07vl1i8 Stories via @kickstartac @patomontedura,7.2626123,http://twitter.com/Shashikant86/status/473405706792861696,http://twitter.com/shashikant86
06/02/14,http://twitter.com/solsachella/status/473412545894961152,soooljs,#bdd,8.923678,http://twitter.com/SolSachella/status/473412545894961152,http://twitter.com/soooljs
06/02/14,http://twitter.com/kleec93/status/473483440948805632,kleec93,can't wait until this weekend. #bdd 👍,8.713195,http://twitter.com/kleec93/status/473483440948805632,http://twitter.com/kleec93
06/02/14,http://twitter.com/consulting_room/status/473500050203500544,consulting_room,NEWS: Brazilian man undergoes plastic surgery to look Korean! #BodyImage #BDD http://t.co/Fv94FLESX7,11.51928,http://twitter.com/Consulting_Room/status/473500050203500544,http://twitter.com/consulting_room
06/02/14,http://twitter.com/revcirujanospla/status/473507044776235010,revcirujanospla,RT @Consulting_Room: NEWS: Brazilian man undergoes plastic surgery to look Korean! #BodyImage #BDD http://t.co/Fv94FLESX7,7.450548,http://twitter.com/revcirujanospla/status/473507044776235010,http://twitter.com/revcirujanospla
06/02/14,http://twitter.com/jeffreygoodreq/status/473519352072142850,jeffreygoodreq,All About #BDD is out! http://t.co/8LjA9uHXiN Stories via @wakaleo @PapaChrisMatts @NativeWired,10.56074,http://twitter.com/JeffreyGoodReq/status/473519352072142850,http://twitter.com/jeffreygoodreq
06/02/14,http://twitter.com/bdd_anorexia/status/473551250860941312,bdd_anorexia,"""Extreme body image in media impacts males too."" http://t.co/qPWjpcKM4y #malebodyimage #BDD #happymonday",8.769867,http://twitter.com/BDD_anorexia/status/473551250860941312,http://twitter.com/bdd_anorexia
06/02/14,http://twitter.com/ricardofrdrc/status/473561230981222400,ricardofrdrc,#CWISoftware #CWITestTalks #BDD,7.712768,http://twitter.com/ricardofrdrc/status/473561230981222400,http://twitter.com/ricardofrdrc
06/03/14,http://twitter.com/falkonpaige777/status/473665318091358208,falkonpaige777,I fell in love with the exactly perfect person at exactly the wrong time. #afewmoremonthswouldbefine #bdd,7.7126665,http://twitter.com/falkonpaige777/status/473665318091358208,http://twitter.com/falkonpaige777
06/03/14,http://twitter.com/laurandd_/status/473689382025961472,laurandd_,#Bdd 😉,8.907165,http://twitter.com/Laurandd_/status/473689382025961472,http://twitter.com/laurandd_
06/03/14,http://twitter.com/sergiomj7/status/473694198022295553,sergiomj7,#Bdd,8.945196,http://twitter.com/SergioMJ7/status/473694198022295553,http://twitter.com/sergiomj7
06/03/14,http://twitter.com/looreena28/status/473697460226105344,looreena28,#Bdd,8.922359,http://twitter.com/Looreena28/status/473697460226105344,http://twitter.com/looreena28
06/03/14,http://twitter.com/aangeela99/status/473710728239521792,aangeela99,#Me #Martes #Bdd #instaphoto #instamoment #instainsta #instalike #NosVamos #GoGoGo http://t.co/JtOwFPMOHs,7.07413,http://twitter.com/aangeela99/status/473710728239521792,http://twitter.com/aangeela99
06/03/14,http://twitter.com/_erikatortosa/status/473724393152315393,_erikatortosa,#BDD :))),8.948563,http://twitter.com/_erikatortosa/status/473724393152315393,http://twitter.com/_erikatortosa
06/03/14,http://twitter.com/jaxenter/status/473722257681154048,herrwieger,RT @JAXenter: Behavior-driven Development mit #JBehave: Interview mit Mauro Talevi http://t.co/9iNeVPFwze #BDD,7.0744944,http://twitter.com/herrwieger/status/473745902512123904,http://twitter.com/herrwieger
06/03/14,http://twitter.com/luuboss/status/473756090933338112,luuboss,13D #QuinceAilen. #bdd,7.980952,http://twitter.com/LuuBoss/status/473756090933338112,http://twitter.com/luuboss
06/03/14,http://twitter.com/rociocaleta18/status/473771351258705920,rociocaleta18,#Bdd,8.929784,http://twitter.com/rociocaleta18/status/473771351258705920,http://twitter.com/rociocaleta18
06/03/14,http://twitter.com/tamyacostaa/status/473774470390628352,tamyacostaa,#Bdd,8.948563,http://twitter.com/TamyAcostaa/status/473774470390628352,http://twitter.com/tamyacostaa
06/03/14,http://twitter.com/recoverclinic/status/473780644292874240,recoverclinic,People with #BDD have persistent negative thoughts about one or several parts of their body.,7.8232517,http://twitter.com/RecoverClinic/status/473780644292874240,http://twitter.com/recoverclinic
06/03/14,http://twitter.com/katrina_barbie1/status/473821721028726784,katrina_barbie1,Well done #BDD for #Icc &amp; #PhoenixFair performances :),7.2073126,http://twitter.com/katrina_Barbie1/status/473821721028726784,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473822294448807937,katrina_barbie1,The #BDD performing @ Dbn city hall for @ZeeTV show this weekend . #arjun @rithvik_RD #shivani #raghu #KT @piyushsahdav,6.711885,http://twitter.com/katrina_Barbie1/status/473822294448807937,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473822621268975616,katrina_barbie1,The #BombayDreamDances #BDD performing @ZeeTV this weekend!!!! See you there,7.595219,http://twitter.com/katrina_Barbie1/status/473822621268975616,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473822977424097280,katrina_barbie1,The #BDD @ #ICCDbn for serisha sweet 16 http://t.co/wXC8eQmP8O,7.640972,http://twitter.com/katrina_Barbie1/status/473822977424097280,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473823122756763648,katrina_barbie1,The #BDD with the birthday girls http://t.co/NN6bdEWvMf,8.945196,http://twitter.com/katrina_Barbie1/status/473823122756763648,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473823309117669376,katrina_barbie1,Another one #BDD @ #ICCDbn http://t.co/2flbCrGhXf,8.11234,http://twitter.com/katrina_Barbie1/status/473823309117669376,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473823558037028865,katrina_barbie1,The #BDD @ the #PhoenixFair with the #bollywoodShowband #primeslot on sat. Rocking performance http://t.co/SSYwQ9oz3w,7.2482076,http://twitter.com/katrina_Barbie1/status/473823558037028865,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473823997134901248,katrina_barbie1,The talented #BDD  backstage at the #PhoenixFair http://t.co/T4EyYtHCkv,7.966929,http://twitter.com/katrina_Barbie1/status/473823997134901248,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473824266480136192,katrina_barbie1,The #BDD meet #sorisha &amp; #vivian backstage at the #PhoenixFair http://t.co/lXNY53dSra,7.1215353,http://twitter.com/katrina_Barbie1/status/473824266480136192,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473824457568419840,katrina_barbie1,The #BDD chilling :) http://t.co/ZeLOW4YqAe,8.13123,http://twitter.com/katrina_Barbie1/status/473824457568419840,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/katrina_barbie1/status/473824722116177921,katrina_barbie1,Catch the #BDD performing @ZeeTV show this weekend. With the @ZeeTV stars. @rithvik_RD @piyushsahdav #shivani #raghu,6.7022843,http://twitter.com/katrina_Barbie1/status/473824722116177921,http://twitter.com/katrina_barbie1
06/03/14,http://twitter.com/beirut_life/status/473826548475502594,beirut_life,"gracehajjar : ""View from the rooftop of #BDD building #outdoor #gym #beirut #lebanon"" http://t.co/BvTCGsAbmj #beirut",7.20177,http://twitter.com/beirut_life/status/473826548475502594,http://twitter.com/beirut_life
06/03/14,http://twitter.com/silverpagesca/status/473831677152620545,silverpagesca,Questions Families Need To Ask About Older Drivers #seniors #elderly #BDD http://t.co/UX9fTArM1E,8.532499,http://twitter.com/SilverPagesCa/status/473831677152620545,http://twitter.com/silverpagesca
06/03/14,http://twitter.com/carekeepersinc/status/473832594304688128,carekeepersinc,RT @SilverPagesCa: Questions Families Need To Ask About Older Drivers #seniors #elderly #BDD http://t.co/UX9fTArM1E,7.4187703,http://twitter.com/CareKeepersInc/status/473832594304688128,http://twitter.com/carekeepersinc
06/03/14,http://twitter.com/onetimemadajb/status/473843456365035520,onetimemadajb,I want it Now now nooooooow!! 💜😍 #BELIEVEDANCEDVD #BDD #believe #movie #believedancers @lukebroadlick… http://t.co/BTmaCcQeuk,8.015148,http://twitter.com/OneTimeMadaJB/status/473843456365035520,http://twitter.com/onetimemadajb
06/03/14,http://twitter.com/bearchikk/status/473844032935051264,bearchikk,I'm fucking pissed. I want to love my body and I can't. #bdd #pissedoff,8.187486,http://twitter.com/bearchikk/status/473844032935051264,http://twitter.com/bearchikk
06/03/14,http://twitter.com/jaxenter/status/473833436743213056,a_bischof,RT @JAXenter: Interview: Behavior-driven Development mit #JBehave http://t.co/9iNeVPFwze #BDD,7.307692,http://twitter.com/A_Bischof/status/473867496446246913,http://twitter.com/a_bischof
06/03/14,http://twitter.com/dxrevisionwatch/status/473874874256351234,dxrevisionwatch,Embargoed Goldberg editorial from June 2013 on #BDS and ICD-11-PHC now available (and put into context) http://t.co/oJygmVkqDg #BDD #BSS,6.7497487,http://twitter.com/dxrevisionwatch/status/473874874256351234,http://twitter.com/dxrevisionwatch
06/03/14,http://twitter.com/testrightnl/status/473885566292209664,testrightnl,A night of exploring #cucumber #Ruby and #bdd,7.9543867,http://twitter.com/testrightnl/status/473885566292209664,http://twitter.com/testrightnl
06/03/14,http://twitter.com/caughtexception/status/473912015342166016,caughtexception,"#BDD test scenarios map 1:1 to user stories. Both answer the question: ""are there value-adding requirements, and are they met?"" #drupalcon",6.8843,http://twitter.com/caughtexception/status/473912015342166016,http://twitter.com/caughtexception
06/03/14,http://twitter.com/caughtexception/status/473914520436768768,caughtexception,Where to start with test coverage: What has the most business value? Which features are mission critical? #drupalcon #bdd #tdd,6.9668446,http://twitter.com/caughtexception/status/473914520436768768,http://twitter.com/caughtexception
06/03/14,http://twitter.com/caughtexception/status/473915162840539136,caughtexception,"If product writes human-readable test, and developers write machine-readable tests, vital conversation suddenly occurs. #bdd #drupalcon",6.821586,http://twitter.com/caughtexception/status/473915162840539136,http://twitter.com/caughtexception
06/03/14,http://twitter.com/caughtexception/status/473917425243521024,caughtexception,"You could count lines of code all day. If they don't map to #UX, if they don't add value, by definition they don't matter. #bdd #drupalcon",7.426955,http://twitter.com/caughtexception/status/473917425243521024,http://twitter.com/caughtexception
06/03/14,http://twitter.com/kevinquillen/status/473919973732007936,kevinquillen,#Drupal users - curious about #behat #BDD w Drupal integration? I have a post for you detailing this available this week.,10.927812,http://twitter.com/kevinquillen/status/473919973732007936,http://twitter.com/kevinquillen
06/03/14,http://twitter.com/drupalnation/status/473920617025384448,drupalnation,RT @kevinquillen: #Drupal users - curious about #behat #BDD w Drupal integration? I have a post for you detailing this available this week.,6.789598,http://twitter.com/drupalnation/status/473920617025384448,http://twitter.com/drupalnation
06/03/14,http://twitter.com/ireddick/status/473941023232503808,ireddick,"@somesheep @neil_killick what are your scenarios? Empty, partially full, exactly full, overflowing? How do they inform the outcome? :D #bdd",6.554635,http://twitter.com/ireddick/status/473941023232503808,http://twitter.com/ireddick
