firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/degadegadegade/status/472999175874166785,degadegadegade,#anxiety #depression #PTSD #crohns #fibromyalgia #bipolar #lupus #Cancer #autism #epilepsy #HeartDisease #arthritis http://t.co/rQzeM44i26,9.369716,http://twitter.com/degadegadegade/status/472999175874166785,http://twitter.com/degadegadegade
06/01/14,http://twitter.com/jemmarieneri/status/472999453582843904,jemmarieneri,Abrupt change of mood. #bipolar,8.375803,http://twitter.com/jemmarieneri/status/472999453582843904,http://twitter.com/jemmarieneri
06/01/14,http://twitter.com/ell_mnop/status/473000862521237504,ell_mnop,A dropped call after a really important question is asked 😑 I almost lost it forreal but I'm good now 😁 #bipolar sorry 😔,7.8019905,http://twitter.com/Ell_MNOP/status/473000862521237504,http://twitter.com/ell_mnop
06/01/14,http://twitter.com/katcopley/status/473001484549128192,katcopley,Hi to all my new followers my blog is at: http://t.co/y2LixxrJgc if you fancy a read #mentalhealth #bipolar #stigma #anxiety,7.5403247,http://twitter.com/Katcopley/status/473001484549128192,http://twitter.com/katcopley
06/01/14,http://twitter.com/winonemil/status/473001700060852224,winonemil,RT @degadegadegade: #anxiety #depression #PTSD #crohns #fibromyalgia #bipolar #lupus #Cancer #autism #epilepsy #HeartDisease #arthritis htt…,6.5801706,http://twitter.com/WinOneMil/status/473001700060852224,http://twitter.com/winonemil
06/01/14,http://twitter.com/bryantheoutcast/status/473002835802476546,bryantheoutcast,@_kimmmsss yes just grumpy sorry #bipolar,8.665802,http://twitter.com/BryanTheOutCast/status/473002835802476546,http://twitter.com/bryantheoutcast
06/01/14,http://twitter.com/dodgingsuicide/status/473006950997696512,dodgingsuicide,"Hearing Jesus loves you in church is good

Hearing Jesus loves you in a Mexican Prison is not good #bipolar",8.6469755,http://twitter.com/Dodgingsuicide/status/473006950997696512,http://twitter.com/dodgingsuicide
06/01/14,http://twitter.com/littlemshaldol/status/473007485096558593,littlemshaldol,"RT @Dodgingsuicide: Hearing Jesus loves you in church is good

Hearing Jesus loves you in a Mexican Prison is not good #bipolar",7.5363035,http://twitter.com/LittleMsHaldol/status/473007485096558593,http://twitter.com/littlemshaldol
06/01/14,http://twitter.com/dodgingsuicide/status/473007964366700545,dodgingsuicide,"If the world were a logical place, surely it would be the men that ride horses side-saddle #bipolar",9.0758505,http://twitter.com/Dodgingsuicide/status/473007964366700545,http://twitter.com/dodgingsuicide
06/01/14,http://twitter.com/mhtuz/status/473008832759603201,mhtuz,#MentalHealth Heroes: My Kids &amp; #MentalHealthMonth http://t.co/JqPcQGhzVf #mhsm #bipolar #depression #emotion http://t.co/TQtcC6djyy,7.9728975,http://twitter.com/MHTuz/status/473008832759603201,http://twitter.com/mhtuz
06/01/14,http://twitter.com/suluama_/status/473013077995057155,suluama_,Being super #bipolar rn 😒,8.714405,http://twitter.com/suluama_/status/473013077995057155,http://twitter.com/suluama_
06/01/14,http://twitter.com/berkley_tyler/status/473016579224248320,berkley_tyler,"Kids should come with a warning that says: ""Caution can make you #Bipolar""    http://t.co/OTzMrD7KSf",8.098702,http://twitter.com/Berkley_Tyler/status/473016579224248320,http://twitter.com/berkley_tyler
06/01/14,http://twitter.com/bigfolkzz/status/473017278947024896,bigfolkzz,"The thing is, I can be in a great mood and then in an instant I won't speak. #bipolar #sorrycantcontrolit #ohwell",7.484775,http://twitter.com/BigFolkzz/status/473017278947024896,http://twitter.com/bigfolkzz
06/01/14,http://twitter.com/weirdsid/status/473018658474971136,weirdsid,A decent night's sleep last night. So far I have usable energy. I hope it lasts. #bipolar,11.146905,http://twitter.com/WeirdSid/status/473018658474971136,http://twitter.com/weirdsid
06/01/14,http://twitter.com/jennfi/status/473023200314785792,jennfi,What a difference a day makes ....#bipolar,8.70045,http://twitter.com/jennfi/status/473023200314785792,http://twitter.com/jennfi
06/01/14,http://twitter.com/neurobooks/status/473026903796752384,neurobooks,#Bipolar can often lead to an astonishing workforce when seized by mania http://t.co/gHJmiq2cy9,10.875195,http://twitter.com/NeuroBooks/status/473026903796752384,http://twitter.com/neurobooks
06/01/14,http://twitter.com/wrmarchandmd/status/473026970926997505,wrmarchandmd,Depression and Bipolar Disorder:  Your Guide to Recovery.  #depression #bipolar #mindfulness http://t.co/1cIemUQPPO http://t.co/XY8qULnarP,7.628394,http://twitter.com/WRMarchandMD/status/473026970926997505,http://twitter.com/wrmarchandmd
06/01/14,http://twitter.com/bethlynne1/status/473033567652827136,bethlynne1,#BIPOLAR MAMA is now available on #Smashwords http://t.co/BZr3d7spBC #DarkComedy #Drama #GreatReading For any mother with a daughter.,7.2162004,http://twitter.com/BethLynne1/status/473033567652827136,http://twitter.com/bethlynne1
06/01/14,http://twitter.com/claremackay1975/status/473034934215774208,claremackay1975,#bipolar #disorder #manic #depressive #tigger #eeyore #mentalhealth #ocd #live #life #love #laugh #bounce http://t.co/tAYXh628aR,8.345533,http://twitter.com/ClareMackay1975/status/473034934215774208,http://twitter.com/claremackay1975
06/01/14,http://twitter.com/quaytherapy/status/473037614002745345,quaytherapy,RT @ClareMackay1975: #bipolar #disorder #manic #depressive #tigger #eeyore #mentalhealth #ocd #live #life #love #laugh #bounce http://t.co/…,6.5077915,http://twitter.com/QuayTherapy/status/473037614002745345,http://twitter.com/quaytherapy
06/01/14,http://twitter.com/currentsradio/status/473043397255917568,godspeedkid,"#Gamblers Wanted!

#Gambling Problem?

#bipolar http://t.co/SHQO850ilL",7.432,http://twitter.com/currentsradio/status/473043397255917568,http://twitter.com/godspeedkid
06/01/14,http://twitter.com/mhtuz/status/473053951974064128,mhtuz,What Having #Depression Has Taught Me http://t.co/qfSEu32UTg #MentalHealth #treatment #mhsm #mhchat #bipolar #anxiety,7.2076993,http://twitter.com/MHTuz/status/473053951974064128,http://twitter.com/mhtuz
06/01/14,http://twitter.com/maumausdaughter/status/473055290221686784,maumausdaughter,Hugs my love ((((()))))RT @SitawaWafula: But @maumausdaughter makes me happy...even my #bipolar is smiling (: #ThisBipolarLife,7.2562113,http://twitter.com/maumausdaughter/status/473055290221686784,http://twitter.com/maumausdaughter
06/01/14,http://twitter.com/sitawawafula/status/473055790186905600,nasewangari,RT @SitawaWafula: If I wasn't tweeting (aimlessly rants) I wont be self destructing...sharing musings is therapy when my #bipolar takes ove…,11.935767,http://twitter.com/Nasewangari/status/473056414731350016,http://twitter.com/nasewangari
06/01/14,http://twitter.com/bzhercules/status/473056755715698688,bzhercules,#BIPOLAR MAMA is now available on #Smashwords http://t.co/ObVpIbAlbs #DarkComedy For any mother with a daughter.,7.6030755,http://twitter.com/BZHercules/status/473056755715698688,http://twitter.com/bzhercules
06/01/14,http://twitter.com/theprincessteee/status/473057564813324288,theprincessteee,Sometimes I get so angry then I start crying then I relax and then I get happy. I think something's wrong with me. #bipolar ?,7.3322806,http://twitter.com/theprincessteee/status/473057564813324288,http://twitter.com/theprincessteee
06/01/14,http://twitter.com/battlebipolar/status/473057824692797440,battlebipolar,Bipolar Diet: How to Manage Mood Swings with Balanced Nutrition - Battle #Bipolar http://t.co/vRxpq188HI,8.840038,http://twitter.com/battlebipolar/status/473057824692797440,http://twitter.com/battlebipolar
06/01/14,http://twitter.com/sitawawafula/status/473057259468369921,makosewe,RT @SitawaWafula: ...at least i kinda left bed and brushed my teeth so i am good by #bipolar standards #ThisBipolarLife,11.371648,http://twitter.com/Makosewe/status/473058625918083073,http://twitter.com/makosewe
06/01/14,http://twitter.com/makosewe/status/473058727671894016,makosewe,RT @SitawaWafula: If I wasn't tweeting (aimlessly rants) I wont be self destructing...sharing musings is therapy when my #bipolar takes ove…,10.185064,http://twitter.com/Makosewe/status/473058727671894016,http://twitter.com/makosewe
06/01/14,http://twitter.com/jeanchris_obira/status/473059199468179457,jeanchris_obira,"@SitawaWafula just for taking away my naivety (and other people like me) if you don't mind,make us understand what #bipolar is ?",7.2741494,http://twitter.com/Jeanchris_Obira/status/473059199468179457,http://twitter.com/jeanchris_obira
06/01/14,http://twitter.com/salim_garwan/status/473061125530349568,salim_garwan,RT @SitawaWafula: ...at least i kinda left bed and brushed my teeth so i am good by #bipolar standards #ThisBipolarLife,7.263075,http://twitter.com/salim_garwan/status/473061125530349568,http://twitter.com/salim_garwan
06/01/14,http://twitter.com/hiv71/status/473063184547713024,hiv71,#Sony #fabulous #best #gay #HIV #Pml #bipolar :-D http://t.co/by1j9tVy0H,7.144442,http://twitter.com/Hiv71/status/473063184547713024,http://twitter.com/hiv71
06/01/14,http://twitter.com/jewels5ever/status/473063210971430914,jewels5ever,"Man, I gotta tell you, today I felt depressed as shizz AGAIN. I'm starting to think I have #Bipolar but then again, most love the #ride",7.5343213,http://twitter.com/Jewels5ever/status/473063210971430914,http://twitter.com/jewels5ever
