firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/immuredlion/status/473012336991928320,immuredlion,"Debunking the absolute abundance, infinity even, of myths &amp; misconceptions about #eatingdisorders #anorexia #bulimia http://t.co/rhRxVzcEA0",7.045181,http://twitter.com/ImmuredLion/status/473012336991928320,http://twitter.com/immuredlion
06/01/14,http://twitter.com/scenesfromrehab/status/473012628542205952,bmthbot,RT @scenesfromrehab: #suicidal #ana #selfharmmm #bulimia #sue #dead #hurt #dark #lies #bmth #alone #pain #anorexia #worthless #suicid... ht…,6.7083073,http://twitter.com/bmthbot/status/473023406800392192,http://twitter.com/bmthbot
06/01/14,http://twitter.com/suicidally_thin/status/473044704771469312,suicidally_thin,#thinspo #thinspire #skinny #thin #eatingdisorder #anorexia #bulimia #mia #ana #motivation http://t.co/Q7gQoHJK5s,9.91339,http://twitter.com/suicidally_thin/status/473044704771469312,http://twitter.com/suicidally_thin
06/01/14,http://twitter.com/dauntless_demi/status/473044879858475008,dauntless_demi,RT @suicidally_thin: #thinspo #thinspire #skinny #thin #eatingdisorder #anorexia #bulimia #mia #ana #motivation http://t.co/Q7gQoHJK5s,6.8016424,http://twitter.com/dauntless_demi/status/473044879858475008,http://twitter.com/dauntless_demi
06/01/14,http://twitter.com/hcarexpert/status/473061145012887552,hcarexpert,Addictions treatments &amp; Rehab in private clinics in Marbella http://t.co/hxLgcQruoI #bulimia #alcoholism #smoking #g… http://t.co/yNG1Nq1kVm,7.090076,http://twitter.com/HCarexpert/status/473061145012887552,http://twitter.com/hcarexpert
06/01/14,http://twitter.com/datingfll/status/473067571034750976,datingfll,http://t.co/3Oul0BW40o #mentalhealth #recovery #anorexia #bulimia #bingeeating #psychology #familytherapy #eati... http://t.co/PXR73tr9fp,8.31095,http://twitter.com/DatingFLL/status/473067571034750976,http://twitter.com/datingfll
06/01/14,http://twitter.com/osnsmom/status/473075608193224704,osnsmom,Stigma Fighters: Isabelle B. http://t.co/6rG7yVLPUT #LGBT #Bulimia #StigmaFighters #Brave This woman finds her sexual identity. BRAVE!,7.14031,http://twitter.com/osnsmom/status/473075608193224704,http://twitter.com/osnsmom
06/01/14,http://twitter.com/ryanwesty95/status/473100548150140928,ryanwesty95,Fuck diet and exercise. Lost 5 pounds in 2 days from being sick... #Bulimia 🙈,8.065685,http://twitter.com/RyanWesty95/status/473100548150140928,http://twitter.com/ryanwesty95
06/01/14,http://twitter.com/efrinatalis18/status/473150268214108160,efrinatalis18,Photo: #ana #mia #secret_society123 #anorexia #bulimia #selfharm #thinspo #skinny http://t.co/aXUac5UyJv,7.1483374,http://twitter.com/efrinatalis18/status/473150268214108160,http://twitter.com/efrinatalis18
06/01/14,http://twitter.com/bhedspeer2peer/status/473154656408178688,bhedspeer2peer,Do you experience #Anorexia #Bulimia or #BingeEating and live in #BrightonandHove? We offer monthly #PeerSupport groups starting in July.,7.7592764,http://twitter.com/BHEDSPeer2Peer/status/473154656408178688,http://twitter.com/bhedspeer2peer
06/01/14,http://twitter.com/mindfultherapy4/status/473157038215008257,mindfultherapy4,Online Therapy for #BULIMIA via Skype. Watch these videos and then contact me to schedule a session.http://t.co/9kOgTjbKrZ. Please RT!,7.848587,http://twitter.com/MindfulTherapy4/status/473157038215008257,http://twitter.com/mindfultherapy4
06/01/14,http://twitter.com/mgedt/status/473158361538904064,mgedt,Do you experience #Anorexia #Bulimia or #BingeEating and live in #BrightonandHove? @BHEDSPeer2Peer offer monthly #PeerSupport groups.,11.091257,http://twitter.com/MGEDT/status/473158361538904064,http://twitter.com/mgedt
06/01/14,http://twitter.com/sam_thomas86/status/473158362444881920,sam_thomas86,Do you experience #Anorexia #Bulimia or #BingeEating and live in #BrightonandHove? @BHEDSPeer2Peer offer monthly #PeerSupport groups.,6.783198,http://twitter.com/sam_thomas86/status/473158362444881920,http://twitter.com/sam_thomas86
06/01/14,http://twitter.com/peachy83/status/473159525496029184,peachy83,RT @MGEDT: Do you experience #Anorexia #Bulimia or #BingeEating and live in #BrightonandHove? @BHEDSPeer2Peer offer monthly #PeerSupport gr…,6.635149,http://twitter.com/Peachy83/status/473159525496029184,http://twitter.com/peachy83
06/01/14,http://twitter.com/cassiemcloren/status/473165896631201792,pixelsmurmaid,RT @emomusicaddict: Here I'd to my ED brothers! #ED #Anorexia #Bulimia #EDNOS #AnaBrothers #MiaBrothers http://t.co/DIl7xkPuHJ,6.972421,http://twitter.com/CassieMcloren/status/473165896631201792,http://twitter.com/pixelsmurmaid
06/01/14,http://twitter.com/olivianilsson99/status/473197523532664832,olivianilsson99,This is hopefully going to be my last post. Bye everyone #dying #depressed #me #mia #bulimia #broken… http://t.co/UhiNTOeJyl,7.5760627,http://twitter.com/olivianilsson99/status/473197523532664832,http://twitter.com/olivianilsson99
06/01/14,http://twitter.com/webiteback/status/473213709054390273,webiteback,Celebrate any progress you make. You rock. #EatingDisorders #Recovery #EDNOS #Anorexia #Bulimia #BingeEatingDisorder http://t.co/ivYycucHrs,8.79703,http://twitter.com/WeBiteBack/status/473213709054390273,http://twitter.com/webiteback
06/01/14,http://twitter.com/pigstrough/status/473217392659951616,pigstrough,"1 June 🌸
 Late snack was orange sorbet 
#anorexia #bulimia #ana #recovering #edrecovery #depression #relapse #sel... http://t.co/cTFcGkSBt4",6.9851637,http://twitter.com/PigsTrough/status/473217392659951616,http://twitter.com/pigstrough
06/01/14,http://twitter.com/pigstrough/status/473217441443905536,pigstrough,You can call me fat...fat and ugly😒😭😖#food#fat#pig#cow#liseberg#ana#anorexia#mia#bulimia  I didn't up everything ... http://t.co/vYwjwGVu0k,7.2276306,http://twitter.com/PigsTrough/status/473217441443905536,http://twitter.com/pigstrough
06/01/14,http://twitter.com/mcmullos/status/473218396654690304,mcmullos,RT @WeBiteBack: Celebrate any progress you make. You rock. #EatingDisorders #Recovery #EDNOS #Anorexia #Bulimia #BingeEatingDisorder http:/…,6.9285827,http://twitter.com/Mcmullos/status/473218396654690304,http://twitter.com/mcmullos
06/01/14,http://twitter.com/littlefawnn/status/473229965530386432,littlefawnn,RT @WeBiteBack: Celebrate any progress you make. You rock. #EatingDisorders #Recovery #EDNOS #Anorexia #Bulimia #BingeEatingDisorder http:/…,6.9285827,http://twitter.com/littlefawnn/status/473229965530386432,http://twitter.com/littlefawnn
06/01/14,http://twitter.com/xxbloodyxmessxx/status/473238944893501440,xxbloodyxmessxx,"“@Prettyinthin: ""Purging isn't dangerous"" #binge #purge #bulimia http://t.co/buEOYfsdGI”this",9.640194,http://twitter.com/xxbloodyxmessxx/status/473238944893501440,http://twitter.com/xxbloodyxmessxx
06/01/14,http://twitter.com/wishing2bskinny/status/473239275879026688,wishing2bskinny,"RT @xxbloodyxmessxx: “@Prettyinthin: ""Purging isn't dangerous"" #binge #purge #bulimia http://t.co/buEOYfsdGI”this",7.083678,http://twitter.com/Wishing2bSkinny/status/473239275879026688,http://twitter.com/wishing2bskinny
06/01/14,http://twitter.com/marissavaldez21/status/473239646206296064,marissavaldez21,plz take my survey i am conducting for my school paper #bulimia #timeisrunningout #helpme #sunday http://t.co/7hd5XS3CaX,7.592522,http://twitter.com/MarissaValdez21/status/473239646206296064,http://twitter.com/marissavaldez21
06/01/14,http://twitter.com/fuckworld13/status/473240500548681729,fuckworld13,#bulimia #depressed #perfect http://t.co/2wzCDqfoGK,8.469324,http://twitter.com/FuckWorld13/status/473240500548681729,http://twitter.com/fuckworld13
06/01/14,http://twitter.com/miltonkeyn_es/status/473240966091243521,miltonkeyn_es,@miltonkeyn_es by travelashley_ Completato ✌️👌#researchreport #bulimia #eatingdisorders #college #lastassignment ... http://t.co/cehgrtF1BO,6.6745486,http://twitter.com/MiltonKeyn_es/status/473240966091243521,http://twitter.com/miltonkeyn_es
06/01/14,http://twitter.com/ninjabunni/status/473245988048478208,ninjabunni,"RT @xxbloodyxmessxx: “@Prettyinthin: ""Purging isn't dangerous"" #binge #purge #bulimia http://t.co/buEOYfsdGI”this",7.083678,http://twitter.com/ninjabunni/status/473245988048478208,http://twitter.com/ninjabunni
06/02/14,http://twitter.com/tlh_project/status/473273968372105217,tlh_project,You matter💕 #suicide #depression #anxiety #bulimia #anorexia #cutting #keepfighting #youmatter… http://t.co/UK6pzOcanY,6.9574194,http://twitter.com/TLH_Project/status/473273968372105217,http://twitter.com/tlh_project
06/02/14,http://twitter.com/belleaboo99/status/473292800092827648,belleaboo99,RT @suicidally_thin: #thinspo #thinspire #skinny #thin #eatingdisorder #anorexia #bulimia #mia #ana #motivation http://t.co/Q7gQoHJK5s,6.8016424,http://twitter.com/BelleaBoo99/status/473292800092827648,http://twitter.com/belleaboo99
04/28/14,http://twitter.com/suicidally_thin/status/460878680030707712,belleaboo99,RT @suicidally_thin: #thinspo #thinspire #skinny #thin #ana #mia #anorexia #bulimia #eatingdisorder http://t.co/EimvZKhinK,7.7785187,http://twitter.com/BelleaBoo99/status/473293220018135040,http://twitter.com/belleaboo99
06/02/14,http://twitter.com/4th_ed_relapse/status/473308550400180225,confessionsed,RT @4th_ed_relapse: Me all of the time. #anorexia #bulimia #anamia #eatingdisorder #ednos #depressed #notfine http://t.co/NWakitrrrW,7.0206785,http://twitter.com/ConfessionsEd/status/473332187589136384,http://twitter.com/confessionsed
06/02/14,http://twitter.com/olivianilsson99/status/473333383443931136,olivianilsson99,I woke up so I guess that I'm not dead #why #worthless #sue #suicide #ana #anorexia #mia #bulimia… http://t.co/9pI0diIqkU,7.2354593,http://twitter.com/olivianilsson99/status/473333383443931136,http://twitter.com/olivianilsson99
06/02/14,http://twitter.com/geronamaria/status/473344559758721025,geronamaria,Scary.. #girls #depression #anorexia #bulimia #anxiety #selfharm #you http://t.co/GMt1ptcTti,7.4362307,http://twitter.com/geronamaria/status/473344559758721025,http://twitter.com/geronamaria
06/02/14,http://twitter.com/immuredlion/status/473376002090217473,immuredlion,“Is it because you want to be on Britain’s Next Top Model?” Tackling #eatingdisordermyths #anorexia #bulimia http://t.co/hosFOlwU0H,7.1279716,http://twitter.com/ImmuredLion/status/473376002090217473,http://twitter.com/immuredlion
06/02/14,http://twitter.com/scenesfromrehab/status/473376964750086144,bmthbot,RT @scenesfromrehab: #suicidal #ana #selfharmmm #bulimia #sue #dead #hurt #dark #lies #bmth #alone #pain #anorexia #worthless #suicid... ht…,6.6384463,http://twitter.com/bmthbot/status/473379754465570816,http://twitter.com/bmthbot
06/02/14,http://twitter.com/theunimportant1/status/473392439000969216,theunimportant1,RT @suicidally_thin: #thinspo #thinspire #skinny #thin #eatingdisorder #anorexia #bulimia #mia #ana #motivation http://t.co/Q7gQoHJK5s,6.8016424,http://twitter.com/TheUnimportant1/status/473392439000969216,http://twitter.com/theunimportant1
06/02/14,http://twitter.com/recoverclinic/status/473433346568384512,recoverclinic,#Bulimia is manifested by obsessive thoughts &amp; compulsive behaviours around food. Many sufferers are trapped within a ‘binge-purge cycle’.,8.405358,http://twitter.com/RecoverClinic/status/473433346568384512,http://twitter.com/recoverclinic
06/02/14,http://twitter.com/juliemkerr/status/473453966937030657,juliemkerr,RT @RecoverClinic: #Bulimia is manifested by obsessive thoughts &amp; compulsive behaviours around food. Many sufferers are trapped within a ‘b…,6.575157,http://twitter.com/juliemkerr/status/473453966937030657,http://twitter.com/juliemkerr
06/02/14,http://twitter.com/remudaranch/status/473455955674673152,remudaranch,Being a GOOD person is what matters. #eatingdisorder #anorexia #bulimia #eatingdisorders http://t.co/wM4m5w5KdS,12.307447,http://twitter.com/RemudaRanch/status/473455955674673152,http://twitter.com/remudaranch
06/02/14,http://twitter.com/suicidally_thin/status/473456127368495104,suicidally_thin,#thinspo #thinspire #skinny #thin #ana #mia #anorexia #bulimia #eatingdisorder http://t.co/nHok5mNrH1,9.482465,http://twitter.com/suicidally_thin/status/473456127368495104,http://twitter.com/suicidally_thin
06/02/14,http://twitter.com/evil_cupcakes13/status/473471536381558784,evil_cupcakes13,RT @suicidally_thin: #thinspo #thinspire #skinny #thin #eatingdisorder #anorexia #bulimia #mia #ana #motivation http://t.co/Q7gQoHJK5s,6.8016424,http://twitter.com/Evil_cupcakes13/status/473471536381558784,http://twitter.com/evil_cupcakes13
06/02/14,http://twitter.com/aida_iyra/status/473485149510717442,aida_iyra,**warning** #anorexia #bulimia http://t.co/G1GknmMhXx,9.767062,http://twitter.com/Aida_Iyra/status/473485149510717442,http://twitter.com/aida_iyra
06/02/14,http://twitter.com/olivianilsson99/status/473490480873750529,olivianilsson99,#dying #depressed #sue #suicide #sorrynotsorry #hurt #heartbroken #why #worthless #mia #bulimia… http://t.co/uVE6atsBFe,7.288111,http://twitter.com/olivianilsson99/status/473490480873750529,http://twitter.com/olivianilsson99
06/02/14,http://twitter.com/thehopeline/status/473494016332681216,thehopeline,@olivianilsson99 #dying #depressed #sue #suicide #why #worthless #bulimia That is true. We are here for you. Anytime. http://t.co/sKmjqo7q6M,7.195346,http://twitter.com/thehopeline/status/473494016332681216,http://twitter.com/thehopeline
06/02/14,http://twitter.com/bree_pandaz/status/473494290698493952,bree_pandaz,"""Thin is pure, starvation is the cure.""
#bulimia #mia #bulimianervosa #purge #thin #skinny #wish #ed #follow",6.897252,http://twitter.com/bree_pandaz/status/473494290698493952,http://twitter.com/bree_pandaz
06/02/14,http://twitter.com/_fitnesscoach/status/473496957382447105,_fitnesscoach,Avoid dangerous dieting &amp; identify body image disorders: http://t.co/GeevIc9Krk  #bodyimage #disorders #bulimia #anorexia #selfworth,6.8312035,http://twitter.com/_FitnessCoach/status/473496957382447105,http://twitter.com/_fitnesscoach
06/02/14,http://twitter.com/anxietytherapy2/status/473506459784073217,anxietytherapy2,Online Therapy for #BULIMIA via Skype. Watch these videos and then contact me to schedule a session.http://t.co/owRDvC7mKw. Please RT!,7.8776417,http://twitter.com/AnxietyTherapy2/status/473506459784073217,http://twitter.com/anxietytherapy2
06/02/14,http://twitter.com/elainegavalas/status/473510957130715136,elainegavalas,@ZushkaBiros #Thanks #Mention #Yoga Helps #EatingDisorders #Anorexia #Bulimia #BingeEating http://t.co/AwMWoZyKXH #mentalhealth #ocd #binge,6.85606,http://twitter.com/ElaineGavalas/status/473510957130715136,http://twitter.com/elainegavalas
06/02/14,http://twitter.com/scarred_wrists_/status/473558900948889600,scarred_wrists_,"#replytweet anyone whos recovered from #bulimia , how long will it take me to get my period back?",7.586583,http://twitter.com/scarred_wrists_/status/473558900948889600,http://twitter.com/scarred_wrists_
06/02/14,http://twitter.com/fvckmyeverythin/status/473559509202661376,fvckmyeverythin,#depression #anorexia #thinspo #bulimia #selfharmproblems #cutter follow me,7.326844,http://twitter.com/fvckmyeverythin/status/473559509202661376,http://twitter.com/fvckmyeverythin
06/02/14,http://twitter.com/annasfriends/status/473562408238448640,annasfriends,Bulimia Test: Am I Bulimic? http://t.co/Wd49oNmgbR #EatingDisorders #Bulimia #MentalIllness #Women #Food,8.018498,http://twitter.com/ANNASFRIENDS/status/473562408238448640,http://twitter.com/annasfriends
06/02/14,http://twitter.com/julian39004726/status/473562608243453953,julian39004726,RT @ANNASFRIENDS: Bulimia Test: Am I Bulimic? http://t.co/Wd49oNmgbR #EatingDisorders #Bulimia #MentalIllness #Women #Food,6.952818,http://twitter.com/julian39004726/status/473562608243453953,http://twitter.com/julian39004726
06/02/14,http://twitter.com/suicidazs/status/473566288682688512,suicidazs,RT @suicidally_thin: #thinspo #thinspire #skinny #thin #eatingdisorder #anorexia #bulimia #mia #ana #motivation http://t.co/Q7gQoHJK5s,6.8016424,http://twitter.com/suicidazs/status/473566288682688512,http://twitter.com/suicidazs
