firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/02/14,http://twitter.com/dev_surae/status/473413199896014848,dev_surae,"@georgewatso @SamSeneviratne @M___Johnson nothing, just getting bored of being shotdown by a person not doing work #hypochondria #ThatsNotMe",7.5246463,http://twitter.com/Dev_Surae/status/473413199896014848,http://twitter.com/dev_surae
06/02/14,http://twitter.com/slipsterpot/status/473506552310431744,slipsterpot,"Though my teeth hurt I just said, ""man my foot hurts"". Is this the sign of a stroke? Welcome to the world of #hypochondria!",7.906607,http://twitter.com/Slipsterpot/status/473506552310431744,http://twitter.com/slipsterpot
06/02/14,http://twitter.com/brookebenedict/status/473544474522820608,brookebenedict,I either have a sinus infection or a brain tumor. #hypochondria,8.432114,http://twitter.com/BrookeBenedict/status/473544474522820608,http://twitter.com/brookebenedict
06/03/14,http://twitter.com/atthisvolume/status/473718887880880128,atthisvolume,I have a bump on my gums and I sometimes get panic attacks worrying it's a tumour. #hypochondria,8.150217,http://twitter.com/atthisvolume/status/473718887880880128,http://twitter.com/atthisvolume
06/03/14,http://twitter.com/martinbel/status/473785789449793536,martinbel,#hypochondria #bitch,9.136465,http://twitter.com/martinbel/status/473785789449793536,http://twitter.com/martinbel
06/04/14,http://twitter.com/fpatel23/status/474030003923857408,fpatel23,"that scary moment where you feel like you’re going to die 
#hypochondria #atitsfinest",8.368238,http://twitter.com/fpatel23/status/474030003923857408,http://twitter.com/fpatel23
06/05/14,http://twitter.com/nymphinyellow/status/474539647000125440,nymphinyellow,Going to get an HIV test... Pray for me please. #hypochondria,8.663125,http://twitter.com/nymphinyellow/status/474539647000125440,http://twitter.com/nymphinyellow
06/05/14,http://twitter.com/raigancauthen/status/474636795494539264,raigancauthen,WHY do I google my symptoms when I don't feel good? 😣 #hypochondria,8.171579,http://twitter.com/RaiganCauthen/status/474636795494539264,http://twitter.com/raigancauthen
06/08/14,http://twitter.com/carawline/status/475581144935575552,carawline,"Sore throat, etc. Googled symptoms. Have 2 weeks left to live. #hypochondria #whydidigoogleit http://t.co/Fx1CL4RNuL",7.934657,http://twitter.com/carawline/status/475581144935575552,http://twitter.com/carawline
06/09/14,http://twitter.com/shannairl/status/476122575903657985,shannairl,@Nursefancypants Hahaha every time I get a pain in my stomach I'm like.....I'm going to be in the paper.......#hypochondria,11.520393,http://twitter.com/Shannairl/status/476122575903657985,http://twitter.com/shannairl
