firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/rima_regas/status/473001450243497986,rima_regas,Uncovering clues to the genetic cause of #schizophrenia http://t.co/kWOPd32JxR via @psypost | #Genetics #Research #Health,11.551785,http://twitter.com/Rima_Regas/status/473001450243497986,http://twitter.com/rima_regas
06/01/14,http://twitter.com/rima_regas/status/473002643493638144,rima_regas,#Study compares newer and older #antipsychotic #medications for #schizophrenia http://t.co/S7ZElDj4hv via @psypost #Health #MentalHealth,11.429461,http://twitter.com/Rima_Regas/status/473002643493638144,http://twitter.com/rima_regas
06/01/14,http://twitter.com/bostonred/status/473005874198224896,bostonred,RT @Rima_Regas: #Study compares newer and older #antipsychotic #medications for #schizophrenia http://t.co/S7ZElDj4hv via @psypost #Health …,6.988868,http://twitter.com/Bostonred/status/473005874198224896,http://twitter.com/bostonred
06/01/14,http://twitter.com/bostonred/status/473006007501606913,bostonred,RT @Rima_Regas: Uncovering clues to the genetic cause of #schizophrenia http://t.co/kWOPd32JxR via @psypost | #Genetics #Research #Health,7.105979,http://twitter.com/Bostonred/status/473006007501606913,http://twitter.com/bostonred
06/01/14,http://twitter.com/v_patton_/status/473025670822375425,v_patton_,".@CharitySANE report highlights treatment delays, lack of info &amp; patchy GP support for #schizophrenia http://t.co/TYrSkIJPB9",7.9895077,http://twitter.com/v_patton_/status/473025670822375425,http://twitter.com/v_patton_
06/01/14,http://twitter.com/sundayexpress1/status/473043629091471360,sundayexpress1,Crusade for Better Mental Health: Damning report highlights #schizophrenia issues in UK (via @sundayexpress1) http://t.co/ZkDHPKhP29,8.682248,http://twitter.com/sundayexpress1/status/473043629091471360,http://twitter.com/sundayexpress1
05/27/14,http://twitter.com/sfariautismnews/status/471318047010344960,taniaamarshall,RT @SFARIautismnews: #Autism and #schizophrenia share underlying deficits in pathways that regulate learning and memory. http://t.co/NxalqY…,8.663847,http://twitter.com/TaniaAMarshall/status/473052488191320064,http://twitter.com/taniaamarshall
06/01/14,http://twitter.com/mikkil/status/473054731913658368,mikkil,RT @sundayexpress1: Crusade for Better Mental Health: Damning report highlights #schizophrenia issues in UK (via @sundayexpress1) http://t.…,6.9012914,http://twitter.com/MikkiL/status/473054731913658368,http://twitter.com/mikkil
06/01/14,http://twitter.com/sectioned_/status/473066041242046464,sectioned_,Damning report highlights #schizophrenia issues http://t.co/cv4EoH0TNc By @DannyBuckland | @sundayexpress1 Crusade for Better #MentalHealth,8.329951,http://twitter.com/Sectioned_/status/473066041242046464,http://twitter.com/sectioned_
06/01/14,http://twitter.com/vansvoice/status/473068340442054656,vansvoice,RT @Sectioned_: Damning report highlights #schizophrenia issues http://t.co/cv4EoH0TNc By @DannyBuckland | @sundayexpress1 Crusade for Bett…,6.826641,http://twitter.com/VansVoice/status/473068340442054656,http://twitter.com/vansvoice
