firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/03/14,http://twitter.com/sjog_healthcare/status/473694812709740544,sjog_healthcare,Our #HealthyMenComp aims to raise awareness of postnatal depression in men &amp; support available #BePNDAware #MentalHealth,11.881495,http://twitter.com/sjog_healthcare/status/473694812709740544,http://twitter.com/sjog_healthcare
06/03/14,http://twitter.com/sjog_healthcare/status/473694971933884416,sjog_healthcare,"Get involved in our #HealthyMenComp &amp; you could win a iPad Air, just by snapping a great photo: http://t.co/vLINJtItjM #BePNDAware",12.136339,http://twitter.com/sjog_healthcare/status/473694971933884416,http://twitter.com/sjog_healthcare
06/03/14,http://twitter.com/lyall/status/473697695777832960,lyall,RT @sjog_healthcare: Our #HealthyMenComp aims to raise awareness of postnatal depression in men &amp; support available #BePNDAware #MentalHeal…,10.586812,http://twitter.com/Lyall/status/473697695777832960,http://twitter.com/lyall
06/03/14,http://twitter.com/lyall/status/473697727969124352,lyall,"RT @sjog_healthcare: Get involved in our #HealthyMenComp &amp; you could win a iPad Air, just by snapping a great photo: http://t.co/vLINJtItjM…",10.849099,http://twitter.com/Lyall/status/473697727969124352,http://twitter.com/lyall
11/21/13,http://twitter.com/beyondblue/status/403664596474417152,lyall,"RT @beyondblue: Our Dad's handbook – A Guide to the first 12 months, has more advice for new fathers. https://t.co/tbTWNYSrwP #bePNDaware",11.115716,http://twitter.com/Lyall/status/473699251692658688,http://twitter.com/lyall
06/03/14,http://twitter.com/drjrcorns/status/473699371628761089,drjrcorns,RT @sjog_healthcare: Our #HealthyMenComp aims to raise awareness of postnatal depression in men &amp; support available #BePNDAware #MentalHeal…,7.252778,http://twitter.com/drjrcorns/status/473699371628761089,http://twitter.com/drjrcorns
06/03/14,http://twitter.com/lyall/status/473701454151041024,lyall,Using the Edinburgh Postnatal Depression Scale by @meta4RN http://t.co/Ag75FKw1oy #bePNDaware #midwifery,11.073972,http://twitter.com/Lyall/status/473701454151041024,http://twitter.com/lyall
06/03/14,http://twitter.com/lyall/status/473702723255152641,lyall,Just remembered I used the Edinburgh PND Scale for the first time when I was a student nurse on prac at @Ngala_WA in 2003 #bePNDaware,11.019842,http://twitter.com/Lyall/status/473702723255152641,http://twitter.com/lyall
06/04/14,http://twitter.com/sjog_midland/status/473984117541859328,sjog_midland,"RT @sjog_healthcare: Get involved in our #HealthyMenComp &amp; you could win a iPad Air, just by snapping a great photo: http://t.co/vLINJtItjM…",7.5150657,http://twitter.com/sjog_midland/status/473984117541859328,http://twitter.com/sjog_midland
06/09/14,http://twitter.com/meta4rn/status/475805991368282113,meta4rn,A really cool video featuring Aboriginal and Torres Strait Islander parents http://t.co/ud14uxdCIZ #bePNDaware #PPD #PND,12.780346,http://twitter.com/meta4RN/status/475805991368282113,http://twitter.com/meta4rn
