firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/jccolyer/status/473062778790739968,jccolyer,Karen's Hope: Fighting #Ataxia: http://t.co/fJYJMtA1Gf                       via @YouTube,8.290095,http://twitter.com/jccolyer/status/473062778790739968,http://twitter.com/jccolyer
06/01/14,http://twitter.com/jccolyer/status/473064579598389249,jccolyer,"#Ataxia.It’s like multiple sclerosis ganged up with Parkinson’s and played a dirty trick on Cerebral Palsey""@tumblr http://t.co/8rWwgj9Hr9",7.3027525,http://twitter.com/jccolyer/status/473064579598389249,http://twitter.com/jccolyer
06/01/14,http://twitter.com/bensfriends/status/473064605712154624,bensfriends,"#Ataxia.It’s like multiple sclerosis ganged up with Parkinson’s and played a dirty trick on Cerebral Palsey""@tumblr http://t.co/RydUUeQGGP",10.463548,http://twitter.com/bensfriends/status/473064605712154624,http://twitter.com/bensfriends
06/01/14,http://twitter.com/jccolyer/status/473065325013905408,jccolyer,"RT""@HDAwareness: Did U know Sept 25 is International #Ataxia Awareness Day : @jccolyer quoted in  release,read @ http://t.co/9hZiVGsl0r @cnn",8.283632,http://twitter.com/jccolyer/status/473065325013905408,http://twitter.com/jccolyer
06/01/14,http://twitter.com/bensfriends/status/473065672445267969,bensfriends,"RT""@HDAwareness: Did U know Sept 25 is International #Ataxia Awareness Day : @jccolyer quoted in  release,read @ http://t.co/GcGP3UM6Rp @cnn",11.297297,http://twitter.com/bensfriends/status/473065672445267969,http://twitter.com/bensfriends
06/01/14,http://twitter.com/jccolyer/status/473065962741432320,jccolyer,"RT @bensfriends: RT""@HDAwareness: Did U know Sept 25 is International #Ataxia Awareness Day : @jccolyer quoted in  release,read @ http://t.…",7.2695913,http://twitter.com/jccolyer/status/473065962741432320,http://twitter.com/jccolyer
06/01/14,http://twitter.com/orendamagazine/status/473159255458324480,orendamagazine,"RT @jccolyer: RT""@HDAwareness: Did U know Sept 25 is International #Ataxia Awareness Day : @jccolyer quoted in  release,read @ http://t.co/…",7.1467686,http://twitter.com/OrendaMagazine/status/473159255458324480,http://twitter.com/orendamagazine
05/26/14,http://twitter.com/new_beginnings_/status/471004161749024768,lucindanatdoc,RT @New_Beginnings_: Vitamin changes #gene expression. Daily #vitamin #B3 intake could help treat degenerative childhood disease. http://t.…,7.2875986,http://twitter.com/LucindaNatDoc/status/473167118985613312,http://twitter.com/lucindanatdoc
06/01/14,http://twitter.com/digitalst/status/473182617899397121,digitalst,New post by @alanROYGBIV about what it's like going on a cruise when you have a neurological condition http://t.co/jFLOZN1GOy #ataxia,11.041206,http://twitter.com/digitalst/status/473182617899397121,http://twitter.com/digitalst
06/01/14,http://twitter.com/amyloach19_amy/status/473192592201760768,amyloach19_amy,Please watch and share for Ataxia awareness! #ataxia #cure #2020vision  http://t.co/O1q6aUJM8M,7.636463,http://twitter.com/amyloach19_amy/status/473192592201760768,http://twitter.com/amyloach19_amy
06/01/14,http://twitter.com/alanroygbiv/status/473210870055845888,alanroygbiv,@velocitygrl34 Hope to see you there  #doctors20 #raredisease #ataxia #wheelchair,10.673601,http://twitter.com/alanROYGBIV/status/473210870055845888,http://twitter.com/alanroygbiv
06/01/14,http://twitter.com/scjdollyb/status/473232635980836865,scjdollyb,Sioux City woman seeks to educate others about #ataxia http://t.co/ZO42y8uMV7 #health,7.941498,http://twitter.com/SCJDollyB/status/473232635980836865,http://twitter.com/scjdollyb
06/01/14,http://twitter.com/scjdollyb/status/473235432587546624,scjdollyb,Video: Sioux City woman seeks to educate others about #ataxia http://t.co/Dzbt9hH0Dr via @scj #health,7.5530815,http://twitter.com/SCJDollyB/status/473235432587546624,http://twitter.com/scjdollyb
06/02/14,http://twitter.com/tlifdrummer/status/473298707773792256,tlifdrummer,Shots from the may 24th show courtesy of duncan lewis. #metal #ataxia #cometoashow #votewarped http://t.co/UwZjtMoWgA,7.360414,http://twitter.com/tlifdrummer/status/473298707773792256,http://twitter.com/tlifdrummer
06/02/14,http://twitter.com/monsteraddict/status/473312046017425408,monsteraddict,"""I'll close my eyes for the last time and chase this dream that I believe."" #Ataxia #Ghosts",8.007004,http://twitter.com/Monsteraddict/status/473312046017425408,http://twitter.com/monsteraddict
06/02/14,http://twitter.com/jccolyer/status/473439272352362496,jccolyer,"RT""@HDAwareness: Did U know Sept 25 is International #Ataxia Awareness Day : @jccolyer quoted in  release,read @ http://t.co/dOj8VTIwCZ @cnn",7.4195647,http://twitter.com/jccolyer/status/473439272352362496,http://twitter.com/jccolyer
06/02/14,http://twitter.com/bensfriends/status/473439328883179520,bensfriends,"RT""@HDAwareness: Did U know Sept 25 is International #Ataxia Awareness Day : @jccolyer quoted in  release,read @ http://t.co/GcGP3UM6Rp @cnn",11.287414,http://twitter.com/bensfriends/status/473439328883179520,http://twitter.com/bensfriends
