firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/official10kevin/status/473006585216659458,official10kevin,"My silence doesn't mean that I
don't care for you, it just means
that I love you more than words
can possibly say #FmD",8.138424,http://twitter.com/Official10Kevin/status/473006585216659458,http://twitter.com/official10kevin
06/01/14,http://twitter.com/fullmetaldojo/status/473115518967099392,fullmetaldojo,Alex Schild Bantamweight #MMA #Thailand #Phuket #FMD http://t.co/bWkbRM43nS,7.73065,http://twitter.com/FullMetalDojo/status/473115518967099392,http://twitter.com/fullmetaldojo
06/01/14,http://twitter.com/fullmetaldojo/status/473115718662094848,fullmetaldojo,Babbie Featherweight #MMA #Phuket #Thailand #FMD http://t.co/p0cOnBBk0Z,7.7885613,http://twitter.com/FullMetalDojo/status/473115718662094848,http://twitter.com/fullmetaldojo
06/01/14,http://twitter.com/mericavintagetc/status/473179112123555840,mericavintagetc,"#FMD Davis: Associated Press as an “important influence” on Obama,  he “looked to” not merely for “advice on living” but as a “father”.",7.73601,http://twitter.com/MericaVintageTC/status/473179112123555840,http://twitter.com/mericavintagetc
06/01/14,http://twitter.com/mericavintagetc/status/473179742225432576,mericavintagetc,"#FMD #Obama himself refers to “Frank”  22 times in his memoir, Dreams From My Father…yet never his full name. Why not? #FMDwasacommunist",7.239037,http://twitter.com/MericaVintageTC/status/473179742225432576,http://twitter.com/mericavintagetc
06/01/14,http://twitter.com/mericavintagetc/status/473183524803969024,mericavintagetc,"@BarracudaMama FBI placed #FMD  security index, #War between the U.S. and Soviet Union, the feds viewed Davis as prime suspect for treason.",7.2299075,http://twitter.com/MericaVintageTC/status/473183524803969024,http://twitter.com/mericavintagetc
06/01/14,http://twitter.com/kimmillerstyle/status/473192474765045760,kimmillerstyle,#free #workout #fmd #fitmomdiet #exercise #fitmom http://t.co/1LJif3YvHV,8.53087,http://twitter.com/KimMillerStyle/status/473192474765045760,http://twitter.com/kimmillerstyle
06/02/14,http://twitter.com/misspetelo/status/473253677482795008,misspetelo,wtf would you blast music while the rest of us are sleeping w a headache! #fmd this girl is effing inconsiderate!,7.9891415,http://twitter.com/misspetelo/status/473253677482795008,http://twitter.com/misspetelo
06/02/14,http://twitter.com/amankaman2323/status/473318900172476417,amankaman2323,RT @KimMillerStyle: #free #workout #fmd #fitmomdiet #exercise #fitmom http://t.co/1LJif3YvHV,7.4760537,http://twitter.com/amankaman2323/status/473318900172476417,http://twitter.com/amankaman2323
06/02/14,http://twitter.com/ibkeys/status/473326060193718272,ibkeys,Crockpot of turkey chili on low = another round of #FMD #28days #wishmeluck #byebyedq #adiossprouts #letsdothis #fb,7.173805,http://twitter.com/IBKeys/status/473326060193718272,http://twitter.com/ibkeys
06/02/14,http://twitter.com/jackbooty79/status/473400884127215616,jackbooty79,All aboard the 'I'm so done' Train to 'can't evenville' #got #TheMountainandTheViper #fmd #crying #brainsplosion,8.859253,http://twitter.com/JackBooty79/status/473400884127215616,http://twitter.com/jackbooty79
