firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/02/14,http://twitter.com/clinthe/status/473574876700504064,clinthe,Are you aware of mast cell activation syndromes? http://t.co/FvquTPkagx #mastocytosis #monoclonal #mastcellactivation #medcomms #pubplan,7.1154456,http://twitter.com/clinthe/status/473574876700504064,http://twitter.com/clinthe
06/04/14,http://twitter.com/harris1505/status/474277668608040960,harris1505,http://t.co/3y3uAC1Stk find out more about the #raredisease  #mastocytosis #ukmastocytosis,8.019654,http://twitter.com/Harris1505/status/474277668608040960,http://twitter.com/harris1505
06/05/14,http://twitter.com/ukmastocytosis/status/474443276200976384,ukmastocytosis,"What is MCAS? Read all about it here 
 http://t.co/GKUi1Z7b09
#Mastocytosis #Raredisease",9.169342,http://twitter.com/UkMastocytosis/status/474443276200976384,http://twitter.com/ukmastocytosis
06/05/14,http://twitter.com/randyperkins/status/474452987201724416,randyperkins,"RT @UkMastocytosis: What is MCAS? Read all about it here 
 http://t.co/GKUi1Z7b09
#Mastocytosis #Raredisease",7.599948,http://twitter.com/RandyPerkins/status/474452987201724416,http://twitter.com/randyperkins
06/05/14,http://twitter.com/npagnetwork/status/474660621666222080,npagnetwork,"RT @UkMastocytosis: What is MCAS? Read all about it here 
 http://t.co/GKUi1Z7b09
#Mastocytosis #Raredisease",7.599948,http://twitter.com/NPAGNetwork/status/474660621666222080,http://twitter.com/npagnetwork
06/07/14,http://twitter.com/1sttinyrunner/status/475193049837211648,1sttinyrunner,Celebrated 2yr anniversary of being told I'd never run again by winning 3 races in 6 days. Never ever give up #mastocytosis #loverunning,7.7175465,http://twitter.com/1stTinyRunner/status/475193049837211648,http://twitter.com/1sttinyrunner
06/10/14,http://twitter.com/supportsamuel/status/476483625270378498,supportsamuel,#teamsam #raising10k #mastocytosis bring it!!! http://t.co/nN7By74pNf,8.110817,http://twitter.com/Supportsamuel/status/476483625270378498,http://twitter.com/supportsamuel
06/11/14,http://twitter.com/cattoyoriginal/status/476696468011483136,cattoyoriginal,"Xolair -&gt;Severe serum sickness–like syndrome after
omalizumab therapy for asthma http://t.co/gSvR5x2ird #mastocytosis #allergy #immunology",11.178498,http://twitter.com/CatToyOriginal/status/476696468011483136,http://twitter.com/cattoyoriginal
06/11/14,http://twitter.com/b_kitter/status/476707534879735808,b_kitter,"RT @CatToyOriginal: Xolair -&gt;Severe serum sickness–like syndrome after
omalizumab therapy for asthma http://t.co/gSvR5x2ird #mastocytosis #…",7.097061,http://twitter.com/B_Kitter/status/476707534879735808,http://twitter.com/b_kitter
06/12/14,http://twitter.com/supportsamuel/status/477075287721934848,supportsamuel,"http://t.co/C9kF5jvtL7 so excited for Saturdays event, anyone want a horse? #raising10k #TeamSam #mastocytosis http://t.co/Iz4is7MWk2",8.426466,http://twitter.com/Supportsamuel/status/477075287721934848,http://twitter.com/supportsamuel
06/12/14,http://twitter.com/duffers275/status/477094387516968960,duffers275,"RT @Supportsamuel: http://t.co/C9kF5jvtL7 so excited for Saturdays event, anyone want a horse? #raising10k #TeamSam #mastocytosis http://t.…",7.3761754,http://twitter.com/Duffers275/status/477094387516968960,http://twitter.com/duffers275
06/13/14,http://twitter.com/cattoyoriginal/status/477470374188154881,cattoyoriginal,Cellular &amp; Molecular Immunology - Role of neutrophils in development of liver diseases http://t.co/rGxEL6TpfS #mastocytosis #cdnhealth,10.499147,http://twitter.com/CatToyOriginal/status/477470374188154881,http://twitter.com/cattoyoriginal
