firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/myositissupport/status/473225003849494529,myositissupport,Less than 20% of med schools teach students how to talk with disabled patients about their needs. http://t.co/0seEeH2IcU #myositis #disabled,7.653671,http://twitter.com/MyositisSupport/status/473225003849494529,http://twitter.com/myositissupport
06/01/14,http://twitter.com/myositissupport/status/473228714948296704,myositissupport,Types of disability insurance such as short-and long-term disability insurance and SSDI  http://t.co/0rnPO5JlKh #ssdi #myositis #disabled,7.066287,http://twitter.com/MyositisSupport/status/473228714948296704,http://twitter.com/myositissupport
06/02/14,http://twitter.com/myositissupport/status/473521400041332736,myositissupport,"Caregiving Spouses More Likely to Take on Medical Tasks, Report Finds http://t.co/VR1CBEBMqh via @AARP #myositis #caregivers",7.546042,http://twitter.com/MyositisSupport/status/473521400041332736,http://twitter.com/myositissupport
06/02/14,http://twitter.com/myositissupport/status/473522939610931200,myositissupport,"Everyone should read these #Blog4Care #caregiving stories, compiled by @CaringAcrossGen:  http://t.co/LOvGmqp7CP #myositis #caregivers",8.228238,http://twitter.com/MyositisSupport/status/473522939610931200,http://twitter.com/myositissupport
06/02/14,http://twitter.com/caringacrossgen/status/473525848667332608,caringacrossgen,"RT @MyositisSupport: Everyone should read these #Blog4Care #caregiving stories, compiled by @CaringAcrossGen:  http://t.co/LOvGmqp7CP #myos…",7.2489614,http://twitter.com/CaringAcrossGen/status/473525848667332608,http://twitter.com/caringacrossgen
06/02/14,http://twitter.com/myositissupport/status/473538709137010688,myositissupport,"#CaregiverMonday Caregivers, Take a Break! http://t.co/tbgex1Fruu #Caregivers #myositis http://t.co/cQpWrjb3X5",8.6170845,http://twitter.com/MyositisSupport/status/473538709137010688,http://twitter.com/myositissupport
06/03/14,http://twitter.com/annie_m8/status/473635543314870272,annie_m8,@MyositisSupport JAMA #Dermatology #myositis #rheumedu RT @LaserLipoDallas: Calcinosis in Dermatomyositis http://t.co/Jkh7JrWWUM,7.104091,http://twitter.com/Annie_M8/status/473635543314870272,http://twitter.com/annie_m8
06/03/14,http://twitter.com/annie_m8/status/473637373939826689,annie_m8,"RT @MyositisSupport: #CaregiverMonday Caregivers, Take a Break! http://t.co/tbgex1Fruu #Caregivers #myositis http://t.co/cQpWrjb3X5",7.588157,http://twitter.com/Annie_M8/status/473637373939826689,http://twitter.com/annie_m8
06/03/14,http://twitter.com/warlordwrites/status/473710525784670209,warlordwrites,Berko: Dont buy Google for driverless car | The Columbian http://t.co/Q67B05tAKW. 2nd question RE: BYM 338 #spoonie #IBM #myositis,10.825197,http://twitter.com/WarLordwrites/status/473710525784670209,http://twitter.com/warlordwrites
06/04/14,http://twitter.com/myositissupport/status/474258588500652032,myositissupport,"Need prayers/positive energy for Mia, who has #JDM. She Is fighting hard.  #myositis Support @curejm We need a cure! http://t.co/3QUj1a5oAP",9.227545,http://twitter.com/MyositisSupport/status/474258588500652032,http://twitter.com/myositissupport
06/04/14,http://twitter.com/abbiejamse/status/474270454036066304,abbiejamse,"RT @MyositisSupport: Need prayers/positive energy for Mia, who has #JDM. She Is fighting hard.  #myositis Support @curejm We need a cure! h…",7.3807526,http://twitter.com/abbiejamse/status/474270454036066304,http://twitter.com/abbiejamse
06/05/14,http://twitter.com/rheumi_/status/474486113470791680,rheumi_,"In Jo1 +ve patients (no #myositis), no clear difference in patients groups of acute ILD vs. chronic presentation #rheumedu",7.3436484,http://twitter.com/rheumi_/status/474486113470791680,http://twitter.com/rheumi_
06/05/14,http://twitter.com/myositissupport/status/474504220922490880,myositissupport,"Lost an #IBM warrior, Robin. Prayers to his wife, family &amp; friends. #myositis #inclusionbodymyositis http://t.co/Ohr7NxrbkH",7.5620084,http://twitter.com/MyositisSupport/status/474504220922490880,http://twitter.com/myositissupport
06/06/14,http://twitter.com/myositissupport/status/474738633648267264,myositissupport,Interesting article on #invisibledisabilities (like #myositis may be for some) http://t.co/V39VPldbWK,8.093421,http://twitter.com/MyositisSupport/status/474738633648267264,http://twitter.com/myositissupport
06/07/14,http://twitter.com/hardlightholo/status/475186001028341760,hardlightholo,#spoonieprobz #spoonies #chronicillness #brainfog #medhead #myositis #autoimmunearthritis… http://t.co/Mclo9VdtTV,7.16257,http://twitter.com/HardLightHolo/status/475186001028341760,http://twitter.com/hardlightholo
06/07/14,http://twitter.com/jacilynmikels/status/475241888417472512,jacilynmikels,@Bravelets thank you so much for allowing @TeamTommyFL to raise awareness and support #myositis cure #letsbeatit https://t.co/7oofVgo4AR,8.17155,http://twitter.com/JacilynMikels/status/475241888417472512,http://twitter.com/jacilynmikels
06/07/14,http://twitter.com/danawyankees7/status/475247963413823489,danawyankees7,RT @JacilynMikels: @Bravelets thank you so much for allowing @TeamTommyFL to raise awareness and support #myositis cure #letsbeatit https:/…,7.0924134,http://twitter.com/DanaWyankees7/status/475247963413823489,http://twitter.com/danawyankees7
06/07/14,http://twitter.com/curejm/status/475353239391850496,curejm,"Join in sharing this red 🎈balloon, in memory of Kennedy &amp; other CureJM angels. #juvenile #myositis #curejm http://t.co/0gZHRx5Ode",12.240646,http://twitter.com/curejm/status/475353239391850496,http://twitter.com/curejm
06/07/14,http://twitter.com/annie_m8/status/475354490254917632,annie_m8,"#rheum ""@curejm: Join in sharing this red 🎈balloon, in memory of Kennedy &amp; other CureJM angels. #myositis #curejm http://t.co/Z3h2xb9OH0",10.99878,http://twitter.com/Annie_M8/status/475354490254917632,http://twitter.com/annie_m8
06/07/14,http://twitter.com/haileyyjoyy/status/475357789892927488,haileyyjoyy,"RT @curejm: Join in sharing this red 🎈balloon, in memory of Kennedy &amp; other CureJM angels. #juvenile #myositis #curejm http://t.co/0gZHRx5O…",7.0461626,http://twitter.com/haileyyjoyy/status/475357789892927488,http://twitter.com/haileyyjoyy
06/07/14,http://twitter.com/totallyforsure_/status/475361279201140736,totallyforsure_,"RT @curejm: Join in sharing this red 🎈balloon, in memory of Kennedy &amp; other CureJM angels. #juvenile #myositis #curejm http://t.co/0gZHRx5O…",7.0461626,http://twitter.com/totallyforsure_/status/475361279201140736,http://twitter.com/totallyforsure_
06/07/14,http://twitter.com/mctd_support/status/475366737198587904,mctd_support,Keep your heart content. #spooniesunite #mctd #sclerodermaawareness #lupus #sjogrens #rheumatoidarthritis #myositis http://t.co/lYSvZMluic,8.050239,http://twitter.com/mctd_support/status/475366737198587904,http://twitter.com/mctd_support
06/07/14,http://twitter.com/maresp601/status/475377265153695744,maresp601,"RT @curejm: Join in sharing this red 🎈balloon, in memory of Kennedy &amp; other CureJM angels. #juvenile #myositis #curejm http://t.co/0gZHRx5O…",7.0461626,http://twitter.com/maresp601/status/475377265153695744,http://twitter.com/maresp601
06/07/14,http://twitter.com/vlueks/status/475378735445995520,vlueks,"RT @curejm: Join in sharing this red 🎈balloon, in memory of Kennedy &amp; other CureJM angels. #juvenile #myositis #curejm http://t.co/0gZHRx5O…",7.0461626,http://twitter.com/VLueks/status/475378735445995520,http://twitter.com/vlueks
06/07/14,http://twitter.com/myositissupport/status/475397801887547392,myositissupport,Red Balloon release at home of Jerry &amp; Charlie Williams in memory of Kennedy and all children with #jdm #myositis http://t.co/NZWESpAxY9,8.718522,http://twitter.com/MyositisSupport/status/475397801887547392,http://twitter.com/myositissupport
06/07/14,http://twitter.com/tracygullett/status/475398768167112704,tracygullett,RT @MyositisSupport: Red Balloon release at home of Jerry &amp; Charlie Williams in memory of Kennedy and all children with #jdm #myositis http…,7.2135267,http://twitter.com/tracygullett/status/475398768167112704,http://twitter.com/tracygullett
06/07/14,http://twitter.com/edspatientsol/status/475406210712485888,edspatientsol,RT @mctd_support: Keep your heart content. #spooniesunite #mctd #sclerodermaawareness #lupus #sjogrens #rheumatoidarthritis #myositis http:…,7.0383635,http://twitter.com/EdsPatientSol/status/475406210712485888,http://twitter.com/edspatientsol
06/07/14,http://twitter.com/gagnonsheila/status/475411638917791744,gagnonsheila,"RT @curejm: Join in sharing this red 🎈balloon, in memory of Kennedy &amp; other CureJM angels. #juvenile #myositis #curejm http://t.co/0gZHRx5O…",7.0461626,http://twitter.com/GagnonSheila/status/475411638917791744,http://twitter.com/gagnonsheila
06/07/14,http://twitter.com/stephbiketour/status/475413902176432129,stephbiketour,RT @MyositisSupport: Red Balloon release at home of Jerry &amp; Charlie Williams in memory of Kennedy and all children with #jdm #myositis http…,7.2135267,http://twitter.com/Stephbiketour/status/475413902176432129,http://twitter.com/stephbiketour
06/08/14,http://twitter.com/myositissupport/status/475435186075607040,myositissupport,"All about Corticosteroids such as Prednisone. Side effects, stress dosing and more. http://t.co/Ob86tEJmNv #prednisone #myositis",7.5683517,http://twitter.com/MyositisSupport/status/475435186075607040,http://twitter.com/myositissupport
06/08/14,http://twitter.com/annie_m8/status/475481405820903424,annie_m8,THANK YOU! #curejm MT @MyositisSupport: Red Balloon release in memory of Kennedy &amp; all children w/ #jdm #myositis #fhttp://t.co/NZWESpAxY9,7.901113,http://twitter.com/Annie_M8/status/475481405820903424,http://twitter.com/annie_m8
06/08/14,http://twitter.com/socialmediashan/status/475497925846396928,socialmediashan,"RT @Annie_M8: #rheum ""@curejm: Join in sharing this red 🎈balloon, in memory of Kennedy &amp; other CureJM angels. #myositis #curejm http://t.co…",10.170886,http://twitter.com/SocialMediaShan/status/475497925846396928,http://twitter.com/socialmediashan
06/08/14,http://twitter.com/myositissupport/status/475581658309988353,myositissupport,Reading about this: Stages of grief chronic illness - a journey towards acceptance - http://t.co/Hprz21M6e2 #myositis #chronicillness,7.238087,http://twitter.com/MyositisSupport/status/475581658309988353,http://twitter.com/myositissupport
06/09/14,http://twitter.com/myositissupport/status/476076081657569282,myositissupport,"#caregivermonday Caregivers, CCAN can help! Resources and more. Learn more http://t.co/zJGRpaVCVX @CaregiverAction  #myositis #caregivers",7.2985506,http://twitter.com/MyositisSupport/status/476076081657569282,http://twitter.com/myositissupport
06/09/14,http://twitter.com/jacilynmikels/status/476131564770705410,jacilynmikels,@TeamTommyFL and @MayaMatters #sneakpeak #photoshoot #myositis #pediatriccancer Two organizations with big dreams http://t.co/rezNeCxDgT,9.17732,http://twitter.com/JacilynMikels/status/476131564770705410,http://twitter.com/jacilynmikels
06/10/14,http://twitter.com/teamtommyfl/status/476173254697054209,teamtommyfl,Had a great time tonight wrapping up the 2015 gunsnhoses calendar! #Myositis #TeamTommy #Pediatriccancer #MayaMatters http://t.co/Y3eFvhXC5v,9.306698,http://twitter.com/TeamTommyFL/status/476173254697054209,http://twitter.com/teamtommyfl
06/10/14,http://twitter.com/laurieb1723/status/476173993808912384,laurieb1723,RT @JacilynMikels: @TeamTommyFL and @MayaMatters #sneakpeak #photoshoot #myositis #pediatriccancer Two organizations with big dreams http:/…,7.074714,http://twitter.com/laurieb1723/status/476173993808912384,http://twitter.com/laurieb1723
06/10/14,http://twitter.com/mayamatters/status/476322424334458880,mayamatters,RT @JacilynMikels: @TeamTommyFL and @MayaMatters #sneakpeak #photoshoot #myositis #pediatriccancer Two organizations with big dreams http:/…,7.074714,http://twitter.com/MayaMatters/status/476322424334458880,http://twitter.com/mayamatters
06/10/14,http://twitter.com/drhectorchinoy/status/476359258884554752,drhectorchinoy,"At EULAR/ACR definition of improvement for adult and paediatric #myositis meeting - 1 day in, still waiting for consensus!",7.4060793,http://twitter.com/drhectorchinoy/status/476359258884554752,http://twitter.com/drhectorchinoy
06/10/14,http://twitter.com/myositissupport/status/476430856685240320,myositissupport,#TipTuesday TMA Live Discussions several times a year. Next one June 20 at 3pm EST #myositis #health @TheMyositisAssc http://t.co/SqgX55EHXM,7.4256477,http://twitter.com/MyositisSupport/status/476430856685240320,http://twitter.com/myositissupport
06/11/14,http://twitter.com/teamtommyfl/status/476515861163810816,teamtommyfl,RT @JacilynMikels: @TeamTommyFL and @MayaMatters #sneakpeak #photoshoot #myositis #pediatriccancer Two organizations with big dreams http:/…,7.074714,http://twitter.com/TeamTommyFL/status/476515861163810816,http://twitter.com/teamtommyfl
06/11/14,http://twitter.com/danawyankees7/status/476515947990491136,danawyankees7,RT @JacilynMikels: @TeamTommyFL and @MayaMatters #sneakpeak #photoshoot #myositis #pediatriccancer Two organizations with big dreams http:/…,7.074714,http://twitter.com/DanaWyankees7/status/476515947990491136,http://twitter.com/danawyankees7
06/11/14,http://twitter.com/danawyankees7/status/476515966529331200,danawyankees7,RT @TeamTommyFL: Had a great time tonight wrapping up the 2015 gunsnhoses calendar! #Myositis #TeamTommy #Pediatriccancer #MayaMatters http…,7.1193733,http://twitter.com/DanaWyankees7/status/476515966529331200,http://twitter.com/danawyankees7
06/11/14,http://twitter.com/jacilynmikels/status/476517302234783745,jacilynmikels,RT @TeamTommyFL: Had a great time tonight wrapping up the 2015 gunsnhoses calendar! #Myositis #TeamTommy #Pediatriccancer #MayaMatters http…,7.1193733,http://twitter.com/JacilynMikels/status/476517302234783745,http://twitter.com/jacilynmikels
06/11/14,http://twitter.com/hants_hippy/status/476680465982967808,hants_hippy,Drs: New NHS statins guidance 'risks harming patients' Telegraph http://t.co/xyAx46fAmZ #Statins #diabetes #myositis http://t.co/yayY4N3ru5,7.377694,http://twitter.com/hants_hippy/status/476680465982967808,http://twitter.com/hants_hippy
06/11/14,http://twitter.com/myositissupport/status/476689890487599104,myositissupport,Managing #Inclusionbodymyositis by @TheMyositisAssc    http://t.co/ETQNHV4edv  #myositis,7.9081626,http://twitter.com/MyositisSupport/status/476689890487599104,http://twitter.com/myositissupport
06/11/14,http://twitter.com/annie_m8/status/476719822727036928,annie_m8,@MertzTina @curejm @GifboomApp Love this! What creativity! #Awesome #awareness #juvenile #myositis,7.2985506,http://twitter.com/Annie_M8/status/476719822727036928,http://twitter.com/annie_m8
06/11/14,http://twitter.com/rheumi_/status/476760876704624640,rheumi_,"Myositis Histology:
PM - perifasicular atrophy T cells
DM - B cells nonnecrotic myofibres
^Oddis #myositis #EULAR2014 ",6.697001,http://twitter.com/rheumi_/status/476760876704624640,http://twitter.com/rheumi_
06/11/14,http://twitter.com/rheumi_/status/476760964290080769,rheumi_,10% of amyopathic DM have ILD ^Oddis #myositis #EULAR2014 ,7.279279,http://twitter.com/rheumi_/status/476760964290080769,http://twitter.com/rheumi_
06/11/14,http://twitter.com/rheumi_/status/476761336329015296,rheumi_,"Rx of skin in DM: 
Sunblock topical GC, calcineurin inh, HCQ, oral GC 
2nd: MMF MTX 
3rd : IVIG CYC 
^Oddis #myositis #EULAR2014 #rheumedu",6.67413,http://twitter.com/rheumi_/status/476761336329015296,http://twitter.com/rheumi_
06/11/14,http://twitter.com/rheumi_/status/476761489102360576,rheumi_,"Rapid ILD in ADM assoc with viral trigger and anti-MDA-5 Ab 
^Oddis #myositis #EULAR2014 ",6.9936337,http://twitter.com/rheumi_/status/476761489102360576,http://twitter.com/rheumi_
06/11/14,http://twitter.com/rheumi_/status/476761633487077377,rheumi_,Jo1 represents 60% of anti synthetase cohort in Pittsburgh ^Oddis #myositis #EULAR2014 ,7.051255,http://twitter.com/rheumi_/status/476761633487077377,http://twitter.com/rheumi_
06/11/14,http://twitter.com/rheumi_/status/476761980087586816,rheumi_,"TIF1 Ab associated with cancer in adult myositis 
^Oddis #myositis #EULAR2014 ",7.368425,http://twitter.com/rheumi_/status/476761980087586816,http://twitter.com/rheumi_
06/11/14,http://twitter.com/rheumi_/status/476762148660850688,rheumi_,Cancer risk DM&gt;PM ^Oddis #myositis #EULAR2014 ,11.612448,http://twitter.com/rheumi_/status/476762148660850688,http://twitter.com/rheumi_
06/11/14,http://twitter.com/rheumi_/status/476762445063942144,rheumi_,"ILD, overlap myositis and another myositis specific Ab -&gt; less likely to have cancer ^Oddis #myositis #EULAR2014 ",7.113507,http://twitter.com/rheumi_/status/476762445063942144,http://twitter.com/rheumi_
