firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/ellenrosela/status/473134288011948033,ellenrosela,@HiddenCash If u give 2 charity pls consider #RettSyndrome only neurologic disorder reversed in mice. Thank u Hannah's grandma @RSRT,7.1211996,http://twitter.com/EllenRoseLA/status/473134288011948033,http://twitter.com/ellenrosela
06/01/14,http://twitter.com/lyndaxx7/status/473138570262478848,lyndaxx7,Mackenzie thanks the #IWK for everything they do!  #MyIWK #IWKTelethon #rettsyndrome http://t.co/C7GtzVa6TM,7.5495205,http://twitter.com/lyndaxx7/status/473138570262478848,http://twitter.com/lyndaxx7
06/01/14,http://twitter.com/ktgdesignstudio/status/473176302355492864,ktgdesignstudio,RT @Bartonbr00d: #TeamSparkle is raising $ &amp; awareness for #RettSyndrome. Enter our #Ragnar4Rett GIVEAWAY:  http://t.co/ws41HeCV2X  https:/…,7.230013,http://twitter.com/ktgdesignstudio/status/473176302355492864,http://twitter.com/ktgdesignstudio
06/01/14,http://twitter.com/girlpower2cure/status/473219984194535424,girlpower2cure,RT @PaolaPuggioni: Pharmacological Stimulation of the Brain Serotonin Receptor 7 as a Novel Therapeutic Approach for #RettSyndrome....,8.910992,http://twitter.com/girlpower2cure/status/473219984194535424,http://twitter.com/girlpower2cure
06/02/14,http://twitter.com/ellenrosela/status/473277712593727488,ellenrosela,RT @girlpower2cure: RT @PaolaPuggioni: Pharmacological Stimulation of the Brain Serotonin Receptor 7 as a Novel Therapeutic Approach for #R…,7.1607604,http://twitter.com/EllenRoseLA/status/473277712593727488,http://twitter.com/ellenrosela
06/02/14,http://twitter.com/girlpower2cure/status/473494528478171136,girlpower2cure,Great pic! Thanks for your support! MT @ohlivi_ya: post color run! so happy to run to find a cure for #rettsyndrome!...,7.688471,http://twitter.com/girlpower2cure/status/473494528478171136,http://twitter.com/girlpower2cure
06/03/14,http://twitter.com/questkelsey/status/473664016229740545,questkelsey,Study by #TheresaBartolotta cites an assessment tool for nonverbal communicative behaviors: http://t.co/TkOz46loo6 #RettSyndrome,7.3529863,http://twitter.com/QuestKelsey/status/473664016229740545,http://twitter.com/questkelsey
06/03/14,http://twitter.com/girlpower2cure/status/473675573873881089,girlpower2cure,"Neat! MT @makeawishwny: Sophie, battling #RettSyndrome, took her camper out for the 1st time. Looks like a good time! http://t.co/qYFwnM4tTd",7.6090927,http://twitter.com/girlpower2cure/status/473675573873881089,http://twitter.com/girlpower2cure
06/03/14,http://twitter.com/m09hernandez/status/473801986127581184,m09hernandez,I'm raising money for Rett Syndrome-Upsee Kit. Click to Donate: http://t.co/DpywiBqSzU #gofundme #rettsyndrome @mcuban,7.2036667,http://twitter.com/m09hernandez/status/473801986127581184,http://twitter.com/m09hernandez
06/03/14,http://twitter.com/erabke/status/473943052977836033,erabke,I #love their relationship!  #sistersforlife #littlesishelpingbigsis #lovedoes #rettsyndrome… http://t.co/ikwhb2YrLy,7.728973,http://twitter.com/erabke/status/473943052977836033,http://twitter.com/erabke
06/04/14,http://twitter.com/bethesda_inst/status/474171593674194944,bethesda_inst,Genetics: Gene linked to adult regression implicated in Rett http://t.co/Q9kpFLsOLL #rettsyndrome,7.690134,http://twitter.com/Bethesda_Inst/status/474171593674194944,http://twitter.com/bethesda_inst
06/04/14,http://twitter.com/periodforgood/status/474213704016613376,periodforgood,"#beatrett #rettsyndrome #mateah #periodforgood This just posted by Mateah's grandfather on our blog: ""Thank you... http://t.co/25Xr4wZtwL",7.036657,http://twitter.com/Periodforgood/status/474213704016613376,http://twitter.com/periodforgood
06/04/14,http://twitter.com/girlpower2cure/status/474305870000816129,girlpower2cure,RT @Bethesda_Inst: Genetics: Gene linked to adult regression implicated in Rett http://t.co/y6mdgb7OC2 #rettsyndrome,7.4471774,http://twitter.com/girlpower2cure/status/474305870000816129,http://twitter.com/girlpower2cure
06/05/14,http://twitter.com/girlpower2cure/status/474400379166552065,girlpower2cure,RT @TobiiUK: Interested in special needs &amp; eyetracking?  Check out our webinar on #RettSyndrome &amp; #Tobii Gaze Viewer  http://t.co/6BTzPkq5tt,8.432182,http://twitter.com/girlpower2cure/status/474400379166552065,http://twitter.com/girlpower2cure
06/05/14,http://twitter.com/ellenrosela/status/474452343845433344,ellenrosela,RT @girlpower2cure: RT @TobiiUK: Interested in special needs &amp; eyetracking?  Check out our webinar on #RettSyndrome &amp; #Tobii Gaze Viewer  h…,6.7310205,http://twitter.com/EllenRoseLA/status/474452343845433344,http://twitter.com/ellenrosela
06/05/14,http://twitter.com/suzynewhouse/status/474562418882793472,suzynewhouse,Remember #Gwaggles: Boys have cooties! #Sisters #RettSyndromeSibling #Cure #RettSyndrome #4Bea AND… http://t.co/7C064gYnou,7.1791587,http://twitter.com/SuzyNewhouse/status/474562418882793472,http://twitter.com/suzynewhouse
06/05/14,http://twitter.com/girlpower2cure/status/474580193664049152,girlpower2cure,RT @erabke: I #love their relationship!  #sistersforlife #littlesishelpingbigsis #lovedoes #rettsyndrome… http://t.co/zsXGKkxQsU,8.308668,http://twitter.com/girlpower2cure/status/474580193664049152,http://twitter.com/girlpower2cure
06/05/14,http://twitter.com/debbiellusk/status/474598512114425856,debbiellusk,#hershey #colorrun for #rettsyndrome #pennsylvania Last wknd! #thatwasfun http://t.co/3f2HEVE61U,7.645864,http://twitter.com/DebbieLLusk/status/474598512114425856,http://twitter.com/debbiellusk
06/05/14,http://twitter.com/rettsyndrome/status/474611376632373248,rettsyndrome,Register for #Rettsyndrome.org webinar “A Primer on Literacy and Communication in Rett Syndrome” by David... http://t.co/hMUWqQUgT2,7.7661247,http://twitter.com/Rettsyndrome/status/474611376632373248,http://twitter.com/rettsyndrome
06/05/14,http://twitter.com/rettsyndrome/status/474612156441575424,rettsyndrome,The WDR5 gene is linked to adult regression of symptoms &amp; implicated in #Rettsyndrome. WDR5 was originally linked... http://t.co/Tt9bxC4UyJ,7.113503,http://twitter.com/Rettsyndrome/status/474612156441575424,http://twitter.com/rettsyndrome
06/05/14,http://twitter.com/specialmommyx2/status/474621660234911744,specialmommyx2,RT @girlpower2cure: RT @erabke: I #love their relationship!  #sistersforlife #littlesishelpingbigsis #lovedoes #rettsyndrome… http://t.co/z…,7.2799783,http://twitter.com/specialmommyx2/status/474621660234911744,http://twitter.com/specialmommyx2
06/06/14,http://twitter.com/suzynewhouse/status/474932095152705538,suzynewhouse,#DocMcStuffins #Gwaggles #CureRett #RettSyndrome #RettSyndromeAwareness #Scoliosis #standing http://t.co/9szItK6CxB,7.167662,http://twitter.com/SuzyNewhouse/status/474932095152705538,http://twitter.com/suzynewhouse
06/07/14,http://twitter.com/mumof3_monkeys/status/475238324030799873,mumof3_monkeys,Walking practice #physio #rettsyndrome http://t.co/rW1NIZVXWM,8.321642,http://twitter.com/mumof3_monkeys/status/475238324030799873,http://twitter.com/mumof3_monkeys
06/09/14,http://twitter.com/revsarahweaver/status/475990123172364288,revsarahweaver,Hugs from this kid make my day. #latergram #childrensday #rettsyndrome #rettsucks #fighter http://t.co/qTn7Quffdk,8.377877,http://twitter.com/RevSarahWeaver/status/475990123172364288,http://twitter.com/revsarahweaver
06/09/14,http://twitter.com/ellenrosela/status/476004455825960961,ellenrosela,@hotkrust @ryan_dalziel @jaxhockey We r grateful 4 @ryan_dalziel as he has a heart of gold! Hannah's grandma #RettSyndrome @RSRT,7.8404145,http://twitter.com/EllenRoseLA/status/476004455825960961,http://twitter.com/ellenrosela
06/09/14,http://twitter.com/hotkrust/status/476005936742420480,hotkrust,RT @EllenRoseLA: @hotkrust @ryan_dalziel @jaxhockey We r grateful 4 @ryan_dalziel as he has a heart of gold! Hannah's grandma #RettSyndrome…,6.832649,http://twitter.com/hotkrust/status/476005936742420480,http://twitter.com/hotkrust
