firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/hospitalsapollo/status/473011763261472768,hospitalsapollo,Symptoms of Uterine #Fibroids: Swelling or bloating of the abdomen. Heavy menstrual flow. Bladder problems. Low backache.,9.837211,http://twitter.com/HospitalsApollo/status/473011763261472768,http://twitter.com/hospitalsapollo
06/01/14,http://twitter.com/108ambulance/status/473017606778421248,108ambulance,RT @HospitalsApollo: Symptoms of Uterine #Fibroids: Swelling or bloating of the abdomen. Heavy menstrual flow. Bladder problems. Low backac…,7.22259,http://twitter.com/108Ambulance/status/473017606778421248,http://twitter.com/108ambulance
06/01/14,http://twitter.com/kakanirathna/status/473047397526798336,kakanirathna,RT @HospitalsApollo: Symptoms of Uterine #Fibroids: Swelling or bloating of the abdomen. Heavy menstrual flow. Bladder problems. Low backac…,7.22259,http://twitter.com/kakanirathna/status/473047397526798336,http://twitter.com/kakanirathna
06/01/14,http://twitter.com/fibroidsuk/status/473052336584396800,fibroidsuk,For more information about fibroids and fibroid embolisation visit http://t.co/h0AGs7tfCA - pls RT - help raise awareness #fibroids,10.22643,http://twitter.com/FibroidsUK/status/473052336584396800,http://twitter.com/fibroidsuk
06/01/14,http://twitter.com/regishradhakris/status/473140765703434241,regishradhakris,RT @HospitalsApollo: Symptoms of Uterine #Fibroids: Swelling or bloating of the abdomen. Heavy menstrual flow. Bladder problems. Low backac…,7.22259,http://twitter.com/regishradhakris/status/473140765703434241,http://twitter.com/regishradhakris
06/01/14,http://twitter.com/vivantlifestyle/status/473166898948218880,vivantlifestyle,Join me on 6/14 for the #TFP #Fibroids Online Conference! Get informed! Register now! http://t.co/gTJ7UYkOdK http://t.co/s1WmMgDc3f,11.052174,http://twitter.com/VivantLifestyle/status/473166898948218880,http://twitter.com/vivantlifestyle
06/01/14,http://twitter.com/fibroidsproject/status/473167092532129792,fibroidsproject,@ItzMeyeStory Thanks for registering for the Online Fibroids Conference &amp; supporting http://t.co/Q6Sb1xkryx #Fibroids,8.262245,http://twitter.com/FibroidsProject/status/473167092532129792,http://twitter.com/fibroidsproject
06/01/14,http://twitter.com/tanya_thompson/status/473187133222817792,fibroidsproject,RT @tanya_thompson: Join me @FibroidsProject &amp; #medical #experts on 6/14 @ 9 AM for a conference addressing the #epidemic of #fibroids. htt…,7.814297,http://twitter.com/FibroidsProject/status/473187655266869249,http://twitter.com/fibroidsproject
06/02/14,http://twitter.com/fibroidsproject/status/473314695110471681,fibroidsproject,@DrOz 1 Virtual Conference + Top Uterine #Fibroids Physicians/Researchers + Women Eager 4 Info = #PatientEducation http://t.co/7x3qMjHPep,7.327204,http://twitter.com/FibroidsProject/status/473314695110471681,http://twitter.com/fibroidsproject
06/02/14,http://twitter.com/kellilesser/status/473426199088099328,kellilesser,#Fibroids: A common problem few women talk about  http://t.co/t1R0qV2JTd  #Africa #globalhealth #MCH #womenshealth,7.550134,http://twitter.com/kellilesser/status/473426199088099328,http://twitter.com/kellilesser
06/02/14,http://twitter.com/fibroidsproject/status/473438741378248704,fibroidsproject,"""Myomectomy, scheduled"" - http://t.co/1iXy36WqEm #TFP #Fibroids",7.7081704,http://twitter.com/FibroidsProject/status/473438741378248704,http://twitter.com/fibroidsproject
06/02/14,http://twitter.com/vivantlifestyle/status/473449671625433089,vivantlifestyle,Don't Wait! Join me Sat 6/14 for the Uterine #Fibroids Online Conference! Register now! #TFP http://t.co/vSLnrLlIUQ http://t.co/HC7keAjsii,11.908751,http://twitter.com/VivantLifestyle/status/473449671625433089,http://twitter.com/vivantlifestyle
06/02/14,http://twitter.com/fibroidsproject/status/473454533520400384,fibroidsproject,@allabtE I know! It's happening all over the country!! Women are given hysterectomies as their only option. Unacceptable! #fibroids,7.4757376,http://twitter.com/FibroidsProject/status/473454533520400384,http://twitter.com/fibroidsproject
06/02/14,http://twitter.com/godssoldier23/status/473457892725518337,godssoldier23,RT @tanya_thompson: Join me @FibroidsProject &amp; #medical #experts on 6/14 @ 9 AM for a conference addressing the #epidemic of #fibroids. htt…,6.923701,http://twitter.com/GodsSoldier23/status/473457892725518337,http://twitter.com/godssoldier23
06/02/14,http://twitter.com/valloryclardy/status/473459545130668032,valloryclardy,RT @VivantLifestyle: Don't Wait! Join me Sat 6/14 for the Uterine #Fibroids Online Conference! Register now! #TFP http://t.co/vSLnrLlIUQ ht…,7.418583,http://twitter.com/ValloryClardy/status/473459545130668032,http://twitter.com/valloryclardy
06/02/14,http://twitter.com/goodhealth/status/473518046683074560,goodhealth,How did one woman beat #fibroids &amp; get #pregnant? Read her story in @Essencemag http://t.co/xPz6bKT2We &amp; share yours: http://t.co/JdV1Pbss2y,13.392051,http://twitter.com/goodhealth/status/473518046683074560,http://twitter.com/goodhealth
06/02/14,http://twitter.com/joetea48/status/473518238790610944,joetea48,RT @goodhealth: How did one woman beat #fibroids &amp; get #pregnant? Read her story in @Essencemag http://t.co/xPz6bKT2We &amp; share yours: http:…,6.9405117,http://twitter.com/joetea48/status/473518238790610944,http://twitter.com/joetea48
06/02/14,http://twitter.com/time_inc/status/473518861569249280,time_inc,RT @goodhealth: How did one woman beat #fibroids &amp; get #pregnant? Read her story in @Essencemag http://t.co/xPz6bKT2We &amp; share yours: http:…,10.176278,http://twitter.com/Time_Inc/status/473518861569249280,http://twitter.com/time_inc
06/02/14,http://twitter.com/tryphom/status/473518981748654081,tryphom,RT @goodhealth: How did one woman beat #fibroids &amp; get #pregnant? Read her story in @Essencemag http://t.co/xPz6bKT2We &amp; share yours: http:…,6.9405117,http://twitter.com/Tryphom/status/473518981748654081,http://twitter.com/tryphom
06/02/14,http://twitter.com/faranakgroves/status/473520376480149504,faranakgroves,RT @goodhealth: How did one woman beat #fibroids &amp; get #pregnant? Read her story in @Essencemag http://t.co/xPz6bKT2We &amp; share yours: http:…,6.9405117,http://twitter.com/FaranakGroves/status/473520376480149504,http://twitter.com/faranakgroves
