firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/drdonsdizon/status/473113368966864899,drdonsdizon,"Really interesting findings, Abstr 5502- C. Gourley re: mol subtype of hi-grade serous #ovca &amp; bev #gyncsm #ASCO14 http://t.co/X1ul6OGE8E",9.096001,http://twitter.com/drdonsdizon/status/473113368966864899,http://twitter.com/drdonsdizon
06/01/14,http://twitter.com/brcaresponder/status/473113752879898624,brcaresponder,"RT @drdonsdizon: Really interesting findings, Abstr 5502- C. Gourley re: mol subtype of hi-grade serous #ovca &amp; bev #gyncsm #ASCO14 http://…",6.532157,http://twitter.com/BRCAresponder/status/473113752879898624,http://twitter.com/brcaresponder
06/01/14,http://twitter.com/teamoncology/status/473113856319823872,teamoncology,"RT @drdonsdizon: Really interesting findings, C. Gourley re: mol subtype of hi-grade serous #ovca &amp;amp; bev #ASCO14 http://t.co/xIRdMyTjgX",10.407916,http://twitter.com/teamoncology/status/473113856319823872,http://twitter.com/teamoncology
06/01/14,http://twitter.com/womenofteal/status/473121616126550016,womenofteal,Today is National Cancer Survivors Day. #NCSD2014 @SurvivorsDay I am celebrating and enjoying 9 years as a Stage 3 #ovca survivor. #gyncsm,9.071754,http://twitter.com/womenofteal/status/473121616126550016,http://twitter.com/womenofteal
06/01/14,http://twitter.com/thisissheerious/status/473121875078307840,thisissheerious,RT @womenofteal: Today is National Cancer Survivors Day. #NCSD2014 @SurvivorsDay I am celebrating and enjoying 9 years as a Stage 3 #ovca s…,7.160854,http://twitter.com/ThisIsSheerious/status/473121875078307840,http://twitter.com/thisissheerious
06/01/14,http://twitter.com/fmusa_nyu/status/473127146756771840,fmusa_nyu,"RT @drdonsdizon: Really interesting findings, Abstr 5502- C. Gourley re: mol subtype of hi-grade serous #ovca &amp; bev #gyncsm #ASCO14 http://…",6.532157,http://twitter.com/fmusa_nyu/status/473127146756771840,http://twitter.com/fmusa_nyu
06/01/14,http://twitter.com/shewithlynch/status/473143618245771264,shewithlynch,RT @womenofteal: Today is National Cancer Survivors Day. #NCSD2014 @SurvivorsDay I am celebrating and enjoying 9 years as a Stage 3 #ovca s…,7.160854,http://twitter.com/ShewithLynch/status/473143618245771264,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/tracilynnfew/status/473143923754299392,tracilynnfew,RT @womenofteal: Today is National Cancer Survivors Day. #NCSD2014 @SurvivorsDay I am celebrating and enjoying 9 years as a Stage 3 #ovca s…,7.160854,http://twitter.com/tracilynnfew/status/473143923754299392,http://twitter.com/tracilynnfew
06/01/14,http://twitter.com/ascopost/status/473215387786825728,ascopost,Two drug combo boosts ovarian cancer survival (via @CityOfHope) http://t.co/qswQDcjejx #ASCO14 #gynca #ovca,12.474746,http://twitter.com/ASCOPost/status/473215387786825728,http://twitter.com/ascopost
06/01/14,http://twitter.com/twittmanda/status/473215639860289537,twittmanda,RT @ASCOPost: Two drug combo boosts ovarian cancer survival (via @CityOfHope) http://t.co/qswQDcjejx #ASCO14 #gynca #ovca,7.15607,http://twitter.com/twittmanda/status/473215639860289537,http://twitter.com/twittmanda
06/01/14,http://twitter.com/pspbiz1/status/473216487365554176,pspbiz1,RT @ASCOPost: Two drug combo boosts ovarian cancer survival (via @CityOfHope) http://t.co/qswQDcjejx #ASCO14 #gynca #ovca,7.15607,http://twitter.com/pspbiz1/status/473216487365554176,http://twitter.com/pspbiz1
06/01/14,http://twitter.com/desanctisjuan/status/473217271843000321,desanctisjuan,RT @ASCOPost: Two drug combo boosts ovarian cancer survival (via @CityOfHope) http://t.co/qswQDcjejx #ASCO14 #gynca #ovca,7.15607,http://twitter.com/DesanctisJuan/status/473217271843000321,http://twitter.com/desanctisjuan
06/01/14,http://twitter.com/polatdursun/status/473218720446566400,polatdursun,RT @ASCOPost: Two drug combo boosts ovarian cancer survival (via @CityOfHope) http://t.co/qswQDcjejx #ASCO14 #gynca #ovca,7.15607,http://twitter.com/PolatDursun/status/473218720446566400,http://twitter.com/polatdursun
06/01/14,http://twitter.com/josico99/status/473223512115908610,josico99,RT @ASCOPost: Two drug combo boosts ovarian cancer survival (via @CityOfHope) http://t.co/qswQDcjejx #ASCO14 #gynca #ovca,7.15607,http://twitter.com/josico99/status/473223512115908610,http://twitter.com/josico99
06/02/14,http://twitter.com/curepanel/status/473446079564759040,curepanel,RT @ASCOPost: Two drug combo boosts ovarian cancer survival (via @CityOfHope) http://t.co/qswQDcjejx #ASCO14 #gynca #ovca,7.15607,http://twitter.com/CurePanel/status/473446079564759040,http://twitter.com/curepanel
06/02/14,http://twitter.com/pigstrough/status/473530302380666880,pigstrough,#funfunfun #pepa #pig #i #ovca #suzi #nay #bicikli #great #yolo #mini #tv #hehe #bas #sam #djete #tak #i #treba #... http://t.co/oMGy67Qdf5,6.780378,http://twitter.com/PigsTrough/status/473530302380666880,http://twitter.com/pigstrough
06/02/14,http://twitter.com/missionsrn/status/473611173959450624,missionsrn,RT @AACR: .@shannonmiller96 shares her #ovariancancer story for #NCRM14: http://t.co/GlX0mlGEJY #ovca http://t.co/TMVorL6Gd8,7.46782,http://twitter.com/MissionsRN/status/473611173959450624,http://twitter.com/missionsrn
06/04/14,http://twitter.com/womenofteal/status/473990646181556226,womenofteal,"RT @drdonsdizon: Really interesting findings, Abstr 5502- C. Gourley re: mol subtype of hi-grade serous #ovca &amp; bev #gyncsm #ASCO14 http://…",6.532157,http://twitter.com/womenofteal/status/473990646181556226,http://twitter.com/womenofteal
06/04/14,http://twitter.com/cacipicasso/status/474332872724471809,cacipicasso,#me  #love #happy  #kur #od #ovca #lovely #selfie,7.7330575,http://twitter.com/CaciPicasso/status/474332872724471809,http://twitter.com/cacipicasso
06/06/14,http://twitter.com/ascopost/status/474900108853936128,ascopost,Cediranib + Olaparib Significantly Increases PFS in Women w/Recurrent Ovarian Cancer http://t.co/Fd5KamyS1v #ASCO14 #ovca #gyncsm,12.209676,http://twitter.com/ASCOPost/status/474900108853936128,http://twitter.com/ascopost
06/06/14,http://twitter.com/dramarivirg/status/474900433396580353,dramarivirg,RT @ASCOPost: Cediranib + Olaparib Significantly Increases PFS in Women w/Recurrent Ovarian Cancer http://t.co/Fd5KamyS1v #ASCO14 #ovca #gy…,6.907839,http://twitter.com/dramarivirg/status/474900433396580353,http://twitter.com/dramarivirg
06/06/14,http://twitter.com/ilatersa/status/474960213729370113,ilatersa,RT @ASCOPost: Cediranib + Olaparib Significantly Increases PFS in Women w/Recurrent Ovarian Cancer http://t.co/Fd5KamyS1v #ASCO14 #ovca #gy…,6.907839,http://twitter.com/ilatersa/status/474960213729370113,http://twitter.com/ilatersa
