firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/cancerdotnet/status/473069346777231360,cancerdotnet,"Just released! Patient summaries on #ASCO14 highlights on breast, colorectal, &amp; prostate ca #pcsm #crcsm #bcsm http://t.co/SSOL3MmvXY",6.979737,http://twitter.com/CancerDotNet/status/473069346777231360,http://twitter.com/cancerdotnet
06/01/14,http://twitter.com/asco/status/473071452854681600,asco,"#ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #crcsm",12.842421,http://twitter.com/ASCO/status/473071452854681600,http://twitter.com/asco
06/01/14,http://twitter.com/dmooneymd/status/473073301477015553,dmooneymd,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.9284782,http://twitter.com/dmooneymd/status/473073301477015553,http://twitter.com/dmooneymd
06/01/14,http://twitter.com/penrynpam/status/473074473110077440,penrynpam,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.9284782,http://twitter.com/PenrynPam/status/473074473110077440,http://twitter.com/penrynpam
06/01/14,http://twitter.com/lollycabbage81/status/473075629861380097,lollycabbage81,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.9284782,http://twitter.com/Lollycabbage81/status/473075629861380097,http://twitter.com/lollycabbage81
06/01/14,http://twitter.com/palliverse/status/473084890334760960,palliverse,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.9284782,http://twitter.com/palliverse/status/473084890334760960,http://twitter.com/palliverse
06/01/14,http://twitter.com/equicarehealth/status/473085986902396928,equicarehealth,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.9284782,http://twitter.com/EquicareHealth/status/473085986902396928,http://twitter.com/equicarehealth
06/01/14,http://twitter.com/celgene/status/473087871260577792,celgene,Head to E354b GI (noncolorectal) Cancer session to learn about the latest in #pancreatic cancer #pcsm #ASCO14 http://t.co/SWWT1abqd2,7.111075,http://twitter.com/Celgene/status/473087871260577792,http://twitter.com/celgene
06/01/14,http://twitter.com/asco/status/473090597558177792,asco,Plenary press briefing #ASCO14: Dr. Sweeney presents results of phase III E3805 prostate cancer study. #pcsm,10.512461,http://twitter.com/ASCO/status/473090597558177792,http://twitter.com/asco
06/01/14,http://twitter.com/asco/status/473091892469858304,asco,Plenary briefing #ASCO14: Study evaluates hormone therapy w/ or w/o chemo for men w/ newly-diagnosed met. prostate cancer. #pcsm,11.426022,http://twitter.com/ASCO/status/473091892469858304,http://twitter.com/asco
06/01/14,http://twitter.com/asco/status/473092091875426304,asco,"Plenary brief #ASCO14: Adding docetaxel to std hormone therapy provides substantial survival benefit, ~13 mos – Dr Sweeney #pcsm",12.349958,http://twitter.com/ASCO/status/473092091875426304,http://twitter.com/asco
06/01/14,http://twitter.com/shewithlynch/status/473092366153166848,shewithlynch,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.9284782,http://twitter.com/ShewithLynch/status/473092366153166848,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/dmooneymd/status/473093148604768256,dmooneymd,"RT @ASCO: Plenary brief #ASCO14: Adding docetaxel to std hormone therapy provides substantial survival benefit, ~13 mos – Dr Sweeney #pcsm",6.7445283,http://twitter.com/dmooneymd/status/473093148604768256,http://twitter.com/dmooneymd
06/01/14,http://twitter.com/subatomicdoc/status/473094337606459392,subatomicdoc,"MT @lanisia: Early Chemotherapy Extends Lives of Men With Prostate Cancer, Study Finds, via @nytimes http://t.co/QF5oNzwf4f / #pcsm",12.068319,http://twitter.com/subatomicdoc/status/473094337606459392,http://twitter.com/subatomicdoc
06/01/14,http://twitter.com/drcbsteer/status/473095181454307328,drcbsteer,"RT @subatomicdoc: MT @lanisia: Early Chemotherapy Extends Lives of Men With Prostate Cancer, Study Finds, via @nytimes http://t.co/QF5oNzwf…",7.237541,http://twitter.com/drcbsteer/status/473095181454307328,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/andybiotech/status/473095253432762369,andybiotech,"$MDVN Enzalutamide Ph3 PREVAIL Data in Pre-Chemo mCRPC Published in NEJM http://t.co/4G11Fdaa0q
#ASCO14 #PCSM http://t.co/JA12AN6jjw",12.58581,http://twitter.com/AndyBiotech/status/473095253432762369,http://twitter.com/andybiotech
06/01/14,http://twitter.com/josico99/status/473096562361774081,josico99,"RT @ASCO: Plenary brief #ASCO14: Adding docetaxel to std hormone therapy provides substantial survival benefit, ~13 mos – Dr Sweeney #pcsm",6.7445283,http://twitter.com/josico99/status/473096562361774081,http://twitter.com/josico99
06/01/14,http://twitter.com/zizo_mb/status/473097309841293312,zizo_mb,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.9284782,http://twitter.com/zizo_mb/status/473097309841293312,http://twitter.com/zizo_mb
06/01/14,http://twitter.com/drcbsteer/status/473097531069825024,drcbsteer,"RT @AndyBiotech: $MDVN Enzalutamide Ph3 PREVAIL Data in Pre-Chemo mCRPC Published in NEJM http://t.co/4G11Fdaa0q
#ASCO14 #PCSM http://t.co/…",6.672332,http://twitter.com/drcbsteer/status/473097531069825024,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/urology_el/status/473097685357326336,urology_el,RT @ASCO: Plenary briefing #ASCO14: Study evaluates hormone therapy w/ or w/o chemo for men w/ newly-diagnosed met. prostate cancer. #pcsm,6.869741,http://twitter.com/Urology_EL/status/473097685357326336,http://twitter.com/urology_el
06/01/14,http://twitter.com/subatomicdoc/status/473097932829642752,subatomicdoc,Site of visceral metastases predict overall survival in castration-resistant prostate cancer (CRPC) http://t.co/88jRETagQk #ASCO14 #pcsm,11.621431,http://twitter.com/subatomicdoc/status/473097932829642752,http://twitter.com/subatomicdoc
06/01/14,http://twitter.com/dsobek/status/473097959157297152,dsobek,"RT @AndyBiotech: $MDVN Enzalutamide Ph3 PREVAIL Data in Pre-Chemo mCRPC Published in NEJM http://t.co/4G11Fdaa0q
#ASCO14 #PCSM http://t.co/…",9.866601,http://twitter.com/dsobek/status/473097959157297152,http://twitter.com/dsobek
