firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/ucd_chesthealth/status/472996142150475777,ucd_chesthealth,@SenFeinstein and other US senators in rare bipartisan effort fight for CMS to support #lungcancer screening. http://t.co/REg0dnKZOl #LCSM,7.1458554,http://twitter.com/UCD_ChestHealth/status/472996142150475777,http://twitter.com/ucd_chesthealth
06/01/14,http://twitter.com/curecancerucl/status/473016402237202432,curecancerucl,"“@talkabouthealth: What is the current status of molecular pathology for #lungcancer? Dr.Aisner @uchmedia
http://t.co/h4jU1kI0qV #lcsm",11.201488,http://twitter.com/CureCancerUCL/status/473016402237202432,http://twitter.com/curecancerucl
03/27/14,http://twitter.com/talkabouthealth/status/449332349793083392,curecancerucl,"RT @talkabouthealth: What is the current status of molecular pathology for #lungcancer? Dr.Aisner @uchmedia
http://t.co/WzcFNfRqR3 #lcsm #c…",6.6704955,http://twitter.com/CureCancerUCL/status/473016412215447552,http://twitter.com/curecancerucl
06/01/14,http://twitter.com/crystaleitnier/status/473032889006051328,crystaleitnier,"RT @CureCancerUCL: “@talkabouthealth: What is the current status of molecular pathology for #lungcancer? Dr.Aisner @uchmedia
http://t.co/h4…",6.6214113,http://twitter.com/CrystalEitnier/status/473032889006051328,http://twitter.com/crystaleitnier
06/01/14,http://twitter.com/n8pennell/status/473062514222055424,n8pennell,"Join me at lung cancer poster highlights session in S404 at 8-11, excited about 2 adjuvant erlotinib in EGFR mut+ trials! #ASCO14 #LCSM",7.2647343,http://twitter.com/n8pennell/status/473062514222055424,http://twitter.com/n8pennell
06/01/14,http://twitter.com/afaxon23/status/473064275502968832,afaxon23,"""@BairdAM: #lcsm ""@matthewherper: Eli Lilly Lung Cancer Drug May Succeed Where Avastin Failed #ASCO14 http://t.co/HOpf4qdJZs""""",6.8262224,http://twitter.com/afaxon23/status/473064275502968832,http://twitter.com/afaxon23
06/01/14,http://twitter.com/tony_calles/status/473065435987189760,tony_calles,"RT @n8pennell: Join me at lung cancer poster highlights session in S404 at 8-11, excited about 2 adjuvant erlotinib in EGFR mut+ trials! #A…",6.2735357,http://twitter.com/Tony_Calles/status/473065435987189760,http://twitter.com/tony_calles
06/01/14,http://twitter.com/lungcancerfaces/status/473069075099181056,lungcancerfaces,"MT @drdonsdizon: ""Clinically meaningful"" depends on clinical context. Ramucirumab in Lung Cancer http://t.co/FgGOYkvi8u #ASCO14 #LCSM",6.843112,http://twitter.com/LungCancerFaces/status/473069075099181056,http://twitter.com/lungcancerfaces
06/01/14,http://twitter.com/robertwalker10/status/473069791058481152,robertwalker10,Good morning Chicago great day for @GoToPER NSCLC satellite @ 7pm @ Hyatt Regency -info @ booth 5099 #ASCO14 #LCSM http://t.co/faSipDjnwK,6.758778,http://twitter.com/robertwalker10/status/473069791058481152,http://twitter.com/robertwalker10
06/01/14,http://twitter.com/mtmdphd/status/473076691028672512,mtmdphd,Stopping smoking graphic retweeted throughout the world http://t.co/71btfXRyu0 HT @NACCHOAustralia #lcsm,13.229284,http://twitter.com/mtmdphd/status/473076691028672512,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/aftimosp/status/473077313282641921,aftimosp,Ramucirumab and Marginal Benefit in Lung Cancer &gt;&gt;&gt; marginal because no biomarkers for anti-angiogenics http://t.co/k43H8f3VlR #ASCO14 #lcsm,6.612346,http://twitter.com/aftimosp/status/473077313282641921,http://twitter.com/aftimosp
06/01/14,http://twitter.com/bairdam/status/473077911088414721,bairdam,"#lcsm MT ""@drdonsdizon: 'Clinically meaningful' depends on clinical context. RE: Ramucirumab in #LungCancer http://t.co/8NuFplR8ZV #ASCO14""",8.475147,http://twitter.com/BairdAM/status/473077911088414721,http://twitter.com/bairdam
06/01/14,http://twitter.com/mykalt45/status/473078093691637760,mykalt45,"RT @BairdAM: #lcsm MT ""@drdonsdizon: 'Clinically meaningful' depends on clinical context. RE: Ramucirumab in #LungCancer http://t.co/8NuFpl…",6.619225,http://twitter.com/Mykalt45/status/473078093691637760,http://twitter.com/mykalt45
06/01/14,http://twitter.com/jedipd/status/473080079996977152,jedipd,Quit the Cancer Stick! RT @mtmdphd: Stopping smoking graphic retweeted throughout the world http://t.co/6V3N2HhrMu HT @NACCHOAustralia #lcsm,11.789438,http://twitter.com/JediPD/status/473080079996977152,http://twitter.com/jedipd
06/01/14,http://twitter.com/philtalamo/status/473080082093727744,philtalamo,Another day at #ASCO14 - don't forget tonight is our @GoToPER Lung Cancer CME Satellite! At the Hyatt on Wacker #LCSM http://t.co/udRhQkcv45,7.611633,http://twitter.com/philtalamo/status/473080082093727744,http://twitter.com/philtalamo
06/01/14,http://twitter.com/calvinswine905/status/473080611456819201,calvinswine905,RT @JediPD: Quit the Cancer Stick! RT @mtmdphd: Stopping smoking graphic retweeted throughout the world http://t.co/6V3N2HhrMu HT @NACCHOAu…,7.022302,http://twitter.com/CalvinSwine905/status/473080611456819201,http://twitter.com/calvinswine905
06/01/14,http://twitter.com/tony_calles/status/473082620243615744,tony_calles,Heading to lung cancer poster highlight session. Looks very interesting. #ASCO14 #LCSM http://t.co/dYhW38GQXu,7.3459325,http://twitter.com/Tony_Calles/status/473082620243615744,http://twitter.com/tony_calles
06/01/14,http://twitter.com/bairdam/status/473087427221794817,bairdam,"#lcsm MT ""@n8pennell: Another driver oncogene in NSCLC, HER2 mutations, in 2.6% of adeno in LCMC #ASCO14 http://t.co/UqKnYoan67""",6.405497,http://twitter.com/BairdAM/status/473087427221794817,http://twitter.com/bairdam
06/01/14,http://twitter.com/bairdam/status/473087936120909824,bairdam,"#lcsm RT ""@rdoebele: ALK, ROS1 and now NTRK1: Study Shows Prevalence of New Genetic Driver in Lung Cancer http://t.co/D45ivayMMS""",6.745358,http://twitter.com/BairdAM/status/473087936120909824,http://twitter.com/bairdam
06/01/14,http://twitter.com/samjkatz/status/473089876095954945,samjkatz,RT @mtmdphd: Stopping smoking graphic retweeted throughout the world http://t.co/71btfXRyu0 HT @NACCHOAustralia #lcsm,7.294004,http://twitter.com/SamJKatz/status/473089876095954945,http://twitter.com/samjkatz
06/01/14,http://twitter.com/twittmanda/status/473093918037651456,twittmanda,RT @mtmdphd: Stopping smoking graphic retweeted throughout the world http://t.co/71btfXRyu0 HT @NACCHOAustralia #lcsm,7.294004,http://twitter.com/twittmanda/status/473093918037651456,http://twitter.com/twittmanda
