firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/soundsleepinst/status/473015522871631872,soundsleepinst,Athletes Fight Sleep with Sleep Aids http://t.co/0hnLTMDwlH #News #SleepApnea #SleepNews #Sports,7.71127,http://twitter.com/SoundSleepInst/status/473015522871631872,http://twitter.com/soundsleepinst
06/01/14,http://twitter.com/blackstonemed/status/473041433109475328,blackstonemed,A preliminary new study showed that both men and women with #sleepapnea are at increased risk of stroke. http://t.co/QafxLW06sF,7.8106213,http://twitter.com/BlackstoneMed/status/473041433109475328,http://twitter.com/blackstonemed
06/01/14,http://twitter.com/midlodental/status/473071618034782209,midlodental,The #dental screening that could save your life if you have #sleepapnea: http://t.co/rKiqzsmuJc,8.235816,http://twitter.com/MidloDental/status/473071618034782209,http://twitter.com/midlodental
06/01/14,http://twitter.com/sleepapneacure/status/473079157396496384,sleepapneacure,"#ReggieSmith had it. Do you know what sports figures, celebrities and historical figures have/had #sleepapnea?http://t.co/2hPG8fUEru",8.263235,http://twitter.com/SleepApneaCure/status/473079157396496384,http://twitter.com/sleepapneacure
06/01/14,http://twitter.com/joseignaciodel/status/473082893192163328,joseignaciodel,"RT @SleepApneaCure: #ReggieSmith had it. Do you know what sports figures, celebrities and historical figures have/had #sleepapnea?http://t.…",7.1812024,http://twitter.com/JOSEIGNACIODEL/status/473082893192163328,http://twitter.com/joseignaciodel
06/01/14,http://twitter.com/samcdayton/status/473088652365811713,samcdayton,RT @JolieIsabellas1: how to stop snoring - breakthrough science http://t.co/UaanHLc9cH #sleepapnea,7.483259,http://twitter.com/SamCDayton/status/473088652365811713,http://twitter.com/samcdayton
06/01/14,http://twitter.com/qualisom1/status/473101733179445250,qualisom1,The #dental screening that could save your life if you have #sleepapnea: http://t.co/2zHjUDch3V,8.32585,http://twitter.com/qualisom1/status/473101733179445250,http://twitter.com/qualisom1
06/01/14,http://twitter.com/meadedds/status/473101741987479553,meadedds,Anyone else out there have trouble #sleeping last night? #insomnia #sleepapnea http://t.co/MlbP65GULo,7.717376,http://twitter.com/MeadeDDS/status/473101741987479553,http://twitter.com/meadedds
06/01/14,http://twitter.com/ronaldsingerdds/status/473117318294544384,ronaldsingerdds,The #dental screening that could save your life if you have #sleepapnea: http://t.co/KQZkyqHN6G,8.16599,http://twitter.com/RonaldSingerDDS/status/473117318294544384,http://twitter.com/ronaldsingerdds
06/01/14,http://twitter.com/kingsbeachdenti/status/473117334677512192,kingsbeachdenti,The #dental screening that could save your life if you have #sleepapnea: http://t.co/bEeuZ1eUbf,8.16599,http://twitter.com/KingsBeachDenti/status/473117334677512192,http://twitter.com/kingsbeachdenti
06/01/14,http://twitter.com/roosdentalcare/status/473117353388298241,roosdentalcare,The #dental screening that could save your life if you have #sleepapnea: http://t.co/jI7mKspOwd,8.199669,http://twitter.com/RoosDentalCare/status/473117353388298241,http://twitter.com/roosdentalcare
04/15/14,http://twitter.com/jolieisabellas1/status/455971249852669952,findsomeone23,RT @JolieIsabellas1: Simple Actions On Proceeding About Handling Sleep Apnea http://t.co/CqNw0xZTMS #sleepapnea,8.977342,http://twitter.com/findsomeone23/status/473158326482919424,http://twitter.com/findsomeone23
06/01/14,http://twitter.com/1dental/status/473201067711553536,1dental,Wondering why you can't sleep? Check out these reasonings and solutions for #sleepapnea. http://t.co/32oCQjrupE,7.654991,http://twitter.com/1dental/status/473201067711553536,http://twitter.com/1dental
06/01/14,http://twitter.com/sleepapneacure/status/473207689812914176,sleepapneacure,"#ReggieSmith had it. Do you know what sports figures, celebrities and historical figures have/had #sleepapnea?http://t.co/QZUBsnbA1s",7.406461,http://twitter.com/SleepApneaCure/status/473207689812914176,http://twitter.com/sleepapneacure
06/01/14,http://twitter.com/chaseccenter/status/473210286548066311,chaseccenter,#SleepApnea: 3D-printed mouthpiece clears the air for sleep apnea sufferers  - http://t.co/9BbmVaqvLg http://t.co/ykNdVR3BLq,7.145486,http://twitter.com/chaseccenter/status/473210286548066311,http://twitter.com/chaseccenter
06/01/14,http://twitter.com/chetanparikh2/status/473217733765906432,chetanparikh2,"If you wake up with jaw pain, talk to ur dentist, don't rely on OTC mouth guard. Bruxism can cause tooth damage. #RockvilleDMD #sleepapnea",7.209001,http://twitter.com/ChetanParikh2/status/473217733765906432,http://twitter.com/chetanparikh2
06/01/14,http://twitter.com/chetanparikh2/status/473221366905597952,chetanparikh2,Just came back from 23rd Annual Dental sleep Medicine meeting. It was very resourceful &amp; fasinating. #sleepapnea #TMJ #oralappliances #CPAP,6.8756113,http://twitter.com/ChetanParikh2/status/473221366905597952,http://twitter.com/chetanparikh2
06/01/14,http://twitter.com/freehypnosisnet/status/473228911531155456,freehypnosisnet,Sleep apnea? We have the solution! http://t.co/PY5WTPvSE1 #SleepApnea,7.896399,http://twitter.com/FreeHypnosisNet/status/473228911531155456,http://twitter.com/freehypnosisnet
06/02/14,http://twitter.com/luxurybootkamps/status/473376060965666816,luxurybootkamps,RT @JolieIsabellas1: Simple Actions On Proceeding About Handling Sleep Apnea http://t.co/CqNw0xZTMS #sleepapnea,7.59369,http://twitter.com/luxurybootkamps/status/473376060965666816,http://twitter.com/luxurybootkamps
06/02/14,http://twitter.com/medical_xpress/status/473423792631717888,medical_xpress,An ancient molecule underlies the mechanism for #sleepapnea and vascular problems http://t.co/K9XgpHfew4 @yale,9.577673,http://twitter.com/medical_xpress/status/473423792631717888,http://twitter.com/medical_xpress
06/02/14,http://twitter.com/quantumtomcat/status/473429397899591680,quantumtomcat,RT @medical_xpress: An ancient molecule underlies the mechanism for #sleepapnea and vascular problems http://t.co/K9XgpHfew4 @yale,7.282663,http://twitter.com/quantumtomcat/status/473429397899591680,http://twitter.com/quantumtomcat
06/02/14,http://twitter.com/lyssovadental/status/473437717855215617,lyssovadental,"Professional drivers in Europe have less #sleepapnea because they've better system:9 hrs of driving,rest after 4,5;USA:11 hrs &amp; rest after 8",7.306125,http://twitter.com/LyssovaDental/status/473437717855215617,http://twitter.com/lyssovadental
06/02/14,http://twitter.com/sleepapneacure/status/473441619094822912,sleepapneacure,Why do so many #Vets get #sleepapnea disability? Click to find out the answer.http://t.co/darsP1dlLl,7.591272,http://twitter.com/SleepApneaCure/status/473441619094822912,http://twitter.com/sleepapneacure
06/02/14,http://twitter.com/capemedical/status/473462794289807361,capemedical,"Register, Track and Reorder #Sleepapnea therapy supplies with MyResupply. http://t.co/QkCEnaiAMY http://t.co/AZs8SYrTIr",7.7531857,http://twitter.com/CapeMedical/status/473462794289807361,http://twitter.com/capemedical
06/02/14,http://twitter.com/wallyhaddick/status/473465040507400192,wallyhaddick,"Elevated #YKL-40 Found To Be Underlying Vascular Disease in #SleepApnea #Yale

http://t.co/3wsr9LDfk4",7.4124613,http://twitter.com/WallyHaddick/status/473465040507400192,http://twitter.com/wallyhaddick
06/02/14,http://twitter.com/1mariestyles/status/473468270864244736,1disneytardis,So I stop breathing in my sleep. #SleepApnea,8.851981,http://twitter.com/1MarieStyles/status/473468270864244736,http://twitter.com/1disneytardis
06/02/14,http://twitter.com/iamraygrayson/status/473472932270731264,iamraygrayson,"Indeed @rvaughnmd diabetics should all be screened for #sleepapnea, one cause of diabetes...and of heart disease, strokes, dementia, etc",11.749834,http://twitter.com/IAmRayGrayson/status/473472932270731264,http://twitter.com/iamraygrayson
06/02/14,http://twitter.com/sinusblog/status/473478035589857280,sinusblog,Would like to open another conversation on #sleepapnea and it's relation to #atrial-fibrillation open to comments  #sleep #health #heart,7.3149905,http://twitter.com/SinusBlog/status/473478035589857280,http://twitter.com/sinusblog
06/02/14,http://twitter.com/physorg_health/status/473482344817778688,physorg_health,CPAP rapidly improves blood pressure and arterial tone in adults with #sleepapnea http://t.co/SotpHDIMR1 @aasmorg,8.266615,http://twitter.com/physorg_health/status/473482344817778688,http://twitter.com/physorg_health
06/02/14,http://twitter.com/chefalainbraux/status/473486481395179520,chefalainbraux,"RT @IAmRayGrayson: Indeed @rvaughnmd diabetics should all be screened for #sleepapnea, one cause of diabetes...and of heart disease, stroke…",7.220489,http://twitter.com/chefalainbraux/status/473486481395179520,http://twitter.com/chefalainbraux
06/02/14,http://twitter.com/arashinomoui/status/473492573596950529,arashinomoui,"@Scootronic well shit, I’m safe everywhere including while driving in my car! #SleepApnea",7.8106213,http://twitter.com/Arashinomoui/status/473492573596950529,http://twitter.com/arashinomoui
05/02/14,http://twitter.com/chollenback/status/462222350864637952,wake_up_bill,"RT @chollenback: My novel's protagonist has #narcolepsy. While I don't, I do have #sleepapnea, and a good friend with #narcolepsy. #Narcole…",7.2181625,http://twitter.com/wake_up_bill/status/473494653543514114,http://twitter.com/wake_up_bill
06/02/14,http://twitter.com/umhealthsystem/status/473498081695391744,umhealthsystem,"Half of #pregnant women who have #hypertension and #snore unknowingly have a #sleepdisorder: http://t.co/8IScqUymGr, #sleepapnea",10.742277,http://twitter.com/UMHealthSystem/status/473498081695391744,http://twitter.com/umhealthsystem
06/02/14,http://twitter.com/sleepapneacure/status/473509836018434048,sleepapneacure,What is the connection between #Vets and #sleepapnea? Learn more.http://t.co/XnIXG94Lbp,8.568109,http://twitter.com/SleepApneaCure/status/473509836018434048,http://twitter.com/sleepapneacure
06/02/14,http://twitter.com/vccid_/status/473511095106551808,vccid_,Could your child have sleep apnea? Find out here: http://t.co/bAYodT23ZK #sleepapnea #burnaby,8.402982,http://twitter.com/VCCID_/status/473511095106551808,http://twitter.com/vccid_
06/02/14,http://twitter.com/soundsleepinst/status/473511107483541504,soundsleepinst,Lights Out! Dim Light can affect those with Sleep Apnea http://t.co/Qz2CsLF35L #SleepApnea #sleepdisorders #SleepTips,7.4650455,http://twitter.com/SoundSleepInst/status/473511107483541504,http://twitter.com/soundsleepinst
06/02/14,http://twitter.com/petincco/status/473514185083871232,petincco,RT @SleepApneaCure: What is the connection between #Vets and #sleepapnea? Learn more.http://t.co/XnIXG94Lbp,7.454175,http://twitter.com/petincco/status/473514185083871232,http://twitter.com/petincco
06/02/14,http://twitter.com/nightshift2014/status/473521356542193664,nightshift2014,PROUD TO ANNOUCE FDA CLEARANCE OF NIGHTSHIFT #sleepapnea #sleepapnoea #snoring on your back. https://t.co/zrcCHo9F0K http://t.co/daY502w4fU,7.3807874,http://twitter.com/NightShift2014/status/473521356542193664,http://twitter.com/nightshift2014
06/02/14,http://twitter.com/disabilitycon/status/473524706742906880,disabilitycon,VA's sleep apnea patients get top priority for care http://t.co/CBdLN6QnnM via @usatoday #healthcare #veterans #sleepapnea,7.5922556,http://twitter.com/DisabilityCon/status/473524706742906880,http://twitter.com/disabilitycon
06/02/14,http://twitter.com/baronianconsult/status/473530257468035072,baronianconsult,RT @physorg_health: CPAP rapidly improves blood pressure and arterial tone in adults with #sleepapnea http://t.co/SotpHDIMR1 @aasmorg,7.2541003,http://twitter.com/BaronianConsult/status/473530257468035072,http://twitter.com/baronianconsult
