firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/christianindieb/status/473003568942043138,christianindieb,One way Vision Therapy changed my son's life. http://t.co/WzGNB6YCIE #dyslexia #vision #eyes,7.652298,http://twitter.com/ChristianIndieB/status/473003568942043138,http://twitter.com/christianindieb
06/01/14,http://twitter.com/mechtechnl/status/473012280251387905,mechtechnl,Dealing With Dyslexia Through Brain Training http://t.co/NIYelNQnk2 #Dyslexia #brain #brainpower #braintraining,10.504763,http://twitter.com/MechtechNL/status/473012280251387905,http://twitter.com/mechtechnl
06/01/14,http://twitter.com/dyslexiahead/status/473013669945962496,dyslexiahead,Dyslexia awareness week - Dyslexia: News from the web: Parents must remember that dyslexia and... http://t.co/8DRWRZ1FrY #dyslexia,10.468676,http://twitter.com/Dyslexiahead/status/473013669945962496,http://twitter.com/dyslexiahead
06/01/14,http://twitter.com/philliedemps/status/473021559599542272,philliedemps,@LeewaMaate #dyslexia and get YOUR motherfucking feet off of my dash board,7.615687,http://twitter.com/PhillieDemps/status/473021559599542272,http://twitter.com/philliedemps
06/01/14,http://twitter.com/dyslexia2gether/status/473026247237578752,dyslexia2gether,How to 'overcome' #dyslexia : Challenge disabling barriers &amp; change some national policies! It's not all about the individual!,12.477174,http://twitter.com/Dyslexia2gether/status/473026247237578752,http://twitter.com/dyslexia2gether
06/01/14,http://twitter.com/digitamworth/status/473026636318003200,digitamworth,RT @Dyslexia2gether: How to 'overcome' #dyslexia : Challenge disabling barriers &amp; change some national policies! It's not all about the ind…,6.96191,http://twitter.com/Digitamworth/status/473026636318003200,http://twitter.com/digitamworth
06/01/14,http://twitter.com/j_barrowman_fan/status/473027392249008128,j_barrowman_fan,RT @Dyslexia2gether: How to 'overcome' #dyslexia : Challenge disabling barriers &amp; change some national policies! It's not all about the ind…,6.96191,http://twitter.com/J_Barrowman_Fan/status/473027392249008128,http://twitter.com/j_barrowman_fan
06/01/14,http://twitter.com/themorganics/status/473027905929621504,themorganics,RT @Dyslexia2gether: How to 'overcome' #dyslexia : Challenge disabling barriers &amp; change some national policies! It's not all about the ind…,6.96191,http://twitter.com/TheMorganics/status/473027905929621504,http://twitter.com/themorganics
06/01/14,http://twitter.com/pammeanderson/status/473029787762847744,pammeanderson,Dealing With Dyslexia Through Brain Training http://t.co/GA8GhEMn8V #Dyslexia #brain #brainpower #braintraining,7.2723722,http://twitter.com/Pammeanderson/status/473029787762847744,http://twitter.com/pammeanderson
06/01/14,http://twitter.com/aliciiaa97/status/473032986842370048,aliciiaa97,RT @Dyslexia2gether: How to 'overcome' #dyslexia : Challenge disabling barriers &amp; change some national policies! It's not all about the ind…,6.96191,http://twitter.com/Aliciiaa97/status/473032986842370048,http://twitter.com/aliciiaa97
06/01/14,http://twitter.com/flappsthebat/status/473034939899072512,flappsthebat,RT @Dyslexia2gether: How to 'overcome' #dyslexia : Challenge disabling barriers &amp; change some national policies! It's not all about the ind…,6.96191,http://twitter.com/flappsthebat/status/473034939899072512,http://twitter.com/flappsthebat
06/01/14,http://twitter.com/l1lly_c/status/473043675086614528,l1lly_c,Look what I just found! Ten Frixion pens. #dyslexic #dyslexia #erasableink http://t.co/dIQMHZP6U1,10.591688,http://twitter.com/l1lly_c/status/473043675086614528,http://twitter.com/l1lly_c
06/01/14,http://twitter.com/dyslexiahead/status/473044070118744064,dyslexiahead,Dyslexia in art - Dyslexia: News from the web: PBS brings us a good story about an artist with... http://t.co/DaSFTBVNzj #dyslexia,10.473391,http://twitter.com/Dyslexiahead/status/473044070118744064,http://twitter.com/dyslexiahead
06/01/14,http://twitter.com/webkidstore/status/473049587494944768,webkidstore,Could #videogames help kids with #dyslexia learn to read? http://t.co/L9tqLTcs0W,7.6272426,http://twitter.com/webkidstore/status/473049587494944768,http://twitter.com/webkidstore
06/01/14,http://twitter.com/silparacchini/status/473049704331501568,silparacchini,Will present our data on #handedness and #dyslexia at next session C09 Brown 3 hall 13.30 #ESHG14,7.0369773,http://twitter.com/silParacchini/status/473049704331501568,http://twitter.com/silparacchini
06/01/14,http://twitter.com/julesdaulby/status/473051066859536384,julesdaulby,"Long shot - does anyone have a DASH 17+ manual to hand?
Need a quick score. 
#dsa #sen #dyslexia",6.733347,http://twitter.com/JulesDaulby/status/473051066859536384,http://twitter.com/julesdaulby
06/01/14,http://twitter.com/that_quote/status/473052446299009024,that_quote,Dealing With Dyslexia Through Brain Training http://t.co/vUp6TX6m2B #Dyslexia #brain #brainpower #braintraining,7.275601,http://twitter.com/That_Quote/status/473052446299009024,http://twitter.com/that_quote
06/01/14,http://twitter.com/dyslexicculture/status/473053528068734976,mumsnetrichmond,RT @dyslexicculture: @MumsnetRichmond Thanks for the RT and Follow. Do u have any dyslexic mums/dads/ children that could contribute to the…,6.855398,http://twitter.com/MumsnetRichmond/status/473057572443136000,http://twitter.com/mumsnetrichmond
06/01/14,http://twitter.com/pammeanderson/status/473057853369233408,pammeanderson,Dealing With Dyslexia Through Brain Training http://t.co/GA8GhEMn8V #Dyslexia #brain #brainpower #braintraining,7.291327,http://twitter.com/Pammeanderson/status/473057853369233408,http://twitter.com/pammeanderson
06/01/14,http://twitter.com/silent_source/status/473059556407271424,silent_source,Amazing segment on groundbreaking education working w/ #neuroplasticity to combat #dyslexia etc... On @sixtyminutes NOW! #ch9 #onair,7.840985,http://twitter.com/silent_source/status/473059556407271424,http://twitter.com/silent_source
06/01/14,http://twitter.com/marvelousmollie/status/473059578331267072,marvelousmollie,RT @Dyslexia2gether: How to 'overcome' #dyslexia : Challenge disabling barriers &amp; change some national policies! It's not all about the ind…,10.327227,http://twitter.com/marvelousmollie/status/473059578331267072,http://twitter.com/marvelousmollie
06/01/14,http://twitter.com/thefoodswinger/status/473059664150556672,thefoodswinger,RT @silent_source: Amazing segment on groundbreaking education working w/ #neuroplasticity to combat #dyslexia etc... On @sixtyminutes NOW!…,6.794808,http://twitter.com/thefoodswinger/status/473059664150556672,http://twitter.com/thefoodswinger
06/01/14,http://twitter.com/teps35/status/473060032469159936,teps35,Wish this was available when I was in school. #dyslexia-struggler #60Mins #schools #dyslexicculture,7.2499404,http://twitter.com/Teps35/status/473060032469159936,http://twitter.com/teps35
06/01/14,http://twitter.com/laurajpoole/status/473060289156358145,laurajpoole,Maybe brain training is the way forward for some kids? #60minutes #braintrain #dyslexia,7.253341,http://twitter.com/laurajpoole/status/473060289156358145,http://twitter.com/laurajpoole
06/01/14,http://twitter.com/dyslexiahead/status/473074444156801024,dyslexiahead,The trouble with Dyslexia - Dyslexia;News from the web: A personal story that illustrates the issues... http://t.co/f3pjIZgE2J #dyslexia,10.5333,http://twitter.com/Dyslexiahead/status/473074444156801024,http://twitter.com/dyslexiahead
