firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/gemfrazer/status/473231287516663810,gemfrazer,"After another 10 day #Menieres episode, I can't wait to get back to @EnergieMorpeth. 10 weeks til jollies, I better get a move on",8.650182,http://twitter.com/gemfrazer/status/473231287516663810,http://twitter.com/gemfrazer
06/03/14,http://twitter.com/hannahknowland/status/473825903710314496,hannahknowland,Coffee was a bad choice this morning #menieres #mylifeisadizzydance,8.169987,http://twitter.com/HannahKnowland/status/473825903710314496,http://twitter.com/hannahknowland
06/03/14,http://twitter.com/beckyhalloran/status/473848401634029569,beckyhalloran,#tinnitus clinic 2day came home with a white noise inner ear device. Any1 used them b4? #menieres,12.19682,http://twitter.com/beckyhalloran/status/473848401634029569,http://twitter.com/beckyhalloran
06/03/14,http://twitter.com/craigs0309/status/473854634935992320,craigs0309,RT @beckyhalloran: #tinnitus clinic 2day came home with a white noise inner ear device. Any1 used them b4? #menieres,10.559339,http://twitter.com/CraigS0309/status/473854634935992320,http://twitter.com/craigs0309
06/03/14,http://twitter.com/cpowers/status/473855014079717376,cpowers,"If I had the means, I’d be at John Hopkins now. The #vertigo, #menieres, #labyrinths #dizzy #vertigo is getting old http://t.co/JsLBcJ9UEP",10.719252,http://twitter.com/cpowers/status/473855014079717376,http://twitter.com/cpowers
06/03/14,http://twitter.com/menieressociety/status/473856384636030976,menieressociety,RT @beckyhalloran: #tinnitus clinic 2day came home with a white noise inner ear device. Any1 used them b4? #menieres,7.316845,http://twitter.com/MenieresSociety/status/473856384636030976,http://twitter.com/menieressociety
06/03/14,http://twitter.com/cpowers/status/473857245521125377,cpowers,Found an interesting flowchart on dealing with #veda #balance and #menieres http://t.co/ZA0CR5Yuu5,11.190599,http://twitter.com/cpowers/status/473857245521125377,http://twitter.com/cpowers
06/03/14,http://twitter.com/ashleigh_pitt/status/473906632662220800,ashleigh_pitt,It's so hard to live by the philosophy that I am not my disease when I wake up feeling like this. #menieres #ihateyou,9.578917,http://twitter.com/Ashleigh_Pitt/status/473906632662220800,http://twitter.com/ashleigh_pitt
06/04/14,http://twitter.com/k_rae_krazy/status/473985696944758784,k_rae_krazy,"Sweet bejeebus. Having hubby home = more work. Hurricane HubBubster. Time to brave upright, restore order. #menieres #pregnant #earinfection",7.3559284,http://twitter.com/K_Rae_Krazy/status/473985696944758784,http://twitter.com/k_rae_krazy
06/04/14,http://twitter.com/imagescapegirl/status/474110665280716802,imagescapegirl,Going to be a quiet day today #Ménières,8.740666,http://twitter.com/imagescapegirl/status/474110665280716802,http://twitter.com/imagescapegirl
06/04/14,http://twitter.com/sarahemm/status/474160372409044992,sarahemm,One of those days where I have to be careful not to take too long blinking lest I fall over from lack of vision input for balance. #menieres,7.7553678,http://twitter.com/sarahemm/status/474160372409044992,http://twitter.com/sarahemm
06/04/14,http://twitter.com/beautyfordust/status/474209199958679554,abrahamwhoso,RT @BeautyForDust: I am going to be very dizzy today I can already sense it 😥 #Menieres,8.115627,http://twitter.com/AbrahamWhoso/status/474211446847328256,http://twitter.com/abrahamwhoso
06/04/14,http://twitter.com/swt_catastrophe/status/474241850912804864,swt_catastrophe,wearing earbuds in BOTH ears today - I can hear and it doesn't make me feel sick!!! #livingwithmenieres #menieres,7.6077876,http://twitter.com/Swt_Catastrophe/status/474241850912804864,http://twitter.com/swt_catastrophe
06/04/14,http://twitter.com/crystal23_1/status/474285904606294016,crystal23_1,RT @Ashleigh_Pitt: It's so hard to live by the philosophy that I am not my disease when I wake up feeling like this. #menieres #ihateyou,7.6894746,http://twitter.com/crystal23_1/status/474285904606294016,http://twitter.com/crystal23_1
06/04/14,http://twitter.com/beccamcq/status/474292001358499841,beccamcq,#menieres is soooo loud right now,8.749832,http://twitter.com/BeccaMcQ/status/474292001358499841,http://twitter.com/beccamcq
