tweets,cleaned tweets,
 Zody Sauny has phone number +1 765-354-4796. Call now or check http://t.co/n7PeuetwO5 #HEALTH #ZODY #SAUNY #DOCTOR #MIDDLETOWN,"zody,sauny,phone,call,check,#health,#zody,#sauny,#doctor,#middletown",can'tsay
 Zócalo Public Square-What If My Sore Neck is Meningitis? http://t.co/mH1gqBiEcf Thoughtful Testing needed #LessIsMore #ChoosingWisely,"zócalo,public,square,sore,neck,meningitis,thoughtful,testing,#lessismore,#choosingwisely",can'tsay
 ZIOPHARM Oncology to Present at the 38th Annual Deutsche Bank Health Care Conference http://t.co/loaoHMEgf9 #biotech,"ziopharm,oncology,annual,deutsche,bank,health,care,conference,#biotech",can'tsay
 ZIOPHARM Oncology to Present at the 38th Annual Deutsche Bank Health Care Conference http://t.co/JHjGS6e6gq #biotech,"ziopharm,oncology,annual,deutsche,bank,health,care,conference,#biotech",can'tsay
 Zinc Bioresorbable #Stents May Offer Alternative to Permanent Stents | DI #Cardiology http://t.co/kppeGEvWeQ,"zinc,bioresorbable,#stents,offer,alternative,permanent,stents,di,#cardiology",can'tsay
 Zenbu @stephaniepeachh #smile #girls #friends #doctor #zenbu #goodtime #afternoon http://t.co/c2zOO9cQM8,"zenbu,#smile,#girls,#friends,#doctor,#zenbu,#goodtime,#afternoon",can'tsay
" YUCK!  Man, 18, claims he has stomach bug after biting into a worm in his #McDonald's sandwich: #FDA http://t.co/I4Jiv1hFYe @FDA_Drug_Info","yuck,claims,stomach,bug,biting,worm,#mcdonald,sandwich,#fda,drug,info",can'tsay
" You've heard the #healthcare buzzword #PCMH. Heres what a \patient-centered medical home\"" really means: http://t.co/XZb4tDYu1u""","heard,#healthcare,buzzword,#pcmh,heres,patient,centered,medical,home,means",can'tsay
 Your speciality needs you... to write questions for the MRCP(UK) http://t.co/ksLh1hIhIc via @adamgordon1978 #geriatrics #CPD @RCPLondon,"speciality,write,questions,mrcp,uk,via,#geriatrics,#cpd",can'tsay
" Your Genes, Your Choice?  http://t.co/ZIv6FTyaa9 #genomics #ethics","genes,choice,#genomics,#ethics",can'tsay
 Your 5 worst #glutenfree mistakes via @goodhealth http://t.co/9i1sxtIkhw,"worst,#glutenfree,mistakes,via",can'tsay
 Your #Fear Of The #Dentist Doesn’t Impress Me [#Essay] http://t.co/fzPkqXZc3L via @mamapop,"#fear,#dentist,doesn’,impress,#essay,via",can'tsay
 Your #dental #lab still don´t have version 1.9 of our #software? We are already working on v 1.10,"#dental,#lab,don,version,#software",can'tsay
 You think walking ur dog gets u girls... U should try walking ur pump #getfit #backtogym,"walking,ur,dog,girls,try,walking,ur,pump,#getfit,#backtogym",can'tsay
 You may wonder why people on higher incomes are happier with new knees... http://t.co/1lCue8V3rD #Springer #KneeReplacement #orthopaedics,"wonder,people,incomes,happier,knees,#springer,#kneereplacement,#orthopaedics",can'tsay
 You know you've worked out when you can still feel the burn two days later #getfit,"feel,burn,days,#getfit",can'tsay
 You know how people dread going to the #dentist? I feel that way about getting out of bed..,"people,dread,#dentist,feel,getting,bed",can'tsay
 You don't have to go to Collage to be successful &amp; here's proof #Firefighting #EMS http://t.co/fzDOkTrjsi,"collage,successful,proof,#firefighting,#ems",can'tsay
 You become a better #caregiver with each passing day.,"#caregiver,passing,day",can'tsay
" Yhooo kuthand'ukuba nzima!!!RT \@SHOWtibzLOVE: \""King Kong ain't got shit on me\""... Sundays be like Training Day... School is in #ALS\""""","yhooo,kuthand,ukuba,nzima,king,kong,ai,shit,sundays,training,day,school,#als",can'tsay
" Yesss :'D! #BirthdayWeekend!!\@MrMakhosini: We have a MASSIVE #ALS edition this weekend!\""""","yesss,#birthdayweekend,massive,#als,edition,weekend",can'tsay
 Yes I really just took this picture at the pontotoc Walmart #breastfeeding http://t.co/DpUz3pVt7u,"picture,pontotoc,walmart,#breastfeeding",can'tsay
 Yep. Hospital workers spending too much time on Facebook #healthcare #nursing http://t.co/znc2asGsZl,"yep,hospital,workers,spending,time,facebook,#healthcare,#nursing",can'tsay
" Yep, that's it, calculators are our BFFs. #dietitian #repost #endlesscalculations http://t.co/HbS10p4sXt","yep,calculators,bffs,#dietitian,#repost,#endlesscalculations",can'tsay
" Yep, need more emphasis on should than can. MT @atulbutte Insight.. Sadly applicable to #genomics, #genetics, etc. http://t.co/GTAo63JZgj","yep,emphasis,mt,insight,sadly,applicable,#genomics,#genetics,etc",can'tsay
 Yep!!!! #teamfitness #getfit http://t.co/dleN10zq0P,"yep,#teamfitness,#getfit",can'tsay
" Yeahhhh #Hospital #Appointment tomorrow, been waiting nearly 4 months, BUT! Just had phone call, #cancelled until 4th June #TakingThePiss!!","yeahhhh,#hospital,#appointment,tomorrow,waiting,nearly,months,phone,call,#cancelled,june,#takingthepiss",can'tsay
" Yeahhhh #Hospital #Appointment tomorrow, been waiting nearly 4 months, BUT! Just had phone call, #cancelled until 4th June #TakingThePiss!!","yeahhhh,#hospital,#appointment,tomorrow,waiting,nearly,months,phone,call,#cancelled,june,#takingthepiss",can'tsay
" Yeah, because banging out countless kids in the name of #God is a great idea. http://t.co/tkPTPee2V2 #atheism #contraception #population","yeah,banging,countless,kids,name,#god,idea,#atheism,#contraception,#population",can'tsay
 Yeah #Botox today ???????????,"yeah,#botox",can'tsay
