tweets,
 zeagra #Pills #pharmacy #health http://t.co/luh4hvMJ5H,can'tsay
 Yup quees is gonna be a daddy!! My #LilNugget #Ultrasound http://t.co/oPy2cdZTdf,can'tsay
" Youth Offending Officer - Berkshire - Berkshire - Sanctuary Social Care #occupationaltherapy, #physicaltherapy http://t.co/SpgqbnYxHr",can'tsay
 Your baby week by week http://t.co/L6pnXFyvQh #Pregnancy #Maternity #Birth #PhysicalTherapy,can'tsay
" You should sit in a bed for a week &amp; press a button everytime you need to get up , then tell me how it feels #nurse #medical #care",can'tsay
" Yesterday ate tub of ice cream, today ran dead fast* I think that's pretty conclusive #science #nutrition *comparative to normal snail pace",can'tsay
 Working out is the best way to be stress free #therapy #gohard #stressreliever,can'tsay
" Work off your anger - Get physically active, dig in the garden, start a project, get your spring cleaning done #MentalHealth",can'tsay
 With this heating pad on my back . &gt;&gt; #PhysicalTherapy,can'tsay
 Why You Should Eat Almonds | Holistic Health &amp; Living http://t.co/8kngZahdhL #nutrition #health #video,can'tsay
 Why are you kind to complete strangers and harsh to you the people you supposedly care about? What psychosis do you have? #therapy,can'tsay
 Whose Phenotype? The patient or the health care system?  @gfry @rzeiger @SusannahFox @nickdawson http://t.co/XOv5CtVy4u #s4pm,can'tsay
 Whose Phenotype? The patient or the health care system?  @gfry @rzeiger @SusannahFox @nickdawson http://t.co/OS3AAeXTNi #s4pm,can'tsay
 Whoever is taking financial advice from Kerry Katona needs to seek professional medical help #mentalhealth #cashlady,can'tsay
 When I go to school tomorrow... People think that why I am not dressing up tomorrow. Well I don't give a crap. #Seniors,can'tsay
 What is #Asthma #Respiratory condition #Health #Air #pollutants #Allergens #Pollen respiratory system http://t.co/HcmVB2oC0S,can'tsay
 What is #Asthma #Respiratory condition #Health #Air #pollutants #Allergens #Pollen respiratory system http://t.co/HcmVB2oC0S,can'tsay
 What do you think of the new #DSM-V changes? #OTpeeps #mentalhealth http://t.co/Tw8VBq6Vdo,can'tsay
 What do you do to improve your mental health? #mentalhealth #positive http://t.co/DWJ0UV5Wfc,can'tsay
 What can you do to make your staff happy? http://t.co/d5UJ3DggLw #PhysicalTherapy #RespiratoryTherapy #OTpeeps,can'tsay
 What a great game #GreatFinish #UAF #Seniors #Powderpuff2013,can'tsay
 We've found new articles on #Osteoarthritis at http://t.co/9oiL3aBp6i #pharma #health #news http://t.co/9oczun52va,can'tsay
 We're now the HBIC! #seniors #bittersweet,can'tsay
" We're happy, free, confused, and lonely at the same time. It's miserable and magical. #seniors",can'tsay
 We're excited to have Rebecca McNeil talk about Employee Accountabilty in #LTC at #VANHA13!  Here's a sneak peak: http://t.co/j1Be2InNBf,can'tsay
 Well today is the day... #excited but #nervous ???? #classof2013 #senior,can'tsay
 Well that was a success #seniors #yabish,can'tsay
 Well I have had a drink every day for the past 3 weeks #whystopnow #drunktil2014,can'tsay
 We still in this bitch @prisssscilla_ #yearbook #seniors http://t.co/aWVcH92EC6,can'tsay
 We received a 5-out-of-5 overall rating from the Department of #Health and Human Services—come visit us today! http://t.co/pGzaPEUn9v #Rehab,can'tsay
" We must recognize nutrition as a cornerstone of our health care system, not a footnote http://t.co/TOC8Pd2fbr #health #wellness #nutrition",can'tsay
" We hear how our mental health system is broken, imagine how our mental health professionals feel? #mhsm #mentalillness #socialwork",can'tsay
 Watching Lost Angels: Skid Row Is My Home DOC #MindBlown #LAPD&amp;NYPDVerySimilar #Poor&amp;LowIncomeHumans #MentalHealth #Housing #Humanity,can'tsay
 Watching #psych,can'tsay
 Want to study smarter? Here are 5 effective habits for therapy students: http://t.co/8GrPspGZGu #SLPeeps #PhysicalTherapy #OTpeeps,can'tsay
 Waking up at 5am and then realizing in three months you'll be getting up at this time &lt;&lt;&lt;&lt;&lt;&lt;&lt; #clinicals #nursing,can'tsay
 Vomiting/Diarrhea - Abrupt Responses to Rejection of Foods by the Digestive System http://t.co/aU3Gg5Xjdc #nutrition,can'tsay
 Vomiting/Diarrhea - Abrupt Responses to Rejection of Foods by the Digestive System http://t.co/6Qkb0ynm3C #nutrition,can'tsay
