zip_code	city	state_abbr	state_full	county	county_FIPS_code	FIPS	longitude	latitude	area_code	city_type	population	Land_Sq_Mi
34050	FPO	AA	Armed Forces Americas (except Canada)	Erie	29		41.0375	-111.6789				
34034	APO	AA	Armed Forces Americas (except Canada)	Dillon	33		33.0364	-82.2493				
99553	Akutan	AK	Alaska	Aleutians East	13		54.143	-165.7854				
99571	Cold Bay	AK	Alaska	Aleutians East	13		55.3976	-162.4206				
99583	False Pass	AK	Alaska	Aleutians East	13		54.841	-163.4368				
99612	King Cove	AK	Alaska	Aleutians East	13		55.0628	-162.3056				
99661	Sand Point	AK	Alaska	Aleutians East	13		55.3192	-160.4914				
99546	Adak	AK	Alaska	Aleutians West (CA)	16		51.88	-176.6581				
99547	Atka	AK	Alaska	Aleutians West (CA)	16		52.1224	-174.4301				
99591	Saint George Island	AK	Alaska	Aleutians West (CA)	16		56.5944	-169.6186				
99638	Nikolski	AK	Alaska	Aleutians West (CA)	16		52.9883	-168.7884				
99660	Saint Paul Island	AK	Alaska	Aleutians West (CA)	16		57.1842	-170.2764				
99685	Unalaska	AK	Alaska	Aleutians West (CA)	16		53.8871	-166.5199				
99692	Dutch Harbor	AK	Alaska	Aleutians West (CA)	16		53.3628	-167.5107				
99501	Anchorage	AK	Alaska	Anchorage Municipality	20		61.2116	-149.8761				
99505	Fort Richardson	AK	Alaska	Anchorage Municipality	20		61.2753	-149.6755				
99506	Elmendorf Afb	AK	Alaska	Anchorage Municipality	20		61.2515	-149.8127				
99540	Indian	AK	Alaska	Anchorage Municipality	20		61.1089	-149.4403				
99567	Chugiak	AK	Alaska	Anchorage Municipality	20		61.4098	-149.4537				
99577	Eagle River	AK	Alaska	Anchorage Municipality	20		61.3114	-149.5085				
99587	Girdwood	AK	Alaska	Anchorage Municipality	20		60.9577	-149.1406				
99545	Kongiganak	AK	Alaska	Bethel Census Area	50		59.9599	-162.8919				
99551	Akiachak	AK	Alaska	Bethel (CA)	50		60.3147	-163.1189				
99552	Akiak	AK	Alaska	Bethel (CA)	50		60.3147	-163.1189				
99557	Aniak	AK	Alaska	Bethel (CA)	50		60.3147	-163.1189				
99559	Bethel	AK	Alaska	Bethel (CA)	50		60.13	-162.1739				
