tweets,cleaned tweets,
"@ViewHipHopPosts Check out Mike-Dash-E's new song #Mula prod. By @SFCalA off #HCR  https://t.co/wTndqMjS6s""","check,mike,dash,song,#mula,prod,#hcr,https,wtndqmjs6s",Medical
 ZOOM Teeth Whitening: A Revolutionary #TeethWhitening Treatment. Find out how it works: http://t.co/gQMWMIm07S #Dental #California,"zoom,teeth,whitening,revolutionary,#teethwhitening,treatment,#dental,#california",Medical
" ZEUS Zirconia Restoratives, available in 3 tiers of products, are ideal for treating a wide range of #dental patients:http://t.co/1K2Hmtn7CN","zeus,zirconia,restoratives,available,tiers,products,ideal,treating,wide,range,#dental,patients",Medical
 Yupp...I can officially save some lives #CPR #tookforlife!,"yupp,officially,save,lives,#cpr,#tookforlife",Medical
" yup RT @tonykchoi: @samala @Antology 1. #FamilyUnity 2. #LGBT 3. Financial aid, 4. #Healthcare were all left out. #API4CIR #18millionhearts","yup,#familyunity,#lgbt,financial,aid,#healthcare,left,#api4cir,#18millionhearts",Medical
 Yum! RT @FitChefKaty A little #CPR bling and @heart_south Association breakfast at my place!  Looking forward to partnering… (cont…,"yum,little,#cpr,bling,south,association,breakfast,looking,forward,partnering…,cont…",Medical
 You're my impossible girl - #doctor #doctorwho #whovian #FanGirling,"impossible,girl,#doctor,#doctorwho,#whovian,#fangirling",Medical
 Your support made hospice hike success http://t.co/WTIvEow75y  - #hospice,"support,hospice,hike,success,#hospice",Medical
" Your strength is in your advocates, APA's approach to eligibility falls right in line with our #hospital's goal - Director of Patient Acess","strength,advocates,apa,approach,eligibility,falls,line,#hospital,goal,director,patient,acess",Medical
 Your SS# can be bought online for .50 cents but your Medical Records are going for $14-$24! Why?   http://t.co/4VeUFMxZfV #EMR #EHR #WSJ #AP,"ss#,bought,online,cents,medical,records,#emr,#ehr,#wsj,#ap",Medical
 Your spouse may not like the #ACA: http://t.co/EXufAS13lU | #HR #Obamacare #Healthcare #HealthCareReform,"spouse,#aca,#hr,#obamacare,#healthcare,#healthcarereform",Medical
 Your Smile is Our Passion #bah #bahrain #manama #GCC #orthodontics #braces #teeth #smile #dentist… http://t.co/ljgZ4S2PNR,"smile,passion,#bah,#bahrain,#manama,#gcc,#orthodontics,#braces,#teeth,#smile,#dentist…",Medical
 Your Smile is Our Passion #bah #bahrain #manama #GCC #orthodontics #braces #teeth #smile #dentist #dental #happy... http://t.co/2bqlrazPin,"smile,passion,#bah,#bahrain,#manama,#gcc,#orthodontics,#braces,#teeth,#smile,#dentist,#dental,#happy",Medical
" Your questions about #Botox, answered: http://t.co/93XvdVOSax via @Allure_magazine  #Vancouver","questions,#botox,answered,via,magazine,#vancouver",Medical
 Your patients can now track their own #healthcare spending with our new free tool. Learn more on @TechCrunch: http://t.co/S0DIFsACDT,"patients,track,#healthcare,spending,free,tool,learn",Medical
" Your mouth is more than just a pretty smile.  It's also a gateway to your overall health. Brush, Floss &amp; See the #Dentist often.","mouth,pretty,smile,gateway,overall,health,brush,floss,#dentist",Medical
" Your ER is the front door to your #hospital, and visits jumped 17% from 2003-09 http://t.co/d14Q20E88h RT @medhostinc","er,front,door,#hospital,visits,jumped",Medical
" Your being ridiculous ? :\\""D RT\""@Charlz_sa: \"" #concussion \""\""""","ridiculous,sa,#concussion",Medical
 Your #CRO Just Acquired Another CRO Now What http://t.co/EEhbkbw9lJ via @sharethis #pharma #biotech,"#cro,acquired,cro,via,#pharma,#biotech",Medical
 You'll Never Again Be so Unburdened; Do Something Bold http://t.co/VNpbxWySHW #futuremed,"unburdened,bold,#futuremed",Medical
 You would think after living in the same house for 17 years @emmorierroy would figure out how to use her stairs #Hospital,"living,house,figure,stairs,#hospital",Medical
 you were telling everyone you were at dennys... mcdonaldss... what else? you know where you were #hospital,"telling,dennys,mcdonaldss,else,#hospital",Medical
 You think the #dentist is the #worst. At least they don't make you stare into the #light of a #hundred #synchrotrons. Off to the #eyedoctor.,"#dentist,#worst,stare,#light,#hundred,#synchrotrons,#eyedoctor",Medical
 YOU SHOULD FEEL AS IF OUR HOUSE IS ON FIRE. THE LAWLESS HAVE TAKEN OVER.  #TSA #POLICESTATE #NWO #TRANNY #BIOMETRICS #MONSANTO #GMO #FEMA!,"feel,house,fire,lawless,#tsa,#policestate,#nwo,#tranny,#biometrics,#monsanto,#gmo,#fema",Medical
" You saw \live\"" tweets yesterday. Here's summary of 1st oral arguments a/b #HHS mandate before 7th Circuit: http://t.co/DApkNUeYOa""","live,tweets,yesterday,summary,oral,arguments,#hhs,mandate,circuit",Medical
 You MUST follow @IntervalCrew if you are in #healthcare #marketing AND listen to their #podcast: http://t.co/xemp4ON8s9 #PieceDeResistance,"follow,#healthcare,#marketing,listen,#podcast,#piecederesistance",Medical
 'You make me feel comfortable and cared for' - best praise I've had all well from a patient #nursing #healthcare,"feel,comfortable,cared,praise,patient,#nursing,#healthcare",Medical
 You know you're at a good hospital when they serve everyone freshly popped popcorn for free. #healthcare,"hospital,serve,freshly,popped,popcorn,free,#healthcare",Medical
 You know your face is numb when #uneven #tongue #numb #mouth #teeth #dentist #girl #teen… http://t.co/seYTxMhh42,"numb,#uneven,#tongue,#numb,#mouth,#teeth,#dentist,#girl,#teen…",Medical
 You know you come to the hospital too much when the nurses don't even ask you who you are anymore #treatment #hospital #bad,"hospital,nurses,anymore,#treatment,#hospital,#bad",Medical
" You know what would be a great way to celebrate #EMS Week, move EMS from DOT and place it under HHS where it belongs.","celebrate,#ems,week,move,ems,dot,hhs,belongs",Medical
 You know biz is done for day when talk revolves around #darrylshouse. #hmenews,"biz,day,talk,revolves,#darrylshouse,#hmenews",Medical
" You just got an #FDA warning letter, what should you do next http://t.co/NIlxeBdzZ0 #biotech #pharma","#fda,warning,letter,#biotech,#pharma",Medical
 You getting involved in #Wigwednesday @JessieJ all for a good cause #cancersupport x,"getting,involved,#wigwednesday,cause,#cancersupport",Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/wMhZqd17Lc,"#professional,#athlete,visit,#sportsmedicine,#doctor,read",Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/tqwtx9Fw67,"#professional,#athlete,visit,#sportsmedicine,#doctor,read",Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/svKI1AqC5R,"#professional,#athlete,visit,#sportsmedicine,#doctor,read",Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/P3POt3VX9Q,"#professional,#athlete,visit,#sportsmedicine,#doctor,read",Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/Imd9F5UpfS,"#professional,#athlete,visit,#sportsmedicine,#doctor,read",Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/ib9G9Qp8pM,"#professional,#athlete,visit,#sportsmedicine,#doctor,read",Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/9snsp0S5yj,"#professional,#athlete,visit,#sportsmedicine,#doctor,read",Medical
 You don't have to be a #professional #athlete to visit a #sportsmedicine #doctor! Read why here. http://t.co/9MiPz1uKSY,"#professional,#athlete,visit,#sportsmedicine,#doctor,read",Medical
 You could slap me and I wouldn't feel it... #dentist #numb #demlips http://t.co/zD4mGkUT5V,"slap,feel,#dentist,#numb,#demlips",Medical
 you can't make #patients do anything- Years of experience have proven this. Education and coaching will improve #adherence @aribertdeckers,"#patients,experience,proven,education,coaching,improve,#adherence",Medical
 You can Make an Impact on research to cure hearing loss - find out how http://t.co/wIBiIQtO5W  #BHSM,"impact,research,cure,hearing,loss,#bhsm",Medical
 You can look 'normal' &amp; be fighting in your mind a battle that can't be won without help. I did. #edrecovery #mentalhealth #endstigma,"look,normal,fighting,mind,battle,won,help,#edrecovery,#mentalhealth,#endstigma",Medical
 You are your data: how #healthcare organizations will use your grocery bill...,"data,#healthcare,organizations,grocery,bill",Medical
 YOU are our #1 priority. That’s why we strive to provide a variety of options for affordable group #healthcare in NV. http://t.co/OBBNHO4g72,"#1,priority,’,strive,provide,variety,options,affordable,#healthcare,nv",Medical
 You are not alone if you are experiencing back pain during your #pregnancy! Find out how #chiropractic can help! http://t.co/sxzbGQrGf7,"experiencing,pain,#pregnancy,#chiropractic,help",Medical
 You are awesome @NaheedD @herehome I hope you learned a lot from the data. Looking forward to hearing when you share findings. #cdnhealth,"awesome,hope,learned,lot,data,looking,forward,hearing,share,findings,#cdnhealth",Medical
" You and your parents probably want to age in place, right? We have some tips &amp; advice on #homecare costs: http://t.co/eA0NennD63 #seniors","parents,probably,age,tips,advice,#homecare,costs,#seniors",Medical
" Yoga Day Fredericton June 15:  Try out a  class, make a donation. Proceeds to #Hospice Fredericton! See schedule http://t.co/sNwBJYWQWO","yoga,day,fredericton,june,try,class,donation,proceeds,#hospice,fredericton,schedule",Medical
" Yikes! RT @kaczynski I used to work at a hospital, and I always found this display profound http://t.co/f4NKquwlxi #GetFit","yikes,hospital,found,display,profound,#getfit",Medical
 Yet Another Piece Of Evidence That Obamacare Is Already Positively Impacting The Health Sector http://t.co/oUzZkXjcyr #ACA #tcot #HCR #Tpp,"piece,evidence,obamacare,positively,impacting,health,sector,#aca,#tcot,#hcr,#tpp",Medical
 Yet another #GiftOfLife,#giftoflife,Medical
 Yester-fuckedup-day. #inpain #dentist #braces #fuckyoudoc #hurtsalot #canteat #onlysoup #fml http://t.co/cIQRyZZkF8,"yester,fuckedup,day,#inpain,#dentist,#braces,#fuckyoudoc,#hurtsalot,#canteat,#onlysoup,#fml",Medical
 YES! We are 100% #glutenfree and #vegan! http://t.co/Qre63zrenx,"#glutenfree,#vegan",Medical
 YES! &amp; looks like an old @drgarybennett figure MT @drccushing: working in #mHealth #eHealth? look at Figure 1. http://t.co/CpOghnbSPT,"looks,figure,mt,#mhealth,#ehealth,look,figure",Medical
 Yes you heard right...we are open today!! You can book anyone of our wellness treatments. #Massage #Acupuncture,"heard,book,wellness,treatments,#massage,#acupuncture",Medical
" Yes Virginia, Obamacare Still Exists | from @LAB08 http://t.co/seHtJzL91J #hcr #aca","virginia,obamacare,exists,#hcr,#aca",Medical
" yes exciting stuff, #GetFit site launches 28/May! RT @Goudi: #GetFit Launch Announced to Harness Social Media... http://t.co/zfuB53ZIdH","exciting,stuff,#getfit,site,launches,#getfit,launch,announced,harness,social,media",Medical
" Yes &amp; no...“@pharmaguy: Will 2013 Be the Year of \Digital Pharma?\"" Take a close look at the data http://t.co/uyQ2Y7Dxco #epharma #pharma”""","digital,pharma,close,look,data,#epharma,#pharma",Medical
 Yep. RT @DrDave01: Mobile technology could save billions on #healthcare costs | VentureBeat http://t.co/K3kfU9fnMn via @VentureBeat,"yep,mobile,technology,save,billions,#healthcare,costs,venturebeat,via",Medical
 Yeah! Tomorrow I'll get to see Tony Tony Chopper! The chibi reindeer! #Chopper #Doctor #OnePiece,"yeah,tomorrow,tony,tony,chopper,chibi,reindeer,#chopper,#doctor,#onepiece",Medical
 Yay???????? #hospital #trip #sarcasm http://t.co/JntipBE35j,"yay,#hospital,#trip,#sarcasm",Medical
 Yay...so ready to get my wisdom teeth out...all four of them.. #fml #somuchpain #Life #Fail #dentist,"yay,ready,wisdom,teeth,#fml,#somuchpain,#life,#fail,#dentist",Medical
 Yay!!! My baby brother is Officially Doctor DePalma!!!!! #doctor #medschool #medicalschool… http://t.co/f7VMxaOztg,"yay,baby,brother,officially,doctor,depalma,#doctor,#medschool,#medicalschool…",Medical
" Yay! Time for a filling! #shitnoonesays #dentist #merrr place <tweepy.models.Place object at 0x01F33590> coordinates {u'type': u'Point', u'coordinates': [-83.47027613, 41.6369082]}","yay,time,filling,#shitnoonesays,#dentist,#merrr,type",Medical
 Yay! RT @drpatriciafitz: Random thought of the day: So proud to be an @EmperorsCollege alum MTOM &amp; DAOM !!! #chinesemedicine #acupuncture,"yay,random,day,proud,alum,mtom,daom,#chinesemedicine,#acupuncture",Medical
 Yay going to my second home today!  #Hospital,"yay,home,#hospital",Medical
" Xrays, ekg , and blood work #hospital :(","xrays,ekg,blood,#hospital",Medical
 x-ray swag. #hospital http://t.co/Fbgm8GPRuF,"ray,swag,#hospital",Medical
" XPrize Competitions seem to inspire human greatness, this is just the beginning: http://t.co/1tf5GTdYRs @scanadu #tricorder #HealthTech","xprize,competitions,inspire,human,greatness,beginning,#tricorder,#healthtech",Medical
" WWWTP #7 (What's Wrong With This Picture) Chest xray with a subtle finding, can you find it? What is it? http://t.co/NoZ4nVaX9M #FOAMed","wwwtp,#7,wrong,picture,chest,xray,subtle,finding,#foamed",Medical
 Wuaaaa that's place T___T #moment #remember #miss #pictoftheday #hospital #instapict #instamiss… http://t.co/IHV6yuLjg7,"wuaaaa,#moment,#remember,#miss,#pictoftheday,#hospital,#instapict,#instamiss…",Medical
